,Comparison,Correlation_Gbm,Correlation_Brca,Correlation_Luad,Correlation_hnscc
483,MAPKAPK2_proteomics,-0.37380392790261385,-0.3581469148557264,,
485,MEF2A_proteomics,-0.3909829681060932,,,
486,BIN2_proteomics,-0.37356055163434976,,-0.3161282602916736,-0.4664942654255621
491,ARHGAP9_proteomics,-0.3730692598974983,,,-0.300843765794352
493,TXNDC5_proteomics,-0.3726049898938227,0.2374207931864575,-0.32586771014741145,
495,ARSB_proteomics,-0.3725753998120905,0.2619990303975959,,
496,BST1_proteomics,-0.3724119850517367,,,
500,MAPK13_proteomics,-0.4092096496132467,,0.2792365828322856,
506,FUCA1_proteomics,-0.3710356484250017,-0.300690093706931,,-0.3248929874764853
507,STK10_proteomics,-0.3710072574688166,,-0.2732074940314969,-0.353202366441315
509,MVP_proteomics,-0.3709749515839745,,0.31835536508664986,
511,CAP1_proteomics,-0.3707490114748184,,,
519,PTPRJ_proteomics,-0.3691836692055672,0.31559304916424186,,
526,VCL_proteomics,-0.3683183134509628,0.3220372527383705,,
539,AHCYL1_proteomics,0.3661380038168845,-0.3473447483429967,0.3488739584145786,
551,MNDA_proteomics,-0.3646897914453881,0.2924195997272221,,
552,CST3_proteomics,0.36463110585142383,,,
556,CFI_proteomics,-0.3638984730040469,,,
568,S100A11_proteomics,-0.3619218525477411,0.3554982139347125,,
589,LY96_proteomics,-0.4478720257189835,,,
592,CD53_proteomics,-0.3588536156536186,,,-0.28156624335955216
595,A1BG_proteomics,-0.35849885166853845,,,
598,CYBB_proteomics,-0.3581606119285581,,,
599,GNS_proteomics,-0.3576650647431541,-0.2542105914604603,,
601,ARPC4_proteomics,-0.3575291437739375,0.35415697334185925,-0.2948424544928747,
603,TSPAN14_proteomics,-0.3570867074383971,0.3882165521760675,,
612,SLC2A5_proteomics,-0.3563939482540754,,,
619,TREM2_proteomics,-0.3557091776125028,,,
623,RAB6A_proteomics,0.35513978765548315,,,
625,HK3_proteomics,-0.3550444606852368,0.4357425116199869,,
631,C8A_proteomics,-0.3546795561801017,0.2440529954100765,,
641,C5AR1_proteomics,-0.3536547077489225,,,
645,ITGB2_proteomics,-0.3526580005947523,0.2903684317992879,,
648,SERPING1_proteomics,-0.3524185319748689,0.2931903143753241,,
649,UNC13D_proteomics,-0.3522706201076221,0.3855885293134629,,-0.2746832665777269
662,ARPC5_proteomics,-0.3493002339969434,0.35393930986537336,-0.27030297819552546,
664,C9_proteomics,-0.34913148713694353,,,
667,LGMN_proteomics,-0.34888598496380274,0.3825492638510317,,
679,CYBA_proteomics,-0.3472029888466728,,,-0.2676172214533717
692,IKBKG_proteomics,-0.34508442012992513,,,
693,CARD9_proteomics,-0.34498092400820024,0.2979268769431982,,
699,MANBA_proteomics,-0.3443879273831247,,0.3925072226989976,
701,CASP10_proteomics,-0.3442775704091444,0.3535224112489188,,-0.3189553188131393
703,IGF2R_proteomics,-0.34410117736349904,,,
705,SERPINA1_proteomics,-0.34387587437684275,,,
725,SIGLEC9_proteomics,-0.42102856646831455,,,
735,TAB2_proteomics,-0.3407356120135813,,,
737,CNN2_proteomics,-0.3405891084979281,0.2959738725706678,,
741,GUSB_proteomics,-0.3400781464584124,,,
745,ITPR3_proteomics,-0.3396571395065106,,,0.2925372500457521
751,CAND1_proteomics,0.3391821483809062,-0.2753180894320055,,
759,TMEM173_proteomics,-0.3376621593059661,0.3180262983081805,0.33130841378432024,
778,MALT1_proteomics,-0.3358486561816532,0.3850048760968815,,
795,CREG1_proteomics,-0.334430581717029,0.33423074675729336,,
796,FYN_proteomics,0.3343068128483088,,,
798,CFHR1_proteomics,-0.33394193618308954,,,
824,TRAF6_proteomics,0.33175330051931,,,
826,GSN_proteomics,-0.3316948392836108,0.3561886747285072,,
833,PROS1_proteomics,-0.33114157589996257,0.3841782210180997,-0.2812292209137864,
836,RAB27A_proteomics,-0.3306967578874541,,,
838,ITGAM_proteomics,-0.3305558738041564,0.3883392935744263,,
847,CTSH_proteomics,-0.3292509605760604,,,
848,MAPK14_proteomics,-0.3291491550331348,,,
852,C4A_proteomics,-0.3286628517205764,,,
861,IFI16_proteomics,-0.3279915457593926,0.2796559103120787,,
868,CFD_proteomics,-0.32768787434232066,,-0.2624969848896971,
870,APRT_proteomics,-0.32758302952335994,,,
878,UBA7_proteomics,-0.3265374786017439,,,-0.3008263030590802
887,MAP2K3_proteomics,-0.32557526200023057,,-0.2884318639013031,
903,C6_proteomics,-0.3243773610968981,0.28713746718270194,,
922,C3_proteomics,-0.3228857679980263,0.30924020523462736,-0.2812468434446743,
927,C8B_proteomics,-0.3225403053937379,0.2483412757346493,,
944,RAC2_proteomics,-0.3211783726449208,,-0.34993673127223235,-0.2771000333434056
946,COTL1_proteomics,-0.32108700345290603,,-0.4463412857867368,-0.39002114651327097
948,C1QC_proteomics,-0.3206926317897837,,,
950,RNF135_proteomics,-0.3205192205235167,,,
969,ELMO1_proteomics,-0.3175894719550694,,-0.41009819444603257,-0.3727429888492144
985,LRG1_proteomics,-0.3156197896830786,,,
991,PSTPIP1_proteomics,-0.3149151257838197,0.2858045366964822,-0.3169721140135333,-0.4070243361448293
993,PRKCQ_proteomics,-0.329765904450446,,-0.41817537058263576,-0.2844624529563252
998,TNIP2_proteomics,-0.3466985774132999,,-0.3712874202843134,
1001,PLD3_proteomics,-0.31423847417664585,0.2565261338368957,,
1007,GPI_proteomics,0.31387211202707144,0.3857478830736144,,
1013,HSP90B1_proteomics,-0.31328110036231765,0.2896972050526529,,
1023,PSEN1_proteomics,0.31272589995242034,,,
1033,CFB_proteomics,-0.3120969090354635,,,
1037,CASP8_proteomics,-0.3115872041274678,,,
1049,RBSN_proteomics,0.31039663828752784,,,-0.3409540940507618
1053,LAT2_proteomics,-0.3420337757925774,,,
1054,NCKAP1_proteomics,0.3101900557576178,,,0.3316972508005989
1078,F2_proteomics,-0.30825307431580473,0.36886076295161696,,
1085,ALDOC_proteomics,0.30754513047673904,0.36783962540817183,,0.32601999314961644
1099,AP2A2_proteomics,0.30666731111037804,,,
1107,QSOX1_proteomics,-0.3058657971135748,,,
1119,C8G_proteomics,-0.3051989706367331,0.25579319020973995,-0.27621555610409826,
1187,NOS2_proteomics,0.32776581471821153,,,
1209,NCF4_proteomics,-0.29698873150815663,0.31313645795696593,,-0.27905312381607306
1217,PSME4_proteomics,-0.29610276554175075,0.3331237088049647,,
1229,ICAM2_proteomics,-0.2949220859534806,,,
1235,TMC6_proteomics,-0.2947121611902245,,,
1240,WASF2_proteomics,-0.2942816434301462,0.2556695293712877,-0.2707087180489664,
1254,ADA2_proteomics,-0.2931564028604989,,-0.35043536954012755,-0.4658355656026935
1291,PGLYRP2_proteomics,-0.2896203860683941,,,
1292,ADAM10_proteomics,-0.2895051794105543,,,
1297,RPS6KA1_proteomics,-0.2886024633688884,,,0.3037030013040998
1307,MYH9_proteomics,-0.28787236968894325,0.4218273476657571,,
1319,RASGRP2_proteomics,0.286755568136657,,-0.4731973372682005,-0.4046579281461644
1321,C1R_proteomics,-0.2864905324988496,0.3274229173708321,,
1322,GLIPR1_proteomics,-0.28631881382251906,,,
1326,LAMP1_proteomics,-0.28602668902776696,0.2761903213763691,,
1367,ATG5_proteomics,-0.28234006588915345,,,
1369,C1S_proteomics,-0.2821693630281603,0.3350024040055341,,
1372,DBNL_proteomics,-0.2819403743281974,,,
1383,IMPDH1_proteomics,-0.281269062580362,,,
1386,PRKACA_proteomics,-0.2810284038356007,,,
1394,CGAS_proteomics,-0.3275898400986835,,,
1402,PELI1_proteomics,-0.3085888254956973,,,
1406,PLAU_proteomics,-0.278912917799607,0.3693319986353616,,0.4518651709840114
1412,PRKCD_proteomics,-0.2782745859869231,,,
1414,IRAK3_proteomics,-0.2782226124789582,,,
1417,LTA4H_proteomics,-0.2781126575038521,-0.2504671176978964,,
1427,SELL_proteomics,-0.27701403320931445,,,
1429,RASGRP1_proteomics,0.27684680672608136,,,
1452,PDZD11_proteomics,-0.2753762501347,,,
1459,HPSE_proteomics,-0.28822345556065365,,,
1460,C1QA_proteomics,-0.2749934781156509,,,
1467,SERPINA3_proteomics,-0.2743967727526828,,,
1480,C7_proteomics,-0.2739999905984316,0.26091378108737034,,
1488,ATP6V1G1_proteomics,-0.2734005157945214,,,
1498,ROCK1_proteomics,-0.27221951493811075,,,
1506,PLCG1_proteomics,0.271862418763166,0.3474860175887242,,
1519,FTH1_proteomics,-0.27112735654662723,,,
1534,TIFA_proteomics,-0.3607947790130214,,,
1549,CPB2_proteomics,-0.26971373632875784,0.32314076281471144,,
1555,NCF2_proteomics,-0.269400062494989,0.3292078960286846,,
1565,DNAJC5_proteomics,0.26883981923332073,,,
1566,PLD1_proteomics,-0.2688170140825924,0.4516772497543106,,
1573,AHSG_proteomics,-0.2686479671818305,,,
1580,ATP11A_proteomics,,0.2968065769526761,,
1582,APAF1_proteomics,,,,
1589,DYNC1LI1_proteomics,,,,
1590,TMEM30A_proteomics,,,,
1600,PYGL_proteomics,,,,
1639,PFKL_proteomics,,0.2886150068742591,,
1640,LPCAT1_proteomics,,,,
1653,IRAK4_proteomics,,,,
1658,PDAP1_proteomics,,,,
1683,AGL_proteomics,,,,
1688,PPIA_proteomics,,,,0.3477132005351692
1697,ACAA1_proteomics,,,,
1720,ACLY_proteomics,,,,
1724,ATP6V1G2_proteomics,,,,
1731,ATP6V1A_proteomics,,,,
1732,MAPK1_proteomics,,,,
1757,CYB5R3_proteomics,,0.4737904192691325,,
1760,SLC2A3_proteomics,,0.42395414512036855,,
1764,CCT8_proteomics,,,,
1790,ATP6V1H_proteomics,,,,
1798,CCT2_proteomics,,,,
1800,ATP6V1E1_proteomics,,,,-0.2828984407002633
1811,SIGIRR_proteomics,,-0.5136072448700153,,-0.3218090847988808
1830,CAB39_proteomics,,,,
1865,BRK1_proteomics,,0.2783273004165656,-0.2719286391948991,
1868,DHX36_proteomics,,0.23179605718022445,,
1875,ERP44_proteomics,,0.3900599038773416,,
1883,TRAPPC1_proteomics,,,-0.2977167296293429,
1891,PGAM1_proteomics,,0.2483821520507188,,
1894,ATP6V1D_proteomics,,,,
1895,WIPF2_proteomics,,-0.3666529976836546,0.3166605036272505,
1904,GGH_proteomics,,0.22984704692263064,,
1911,IQGAP2_proteomics,,,,-0.3594168273151861
1921,ATP6V1F_proteomics,,,,
1926,PSMD10_proteomics,,,0.2954577924450568,
1971,NRAS_proteomics,,0.23792606573153616,,
1993,VCP_proteomics,,,,
2018,IMPDH2_proteomics,,,,
2050,GYG1_proteomics,,,,-0.3037053485014407
2059,CASP2_proteomics,,0.2450600697178909,0.29202037179598656,
2066,RNASE2_proteomics,,,,
2073,PA2G4_proteomics,,,,
2082,CFL1_proteomics,,,,
2087,ATP6V1C1_proteomics,,,,
2091,PIGR_proteomics,,,0.3788356498840448,
2098,STBD1_proteomics,,,0.2705979209847958,
2107,NKIRAS2_proteomics,,,,
2120,PPIE_proteomics,,,,
2122,GM2A_proteomics,,,,
2124,FADD_proteomics,,,0.3214310125937013,0.4253626536384056
2125,MME_proteomics,,0.3924572454229474,,
2128,AGA_proteomics,,,,
2140,APEH_proteomics,,,-0.2840861925075965,
2141,GRAP2_proteomics,,,,-0.4280928767245835
2156,CUL1_proteomics,,0.30818099101436564,,
2164,MIF_proteomics,,,,
2168,ATP6V1B2_proteomics,,0.3038365843283354,,
2169,PPP2CB_proteomics,,,,
2174,NDUFC2_proteomics,,,,
2177,TLR3_proteomics,,,,
2184,PSAP_proteomics,,,,
2203,GZMM_proteomics,,,-0.3330831550054441,
2229,NKIRAS1_proteomics,,,,
2251,NBEAL2_proteomics,,,-0.33732735592920665,
2262,ASAH1_proteomics,,-0.2611427053887311,,-0.2911267701401511
2265,HEBP2_proteomics,,,,
2277,JUP_proteomics,,0.295915897706427,,0.2877587051047095
2312,TREM1_proteomics,,,,
2330,TIMP2_proteomics,,,,
2333,PIK3CB_proteomics,,,,
2336,IST1_proteomics,,,,
2337,NCF1_proteomics,,0.26313660992334964,-0.3611204979540282,-0.32328503888126164
2346,ACTR3_proteomics,,0.3494027746729065,,
2350,HSP90AA1_proteomics,,,,0.3570810751761526
2379,PTGES2_proteomics,,,,
2419,UNC93B1_proteomics,,,,
2432,MAP3K7_proteomics,,,,
2435,ELMO2_proteomics,,,,-0.27074171636480393
2436,PPP2R5D_proteomics,,,,
2446,GAB2_proteomics,,,,
2447,EEF1A1_proteomics,,0.31073389872670504,,
2462,CFHR5_proteomics,,0.23395606107188696,-0.32590501863368904,
2469,LGALS3_proteomics,,,0.33522479846923514,
2473,DOCK1_proteomics,,,,
2474,TUBB4B_proteomics,,,,
2477,CFHR2_proteomics,,,-0.2943065754143616,
2479,CRISP3_proteomics,,,,
2481,ATOX1_proteomics,,,,
2496,C5_proteomics,,0.3302829882005175,-0.30330457471141936,
2499,FCN3_proteomics,,0.3964917861111564,,
2513,RNF216_proteomics,,,,0.4216608368541965
2521,TUBB_proteomics,,0.3902227492454055,,
2539,CLU_proteomics,,,-0.3250378990335665,
2550,LTF_proteomics,,0.3431550415503409,,
2556,LBP_proteomics,,0.2745257205150643,-0.3186898637262729,
2580,CFH_proteomics,,0.27977737540460423,-0.2923000142711171,
2623,CD58_proteomics,,0.5267782596348842,,
2665,SIRPA_proteomics,,0.4735861701808813,,
2678,TNFAIP3_proteomics,,0.4636670712974935,,
2697,ATP11B_proteomics,,0.4533760846161086,,0.2981978665018438
2733,DNM2_proteomics,,0.4649930432730008,,
2739,SLPI_proteomics,,0.4312912917120652,,
2740,PKP1_proteomics,,0.43110981495619816,,0.2715645102939385
2748,JUN_proteomics,,0.4286790220446001,,
2759,PADI2_proteomics,,0.4263076824649111,,
2780,POLR3B_proteomics,,-0.4216044712049859,,
2793,LIMK1_proteomics,,0.4164989788007905,0.2918875489198835,
2797,ACTB_proteomics,,0.4149511205587343,,
2800,MYO9B_proteomics,,0.4135217497186319,,
2802,VAV3_proteomics,,-0.4132304868007112,,
2821,POLR3A_proteomics,,-0.40899710937153816,,
2837,PGRMC1_proteomics,,0.4028636117421244,0.5123219374034529,
2850,EEF2_proteomics,,0.3968504664980328,,
2852,TOM1_proteomics,,0.39636358445944586,,
2862,TKFC_proteomics,,-0.3942285225349621,,
2893,ATAD3B_proteomics,,0.4000981391827585,,
2896,FCGR3B_proteomics,,0.3861569787471032,,
2906,RAP2B_proteomics,,0.3839358002920628,,0.3046147015766009
2911,DYNLT1_proteomics,,0.3828345691231344,,0.32808185005407586
2918,BPI_proteomics,,0.3808019136716037,-0.3275132273040691,
2920,SKP1_proteomics,,-0.3803687318098911,,
2963,C4BPB_proteomics,,0.3710513824395424,,
2967,DDOST_proteomics,,0.370169562491906,,
2969,CRACR2A_proteomics,,-0.3826961733393111,,-0.2920336689427909
2971,MUCL1_proteomics,,0.3697179278705541,,
2974,SOS1_proteomics,,0.3690597806945401,,
2982,ITGAV_proteomics,,0.3684859780200093,,0.4428407536140119
2994,SDCBP_proteomics,,0.3665500966278941,,
3002,FABP5_proteomics,,0.3649235803553036,,
3021,PNP_proteomics,,0.3613701068768256,,
3031,MASP1_proteomics,,0.3599224174115152,,
3033,CPN2_proteomics,,0.35965312702162644,,
3048,CTSV_proteomics,,0.3570054789628833,,
3068,MPO_proteomics,,0.3550331585667604,,
3074,VAV2_proteomics,,-0.3536374913070292,,
3082,CHIT1_proteomics,,0.3913341168138743,-0.3372041897432245,
3087,POLR3E_proteomics,,-0.35115871372395463,,
3092,CANT1_proteomics,,-0.35034463609233,,
3117,RPS6KA5_proteomics,,-0.3474873039347406,,
3128,RPS6KA3_proteomics,,0.3458723403302417,,-0.276296087135136
3138,ACTG1_proteomics,,0.344270139963703,,
3146,AAMP_proteomics,,-0.3430295091209148,,
3155,PKM_proteomics,,0.34151242730333004,,0.3089074557931122
3163,MMP9_proteomics,,0.3405920508651143,,
3171,FUCA2_proteomics,,-0.3397832150248987,0.3165916089896321,-0.3105737667417495
3207,GSDMD_proteomics,,-0.33599049379343265,,
3209,TANK_proteomics,,0.3355304863184944,,
3211,C4BPA_proteomics,,0.33537909857758663,,
3221,MASP2_proteomics,,0.3457696041501731,,
3227,TRAF2_proteomics,,-0.33318378675853044,,
3251,DEGS1_proteomics,,0.33049727124973505,,
3266,SRP14_proteomics,,-0.3287216389331329,,
3276,PTX3_proteomics,,0.32752657123640816,,
3285,AZU1_proteomics,,0.3266769470055632,,
3290,VRK3_proteomics,,-0.326196303170282,,-0.3542420892393686
3296,ELANE_proteomics,,0.3254640915374021,,
3315,AP1M1_proteomics,,0.3241407353889287,,
3329,S100A9_proteomics,,0.3220708410333311,,
3344,CASP4_proteomics,,0.3206991827551875,,
3368,IKBKB_proteomics,,-0.31778179783951954,,
3376,S100A12_proteomics,,0.3171290268520108,,
3383,TXNIP_proteomics,,0.3151307050461952,,
3390,CKAP4_proteomics,,0.3145008431855101,,
3391,PRDX4_proteomics,,0.3143897965066628,,
3398,CDA_proteomics,,0.31358216649773085,,
3407,S100A8_proteomics,,0.3128223126511461,,
3422,BAIAP2_proteomics,,-0.3115519076827345,,
3441,CHI3L1_proteomics,,0.31767349628239394,,
3447,PPP2CA_proteomics,,-0.3088573610596197,,
3457,POLR3GL_proteomics,,-0.3078101408303422,,
3460,DIAPH1_proteomics,,0.3076331442083624,,
3490,DEFA3_proteomics,,0.3048487029836407,,
3524,S100B_proteomics,,0.30294631907956404,,
3538,CREBBP_proteomics,,-0.3015611179532707,,
3546,CFP_proteomics,,0.3010789084595921,-0.26843695586306754,
3550,GSTP1_proteomics,,0.30090631561155434,,
3567,SLC27A2_proteomics,,-0.29955277046667594,,-0.33721214581922865
3573,ACPP_proteomics,,0.3349563984283889,,
3584,METTL7A_proteomics,,0.2982337374636957,,-0.3594868766801141
3595,CAMP_proteomics,,0.2973618692866131,,
3643,IQGAP1_proteomics,,0.29336411889110153,,
3650,LCN2_proteomics,,0.2926456547677829,,
3652,CRCP_proteomics,,-0.2926047584779079,,
3656,NCK1_proteomics,,0.29227510052133915,,
3661,NFATC3_proteomics,,0.30215042924272223,,
3668,APOB_proteomics,,0.29143395355028834,,
3684,DSN1_proteomics,,-0.2897751796428301,,
3686,AGPAT2_proteomics,,0.30010511341865825,,
3709,TCN1_proteomics,,0.2958548870834645,,
3716,PRTN3_proteomics,,0.2876061060627857,,
3719,RHOG_proteomics,,0.2873367969465227,,
3730,SNAP29_proteomics,,-0.2862341498171015,,
3741,IDH1_proteomics,,0.2852393814365758,,
3756,ARG1_proteomics,,0.2842829616569734,,
3759,SRC_proteomics,,0.2841360515353343,,
3761,PSMD12_proteomics,,0.2840819226860049,,
3764,CPN1_proteomics,,0.28392707840015696,,
3767,FCN2_proteomics,,0.283888837362954,,
3787,VTN_proteomics,,0.282489162998851,,
3797,HLA-E_proteomics,,0.2813489187318408,,
3803,POLR3D_proteomics,,-0.2808934051567815,,
3824,RAB7A_proteomics,,0.2789575421818337,,
3835,RETN_proteomics,,0.27833523561259793,,
3848,PGLYRP1_proteomics,,0.2953323157549799,,
3908,POLR3F_proteomics,,-0.2716355734369288,,
3928,MYD88_proteomics,,0.28117297832663946,,
3932,ENPP4_proteomics,,-0.270029745210996,,-0.3878129721232836
3978,PRKCSH_proteomics,,0.2660015149022349,,
3992,POLR3C_proteomics,,-0.26499418035695843,,
4003,MAPK7_proteomics,,0.2643645508216976,,
4006,LAMTOR1_proteomics,,0.26414547075126604,,
4018,CD209_proteomics,,0.2822319964935658,-0.3508353728887912,
4032,NCSTN_proteomics,,0.2621804863140331,,
4049,UBE2K_proteomics,,-0.2616031478154859,0.2723347585387305,
