,Comparison,Correlation,P_value
1853,EGFR_proteomics,1.0,0.0
5059,RAE1_proteomics,-0.4988020069726074,0.0004727343023775293
6811,UTP6_proteomics,-0.5103433457160391,0.0004727343023775293
2339,GAR1_proteomics,-0.4897880299878189,0.0006313765300343217
5069,RALYL_proteomics,-0.48576266847937516,0.0006501206526837533
6242,TFAM_proteomics,-0.47018483595724936,0.001199214614153722
4174,NUP153_proteomics,-0.47015486869545464,0.001199214614153722
4737,PPP2R5D_proteomics,-0.4551105041014165,0.002228968174480422
5504,SCG2_proteomics,0.45590142930557764,0.002228968174480422
5484,SBF1_proteomics,0.4520408152746056,0.0023842994019434433
3374,MAMDC2_proteomics,0.530626820433032,0.0024369249131468334
5868,SNU13_proteomics,-0.4483738093051055,0.0024369249131468334
5068,RALY_proteomics,-0.444764007094965,0.0026801208569693434
1588,DDX27_proteomics,-0.4431709719793594,0.0026801208569693434
4624,POFUT1_proteomics,-0.4413811331140185,0.0026801208569693434
3939,NDUFAB1_proteomics,-0.44220060058800453,0.0026801208569693434
2300,FYCO1_proteomics,0.43101331166426915,0.0038099463584856034
1589,DDX28_proteomics,-0.42916687972930023,0.0038099463584856034
5735,SLC25A6_proteomics,-0.4294705698707778,0.0038099463584856034
5606,SERPINB8_proteomics,0.4305634572527005,0.0038099463584856034
155,AFAP1L2_proteomics,0.4371760395058685,0.0038099463584856034
2831,HSPE1_proteomics,-0.4315941902139311,0.0038099463584856034
2860,IDH3G_proteomics,-0.42643957539872746,0.0038706495145839235
6028,STAU1_proteomics,-0.4259801376855453,0.0038706495145839235
3754,MTCH2_proteomics,-0.4263646763509397,0.0038706495145839235
5443,S100A13_proteomics,0.42515940212664693,0.0038824600125685906
5099,RASSF2_proteomics,0.4603741065155126,0.0042508167769462315
6180,TBC1D1_proteomics,0.429878746294538,0.0042508167769462315
5778,SLC50A1_proteomics,0.5407531314382037,0.0042508167769462315
5347,RPRD1B_proteomics,-0.4200391924928882,0.004369233739716468
2666,HECTD1_proteomics,0.4191402964402317,0.00442478223678544
250,ALG13_proteomics,-0.4339852015474232,0.004459799863625126
3685,MRPL42_proteomics,-0.4242347338762474,0.004459799863625126
6289,TIMM13_proteomics,-0.41650045671651276,0.004459799863625126
392,ARFGEF2_proteomics,-0.41713893603005436,0.004459799863625126
5008,RAB27A_proteomics,0.4168070577403171,0.004459799863625126
5791,SLK_proteomics,0.41347546552132325,0.004465571919906123
6245,TFCP2_proteomics,-0.4135731260839518,0.004465571919906123
4929,PTPN2_proteomics,0.4303801689011899,0.004465571919906123
76,ACOT8_proteomics,-0.41354616407589007,0.004465571919906123
4691,PPIF_proteomics,-0.4133651330276644,0.004465571919906123
6291,TIMM17B_proteomics,-0.4234262952921583,0.004782194320425897
4559,PLD1_proteomics,0.4192192351125398,0.004782194320425897
6988,XRCC6_proteomics,-0.4095128807598822,0.005030247808413955
6563,TRPT1_proteomics,0.42667856726581194,0.005201752378460038
6336,TMCO1_proteomics,-0.4074735033819134,0.005201752378460038
2551,GSDMD_proteomics,0.4076147821576612,0.005201752378460038
4376,PDE4D_proteomics,0.4124064199733425,0.00526399737927296
341,APBB1IP_proteomics,0.4043758593035532,0.00526399737927296
1429,CSTF1_proteomics,-0.4044453440959739,0.00526399737927296
5114,RBM12_proteomics,-0.4048988174733451,0.00526399737927296
3556,MICAL3_proteomics,0.4121956036801262,0.00526399737927296
6656,U2AF1_proteomics,-0.40626706728279854,0.00526399737927296
6726,UCHL3_proteomics,-0.40505809759130124,0.00526399737927296
4098,NPTN_proteomics,0.40312495697978445,0.005483775728072715
4710,PPP1CC_proteomics,0.400391406633117,0.005860444251157719
5608,SERPINC1_proteomics,0.40061379751764015,0.005860444251157719
4969,PYGL_proteomics,0.40026264405796486,0.005860444251157719
283,ANKFY1_proteomics,0.40031233575057645,0.005860444251157719
2943,INTS6_proteomics,-0.4368545430283021,0.006435169493268537
3557,MICALL1_proteomics,0.3972457445224131,0.006435169493268537
3768,MTIF3_proteomics,-0.3968953749866601,0.006435169493268537
5947,SPTLC2_proteomics,0.3971036796275895,0.006435169493268537
