,Comparison,Correlation,P_value,Cancer Type
3231,GGA1_proteomics,-0.4229122060363112,0.0004933270940111053,Kidney
9008,TULP3_proteomics,0.42179368359720393,0.0005198655138949302,Kidney
30,ABCC3_proteomics,0.421531974365294,0.0005214726055627038,Kidney
1923,CSNK2A1_proteomics,0.4206784789963057,0.0005412374920069591,Kidney
4001,IRAK4_proteomics,0.4199176654778298,0.0005523598716619375,Kidney
6052,PHKA2_proteomics,0.42011023531521174,0.0005523598716619375,Kidney
6947,RCC1_proteomics,0.41956857450752577,0.0005570975264036916,Kidney
8768,TOR1A_proteomics,-0.41819380680502827,0.0005957767788555485,Kidney
5729,OSTF1_proteomics,-0.41734999385293853,0.0006113128480382881,Kidney
5314,NDUFA10_proteomics,-0.4173700707317939,0.0006113128480382881,Kidney
5681,OGA_proteomics,0.4167229530565999,0.0006265569870286446,Kidney
3219,GEMIN5_proteomics,0.4145761790054593,0.0006996885182706827,Kidney
5889,PDAP1_proteomics,0.41358696801782463,0.000731802748820725,Kidney
6716,QARS_proteomics,-0.41269830203343716,0.0007486469534183383,Kidney
7599,SH3BP5L_proteomics,0.4127119559528032,0.0007486469534183383,Kidney
9505,ZADH2_proteomics,-0.41261962356142257,0.0007486469534183383,Kidney
6011,PGK2_proteomics,0.4119232115588151,0.000770398055207299,Kidney
7674,SLC16A1_proteomics,0.41164533583629,0.0007745256711659976,Kidney
7901,SMYD5_proteomics,0.41136696200804146,0.0007787657233912929,Kidney
8549,TINAG_proteomics,-0.4107599722436086,0.0007897200848927851,Kidney
5357,NDUFS7_proteomics,-0.41077209691350114,0.0007897200848927851,Kidney
44,ABHD14B_proteomics,-0.41040193565702593,0.0007977630238044933,Kidney
7279,RSL1D1_proteomics,0.40950331982608695,0.000807275452888401,Kidney
2157,DDX56_proteomics,0.4093328008966161,0.000807275452888401,Kidney
6976,RENBP_proteomics,-0.40968172662334096,0.000807275452888401,Kidney
4415,LNPK_proteomics,0.4093993605493632,0.000807275452888401,Kidney
1805,COTL1_proteomics,-0.40938046478908596,0.000807275452888401,Kidney
5249,NASP_proteomics,0.4454289975704572,0.0008456636450349613,Kidney
5358,NDUFS8_proteomics,-0.4079965457066895,0.0008456636450349613,Kidney
5248,NASP_proteomics,0.4454289975704572,0.0008456636450349613,Kidney
4119,KBTBD11_proteomics,0.40774923111136124,0.0008495377940255402,Kidney
589,ARHGEF16_proteomics,0.40708907402222805,0.0008731486106387485,Kidney
204,ADH6_proteomics,-0.4066574963564832,0.0008862386072961851,Kidney
5324,NDUFA6_proteomics,-0.4060336875154688,0.0009090844917564311,Kidney
6532,PRPS1_proteomics,0.40584737485115,0.0009104844973701983,Kidney
3369,GPAT3_proteomics,-0.4048999725363038,0.0009393483324290895,Kidney
423,ANKRD44_proteomics,-0.40493654947175456,0.0009393483324290895,Kidney
5319,NDUFA3_proteomics,-0.4048085573966024,0.0009393483324290895,Kidney
321,ALDH1B1_proteomics,-0.4045201969002473,0.0009462772019542792,Kidney
8840,TRAPPC6B_proteomics,-0.40398968762220216,0.0009659526126454317,Kidney
9415,WIPF1_proteomics,-0.40272306708487204,0.0009705297613790976,Kidney
8955,TTC28_proteomics,0.4031174400472982,0.0009705297613790976,Kidney
