,Comparison,Correlation,P_value,Cancer Type
2495,DOCK2_proteomics,-0.4400847028736206,1.6816601687282443e-06,Hnscc
4228,INPP5D_proteomics,-0.4400583857621493,1.6843391978159522e-06,Hnscc
9877,VAV1_proteomics,-0.43946391089850745,1.745943823346517e-06,Hnscc
6831,PPM1K_proteomics,-0.4388457323694496,1.812265281199678e-06,Hnscc
4179,IL1RAP_proteomics,0.43878359073020146,1.8190625843955986e-06,Hnscc
6195,P4HA1_proteomics,0.43838024410527143,1.8637728096900646e-06,Hnscc
6664,PLOD1_proteomics,0.4370437775073418,2.0194718001212863e-06,Hnscc
1636,CGGBP1_proteomics,-0.4368511964664086,2.0428977511851033e-06,Hnscc
6030,NUB1_proteomics,-0.4337400677994331,2.4588950496279657e-06,Hnscc
3201,FGL2_proteomics,-0.4335338962802843,2.489121527900838e-06,Hnscc
10041,WIPF1_proteomics,-0.4332703408113532,2.5282731615041573e-06,Hnscc
8903,TBC1D1_proteomics,-0.43320159163906957,2.5385813883099386e-06,Hnscc
2951,F11R_proteomics,0.43231466183825784,2.675184117644018e-06,Hnscc
1648,CHCHD2_proteomics,0.43191308632664227,2.7392948254617434e-06,Hnscc
8670,ST6GAL1_proteomics,-0.4310267641993515,2.885975527804016e-06,Hnscc
2661,EFNA1_proteomics,0.4304135149258218,2.991779215871139e-06,Hnscc
7347,RASIP1_proteomics,-0.4303666495631692,3.000013978198652e-06,Hnscc
5447,MSRA_proteomics,-0.4302357864495482,3.023121712840938e-06,Hnscc
956,BLOC1S5_proteomics,-0.4299276903252824,3.078191542003374e-06,Hnscc
2504,DOK2_proteomics,-0.42929088899833834,3.195035720969672e-06,Hnscc
8376,SMAP2_proteomics,-0.42839089201604824,3.3673421766220983e-06,Hnscc
3665,GRAP2_proteomics,-0.4280928767245835,3.4263080552610333e-06,Hnscc
2941,EXT1_proteomics,0.43721836421496885,3.4729009111658713e-06,Hnscc
1204,CADPS2_proteomics,-0.44898414873437575,3.5341880697741036e-06,Hnscc
7125,PTPN18_proteomics,-0.42586986426033724,3.8979703981976824e-06,Hnscc
2968,FADD_proteomics,0.42536265363840564,4.01386666144582e-06,Hnscc
7345,RASAL3_proteomics,-0.42493070884197964,4.115124083578488e-06,Hnscc
4984,MAP4K1_proteomics,-0.4232537960756701,4.531560021463983e-06,Hnscc
221,ADPRH_proteomics,-0.42319209437660177,4.547616948889223e-06,Hnscc
2493,DOCK10_proteomics,-0.42119090046744045,5.0984999196236185e-06,Hnscc
6207,PACSIN1_proteomics,-0.4642313736569086,5.2179428357272795e-06,Hnscc
4214,INHBA_proteomics,0.4205589520795511,5.28515932941436e-06,Hnscc
7549,RIPK3_proteomics,-0.42049314202604027,5.304964270699829e-06,Hnscc
1300,CAVIN2_proteomics,-0.4196447588164822,5.5666309712327714e-06,Hnscc
477,AP1S2_proteomics,-0.4187672117278523,5.850078138207353e-06,Hnscc
6944,PRKAR2B_proteomics,-0.4186443323233162,5.890838240275687e-06,Hnscc
443,ANO1_proteomics,0.41830133382150775,6.006036057834539e-06,Hnscc
1437,CD4_proteomics,-0.4172324388659395,6.378811906335976e-06,Hnscc
9186,TMEM159_proteomics,0.4172320149528149,6.378963983086507e-06,Hnscc
598,ARHGDIB_proteomics,-0.4172130431511783,6.385773525887755e-06,Hnscc
3652,GPSM3_proteomics,-0.4163502879889822,6.70278883260027e-06,Hnscc
1949,CORO1A_proteomics,-0.41624040770107457,6.744213043181656e-06,Hnscc
3518,GLRX_proteomics,-0.4158674292676963,6.886631353679203e-06,Hnscc
8754,STX6_proteomics,0.4156265148813595,6.980124532581366e-06,Hnscc
1231,CAMSAP2_proteomics,0.41541673440419147,7.062508858422555e-06,Hnscc
3513,GLIPR2_proteomics,-0.4152524066007333,7.127682562795651e-06,Hnscc
5853,NGLY1_proteomics,-0.41500566527937777,7.226607874557923e-06,Hnscc
8518,SP2_proteomics,-0.4647985567775924,7.415797191771923e-06,Hnscc
1187,CAB39L_proteomics,-0.4135769168321187,7.82536001034674e-06,Hnscc
1424,CD276_proteomics,0.41317233553674015,8.003221815693229e-06,Hnscc
7159,PURB_proteomics,0.4123792046608771,8.363007939313787e-06,Hnscc
5283,MMRN2_proteomics,-0.41219121915536966,8.45048966349991e-06,Hnscc
8499,SORBS2_proteomics,-0.41176270252026836,8.653139329963523e-06,Hnscc
1430,CD34_proteomics,-0.4116507158477375,8.706848546876117e-06,Hnscc
3308,FRMD6_proteomics,0.4116095072250173,8.72669127674862e-06,Hnscc
5998,NSF_proteomics,-0.41151940082757166,8.770227719099056e-06,Hnscc
7129,PTPN6_proteomics,-0.41132119058497596,8.86671749076344e-06,Hnscc
5708,NCKAP1L_proteomics,-0.4107485259871254,9.151142377277261e-06,Hnscc
