,Comparison,Correlation,P_value
3015,EGFR_proteomics,1.0,0.0
7212,PHLDA1_proteomics,0.7134204152693155,2.6448256049797982e-14
7214,PHLDA3_proteomics,0.6820335902295296,1.705262359242771e-12
5201,LANCL2_proteomics,0.5758171115708379,2.040789063405042e-07
4835,ITGB4_proteomics,0.566094615355106,3.9725047250795756e-07
4685,IL1RAP_proteomics,0.5534365530380927,1.0098296567512986e-06
1892,CHCHD2_proteomics,0.5423067079458568,2.2221114530106966e-06
4815,ITGA2_proteomics,0.5371518411820837,2.9745006884160495e-06
1714,CDCP1_proteomics,0.5252347247037491,5.6269867809334375e-06
2335,CSNK1A1_proteomics,0.5252979469746348,5.6269867809334375e-06
10468,TRIM29_proteomics,0.5269577117251991,5.6269867809334375e-06
3480,FAT2_proteomics,0.5128053584902297,1.345098626848904e-05
6433,NECTIN1_proteomics,0.5088502838248644,1.671051404854933e-05
8360,RIN1_proteomics,0.5064940073772978,1.848761988850026e-05
8940,SESN3_proteomics,0.5037323261705324,1.9830089464233898e-05
5955,MPZL2_proteomics,0.5038370480913837,1.9830089464233898e-05
3132,ENDOD1_proteomics,0.49895032809989276,2.421697851378947e-05
976,BAG3_proteomics,0.4989307522008832,2.421697851378947e-05
3762,FZD6_proteomics,0.4983327450139829,2.421697851378947e-05
1782,CELSR1_proteomics,0.49791620224716265,2.421697851378947e-05
7213,PHLDA2_proteomics,0.5530974075537096,2.6855916893082475e-05
5176,LAD1_proteomics,0.49100726573125436,3.602081365378646e-05
5143,KRT5_proteomics,0.49022819937552287,3.639695850755376e-05
7797,PSIP1_proteomics,-0.48619935721039953,4.6187671930100905e-05
5187,LAMB3_proteomics,0.485619967177139,4.6187671930100905e-05
8969,SFN_proteomics,0.48336549581404387,5.188962398397454e-05
9540,SRC_proteomics,0.4807984500430953,5.9574422433018764e-05
7640,PPP4R1_proteomics,0.4727183452842625,9.899543105673987e-05
5190,LAMC2_proteomics,0.4719490028848538,0.00010059210377003242
5819,MICALL1_proteomics,0.4698161674597923,0.00011196207840808802
543,ANXA8_proteomics,0.46806470115444015,0.00011328879509679078
510,ANKRD50_proteomics,0.46818306791906317,0.00011328879509679078
4839,ITGB8_proteomics,0.4684109228653611,0.00011328879509679078
3980,GNA15_proteomics,0.4778146183077582,0.00011328879509679078
10186,TMEM134_proteomics,0.46049482545525183,0.00017575481539811196
2167,COL7A1_proteomics,0.4593933416295043,0.0001783672260979511
3185,EPHA2_proteomics,0.45946857748662484,0.0001783672260979511
3727,FSCN1_proteomics,0.45549503225779414,0.00021661505894632606
7993,RAB10_proteomics,0.4555224523045231,0.00021661505894632606
10312,TNKS1BP1_proteomics,0.4548286130089668,0.00022023832351811352
5144,KRT6A_proteomics,0.45434278525879357,0.0002215197854123199
6569,NOL3_proteomics,0.4518205726406787,0.0002333778640496827
4821,ITGA6_proteomics,0.45166532417169797,0.0002333778640496827
4820,ITGA6_proteomics,0.45166532417169797,0.0002333778640496827
7739,PROM2_proteomics,0.5071078801822884,0.0002333778640496827
3449,FAM83H_proteomics,0.45184530484778995,0.0002333778640496827
5134,KRT19_proteomics,0.4463904611775447,0.0003096367921549647
7603,PPP1R13L_proteomics,0.4466405084509317,0.0003096367921549647
4542,HSPB1_proteomics,0.4457644540734367,0.0003118722114047555
3479,FAT1_proteomics,0.4456043312690522,0.0003118722114047555
7322,PKP3_proteomics,0.44429884477992365,0.0003310480117806873
5568,MAP3K6_proteomics,0.43842138743628545,0.0004624711696481033
6349,NCKAP1_proteomics,0.43437079665819067,0.0005768049670367853
6929,PANX1_proteomics,0.4323487177322789,0.0006374356799126652
10273,TMPRSS4_proteomics,0.4315575066446269,0.0006543981771648073
7848,PSPH_proteomics,0.43127599920537407,0.0006543981771648073
1992,CLCA2_proteomics,0.42764803278882146,0.0007905814745455461
288,AGAP3_proteomics,0.43654610404880795,0.0007905814745455461
287,AGAP3_proteomics,0.43654610404880795,0.0007905814745455461
2255,CPNE8_proteomics,0.4266551903182387,0.0007979732937467063
2136,COL14A1_proteomics,-0.4258250522662611,0.0008231681958290475
3384,FAM160A1_proteomics,0.42492848434726616,0.0008525089434546467
5062,KLC3_proteomics,0.42433580837845475,0.0008678371091669445
544,ANXA8L1_proteomics,0.4230220003726851,0.0009205762350125697
10617,TTYH3_proteomics,0.43108439762884615,0.0009747729899374135
2574,DDR1_proteomics,0.4203667087253302,0.0010067525042011887
7370,PLEKHA1_proteomics,0.42047646940789896,0.0010067525042011887
2383,CTNNA1_proteomics,0.4206789708210336,0.0010067525042011887
11120,WLS_proteomics,0.41959207110534313,0.00100713594895553
7423,PLXNA1_proteomics,0.419703995643859,0.00100713594895553
2800,DNASE1L1_proteomics,0.4199065903403883,0.00100713594895553
2189,COMT_proteomics,0.41896112071790675,0.0010278492739089506
9170,SLC2A1_proteomics,0.4186492328549266,0.0010278492739089506
6618,NPTN_proteomics,0.41849060801670734,0.0010278492739089506
2319,CRYBG2_proteomics,0.4374554997978549,0.0010284679271185993
7427,PLXNB2_proteomics,0.415633076900528,0.0011627844310973634
4869,JADE3_proteomics,-0.41556241277041095,0.0011627844310973634
3981,GNAI1_proteomics,0.4148801100852144,0.0011920768512916026
