[0917/190055.222:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0917/194104.956:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194109.963:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194114.975:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194119.994:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194125.014:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194130.032:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194135.045:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194140.065:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194145.072:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194150.081:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194155.087:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194157.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194157.784:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194158.027:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194200.097:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/194208.071:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
