,Comparison,Correlation_Luad,Correlation_Gbm,Correlation_Brca,Correlation_hnscc,Correlation_colon,Correlation_Lscc
2,GRB2_proteomics,-0.3024385657756904,-0.6108891162098071,,-0.532341215310538,,
3,SOCS2_proteomics,,0.5627196030682289,,,,0.47857382010393895
4,CDH4_proteomics,,0.5591797537196763,,,,
5,PLA2G15_proteomics,,-0.5566242323733048,0.2741849473526441,,,
6,DAB2_proteomics,,-0.5564015379913563,0.3260553475239116,-0.2084366411133521,,
7,GLA_proteomics,,-0.5504906315237544,,,,
8,CTSC_proteomics,0.30276041161402084,-0.5462852751917662,0.26693956593905577,,,
9,CKB_proteomics,,0.5442462597158703,,,,
10,DCBLD2_proteomics,0.2659465146221208,-0.5653725668293248,,,,0.22255343464455213
11,ARNT2_proteomics,,0.5420787847456093,-0.24395824229879556,,,
12,SHC1_proteomics,,-0.5405244914396086,,,0.2032501666619065,
13,SCPEP1_proteomics,,-0.531494133013942,0.3991869646977245,,,
14,ROBO2_proteomics,,0.5271277906035979,,,,0.2618789164323751
15,PHLDA3_proteomics,0.2317888048637517,0.5258827854613878,0.1851237636957071,0.7637844857470779,,0.6856437017419061
16,BLOC1S2_proteomics,,-0.5229648266822912,,-0.2554786425608909,,
17,ATP7A_proteomics,0.21414384612394086,-0.5224817306372646,,,,
18,MEOX2_proteomics,,0.5458632466939957,,,,
19,CD180_proteomics,,-0.5182666129723484,,,,
20,FAM129B_proteomics,0.18891311819458487,-0.5149840251387472,0.34409341711677,0.2116977705686348,,0.35320095999548584
21,SEC23IP_proteomics,-0.26661208835537786,-0.5144035788843105,-0.2573069982684186,-0.22270043873123385,,
22,TOR4A_proteomics,,-0.5138471291537452,,,,
23,XRN1_proteomics,,-0.5116564308207833,,,,
24,PCDH17_proteomics,,0.5060447136622968,,,,
25,WAS_proteomics,-0.3379086881786271,-0.5019180366341212,,-0.5034268684782973,0.2824011479649168,
26,LRP4_proteomics,,0.5008960940270109,,,,
27,ARHGAP4_proteomics,-0.1972943945119724,-0.4989264348229207,,-0.4664129768292121,,-0.19381922248091002
28,NPC2_proteomics,0.29251983063392983,-0.498790591960705,0.2795993233274339,,,
29,IKBKE_proteomics,,-0.5197345389973977,,,,
30,GPRIN3_proteomics,-0.2408571056392249,-0.4978363548048215,,-0.5445271846593618,,-0.2102539258502994
31,PPP1R18_proteomics,,-0.4972021285670396,0.3591418178715906,,,
32,NEO1_proteomics,,0.4969841203020866,,,,
33,CTSB_proteomics,-0.2493331222817278,-0.4968953119173142,0.34104789265687063,0.2123973624310506,,
34,EPHB3_proteomics,0.3547889384770181,0.4960189368683785,0.36945002605750177,0.357080046048712,,0.18827431463840527
