,Comparison,Correlation,P_value,Cancer Type
213,CSNK2A1_proteomics,0.4206784789963057,0.0005593095569622621,Kidney
701,PHKA2_proteomics,0.42011023531521174,0.0005706471453178001,Kidney
454,IRAK4_proteomics,0.4199176654778298,0.0005706471453178001,Kidney
810,RCC1_proteomics,0.41956857450752577,0.0005754656128034798,Kidney
994,TOR1A_proteomics,-0.41819380680502827,0.0006153406899657159,Kidney
584,NDUFA10_proteomics,-0.4173700707317939,0.0006312292775270455,Kidney
648,OSTF1_proteomics,-0.41734999385293853,0.0006312292775270455,Kidney
416,HMGA1_proteomics_1,-0.41713693724288914,0.0006318865780748757,Kidney
644,OGA_proteomics,0.4167229530565999,0.0006398605058214606,Kidney
359,GEMIN5_proteomics,0.4145761790054593,0.0007145448195244202,Kidney
671,PDAP1_proteomics,0.41358696801782463,0.00074734092303811,Kidney
867,SH3BP5L_proteomics,0.4127119559528032,0.0007645427761769631,Kidney
1085,ZADH2_proteomics,-0.41261962356142257,0.0007645427761769631,Kidney
790,QARS_proteomics,-0.41269830203343716,0.0007645427761769631,Kidney
696,PGK2_proteomics,0.4119232115588151,0.0007867557133574437,Kidney
877,SLC16A1_proteomics,0.41164533583629,0.0007909709698941151,Kidney
901,SMYD5_proteomics,0.41136696200804146,0.0007953010500268944,Kidney
969,TINAG_proteomics,-0.4107599722436086,0.0008064880025889214,Kidney
609,NDUFS7_proteomics,-0.41077209691350114,0.0008064880025889214,Kidney
6,ABHD14B_proteomics,-0.41040193565702593,0.0008147017150953328,Kidney
815,RENBP_proteomics,-0.40968172662334096,0.0008168526684364463,Kidney
497,LNPK_proteomics,0.4093993605493632,0.0008168526684364463,Kidney
203,COTL1_proteomics,-0.40938046478908596,0.0008168526684364463,Kidney
831,RSL1D1_proteomics,0.40950331982608695,0.0008168526684364463,Kidney
244,DDX56_proteomics,0.4093328008966161,0.0008168526684364463,Kidney
574,NASP_proteomics,0.41000520295815157,0.0008168526684364463,Kidney
773,PSAP_proteomics_1,-0.4077799894811492,0.0008675758053190118,Kidney
467,KBTBD11_proteomics,0.40774923111136124,0.0008675758053190118,Kidney
610,NDUFS8_proteomics,-0.4079965457066895,0.0008675758053190118,Kidney
89,ARHGEF16_proteomics,0.40708907402222805,0.000891687944156743,Kidney
36,ADH6_proteomics,-0.4066574963564832,0.0009050558772511444,Kidney
592,NDUFA6_proteomics,-0.4060336875154688,0.0009283868423338199,Kidney
771,PRPS1_proteomics,0.40584737485115,0.0009298165738965085,Kidney
588,NDUFA3_proteomics,-0.4048085573966024,0.0009592932671312533,Kidney
67,ANKRD44_proteomics,-0.40493654947175456,0.0009592932671312533,Kidney
379,GPAT3_proteomics,-0.4048999725363038,0.0009592932671312533,Kidney
52,ALDH1B1_proteomics,-0.4045201969002473,0.0009663692555105132,Kidney
1006,TRAPPC6B_proteomics,-0.40398968762220216,0.0009864624289930878,Kidney
41,AGL_proteomics,0.40328184391889177,0.000991136763115244,Kidney
1047,UQCRFS1_proteomics,-0.4032294633502277,0.000991136763115244,Kidney
463,ITPR3_proteomics,0.4036684988286203,0.000991136763115244,Kidney
294,EMC8_proteomics,-0.4034963586337079,0.000991136763115244,Kidney
1071,WIPF1_proteomics,-0.40272306708487204,0.000991136763115244,Kidney
1020,TTC28_proteomics,0.4031174400472982,0.000991136763115244,Kidney
796,RABGAP1_proteomics,-0.40293868928540966,0.000991136763115244,Kidney
1069,WDR91_proteomics,0.40280718141133204,0.000991136763115244,Kidney
743,PPIA_proteomics,0.40226341178902714,0.0010082892276354401,Kidney
583,NDRG1_proteomics,0.40190844497961475,0.001019977329873306,Kidney
556,MTCL1_proteomics,0.40165858142332755,0.0010260016825319458,Kidney
516,MAP3K21_proteomics,0.410124760642199,0.001037751898620748,Kidney
651,P3H2_proteomics,0.40110459967713213,0.0010413417108701539,Kidney
47,AK3_proteomics,-0.40091328072265975,0.0010443359745068068,Kidney
809,RBSN_proteomics,-0.3996502825155044,0.0011094663892883222,Kidney
297,ENO2_proteomics,0.3994007916246056,0.0011161988757983502,Kidney
955,TBL3_proteomics,0.39847300234880545,0.00116451369444164,Kidney
11,ACAA1_proteomics,-0.39820811981637283,0.0011726080252348772,Kidney
58,ALKBH5_proteomics,0.39761865442795846,0.0011762117971711751,Kidney
587,NDUFA2_proteomics,-0.3977119325762647,0.0011762117971711751,Kidney
1057,VPS45_proteomics,-0.3978493495296719,0.0011762117971711751,Kidney
125,BBX_proteomics,-0.3978004364229971,0.0011762117971711751,Kidney
37,ADPRHL2_proteomics,0.3973302069885756,0.0011779462908990466,Kidney
768,PRMT7_proteomics,0.41549890669093614,0.0011779462908990466,Kidney
1,AARSD1_proteomics,0.39705363532144927,0.0011872222978529805,Kidney
869,SH3GL2_proteomics,-0.3963897681573756,0.0012214787485739158,Kidney
1068,WDR81_proteomics,0.39615447890491506,0.0012284651311024993,Kidney
605,NDUFS2_proteomics,-0.39541135632676583,0.0012692102798129562,Kidney
374,GNG12_proteomics,0.3952830766399285,0.0012693327322691153,Kidney
140,C12orf29_proteomics,0.3947649499068387,0.0012873995402023866,Kidney
920,SRP54_proteomics,-0.3948244585877352,0.0012873995402023866,Kidney
1046,UQCRC2_proteomics,-0.3945326247460934,0.0012947638202404964,Kidney
573,NAPA_proteomics,-0.394253449937688,0.0013054338222826271,Kidney
433,IDUA_proteomics,-0.394126200849498,0.001305738474280456,Kidney
194,CLASP2_proteomics_1,-0.3927198706263198,0.001366478310255719,Kidney
18,ACSF2_proteomics,-0.39311988282929444,0.001366478310255719,Kidney
752,PPP1R14B_proteomics,0.39279782334843405,0.001366478310255719,Kidney
283,EIF1B_proteomics,-0.3926571711456852,0.001366478310255719,Kidney
63,ANGPTL4_proteomics,0.3929253058027984,0.001366478310255719,Kidney
166,CCT6A_proteomics,0.39180984385285733,0.0014123203941172496,Kidney
594,NDUFA8_proteomics,-0.39178980643968575,0.0014123203941172496,Kidney
15,ACLY_proteomics,0.39118139705143745,0.0014489856089988278,Kidney
346,FZD1_proteomics,0.3909120145682141,0.0014605312125922057,Kidney
1075,XPNPEP1_proteomics,0.3895013062291278,0.00156222823032651,Kidney
320,FAM49A_proteomics,-0.38932767972935145,0.0015668709765983809,Kidney
950,TBC1D8B_proteomics,0.38909453099782776,0.0015670501491968105,Kidney
127,BCL10_proteomics,0.389167764089556,0.0015670501491968105,Kidney
721,PLCL2_proteomics,-0.3878597878423546,0.0016323968466900982,Kidney
997,TRADD_proteomics,0.38784998783404745,0.0016323968466900982,Kidney
698,PGM3_proteomics,0.38793591719248066,0.0016323968466900982,Kidney
117,ATP6V1G2_proteomics,-0.38801113109821417,0.0016323968466900982,Kidney
843,SCPEP1_proteomics,-0.386583468079414,0.0017324009693339088,Kidney
734,PMVK_proteomics,0.38610056024315736,0.0017657145334260514,Kidney
800,RABL6_proteomics,-0.3858770657617188,0.001775876916899877,Kidney
57,ALKBH4_proteomics,0.3848726227496497,0.001848501593256986,Kidney
1056,VPS13C_proteomics,-0.38489556754319354,0.001848501593256986,Kidney
110,ATP6V1A_proteomics,-0.38440820031819267,0.0018822565942326634,Kidney
521,MAPK1_proteomics,0.38394642699187687,0.0019163611759660602,Kidney
729,PLSCR4_proteomics,0.4070104768852263,0.0019209545789281395,Kidney
1045,UQCRC1_proteomics,-0.3836943270009517,0.0019209545789281395,Kidney
623,NNMT_proteomics,0.38352037036875875,0.0019209545789281395,Kidney
308,ERP29_proteomics,-0.3834655849013757,0.0019209545789281395,Kidney
913,SORD_proteomics,-0.38334201299263626,0.0019225670492435587,Kidney
783,PTPRCAP_proteomics,-0.4948637768637183,0.0019670919309610017,Kidney
382,GPD1L_proteomics,-0.38218592617613373,0.0019670919309610017,Kidney
925,STARD5_proteomics,-0.39828420156650574,0.0019670919309610017,Kidney
518,MAP3K7CL_proteomics,0.4910453524700379,0.0019670919309610017,Kidney
542,MPI_proteomics,0.382524286152424,0.0019670919309610017,Kidney
597,NDUFB10_proteomics,-0.38242885064651744,0.0019670919309610017,Kidney
948,TBC1D13_proteomics,-0.3822829611001698,0.0019670919309610017,Kidney
979,TMEM159_proteomics,0.3815584414711376,0.002016953916524849,Kidney
1080,YBX3_proteomics_1,0.3811564616270433,0.002036765854436321,Kidney
952,TBCA_proteomics,0.3811917924160885,0.002036765854436321,Kidney
21,ACTN4_proteomics,-0.38105831877856056,0.002036765854436321,Kidney
586,NDUFA13_proteomics,-0.3796411999038003,0.002166594116469802,Kidney
398,H6PD_proteomics,0.3796135927972575,0.002166594116469802,Kidney
254,DMXL2_proteomics,-0.37952870092449226,0.002166594116469802,Kidney
856,SEPT6_proteomics,-0.3790389139863016,0.0022046564694460976,Kidney
940,SUOX_proteomics,-0.3789816761155964,0.0022046564694460976,Kidney
72,ANXA6_proteomics,-0.3788574848666766,0.0022073945518907663,Kidney
740,POLR1E_proteomics,0.3787397020644232,0.0022094753361310616,Kidney
1009,TRIM55_proteomics,0.4413679653215082,0.002279188951821765,Kidney
179,CETN3_proteomics,0.3775227854940477,0.0023061948886691666,Kidney
135,BRIX1_proteomics,0.3771419296205561,0.0023061948886691666,Kidney
225,CYB5R3_proteomics,0.37723810341941705,0.0023061948886691666,Kidney
886,SLC2A3_proteomics,0.3771057611596619,0.0023061948886691666,Kidney
907,SNX18_proteomics,-0.3771883630992352,0.0023061948886691666,Kidney
1081,YDJC_proteomics,0.3911674606686435,0.0023061948886691666,Kidney
608,NDUFS5_proteomics,-0.3774090872154351,0.0023061948886691666,Kidney
301,EPB41L3_proteomics_1,-0.37675514958991607,0.0023357182616855856,Kidney
911,SNX6_proteomics,-0.3763416733375697,0.002373034137755817,Kidney
1043,UQCR11_proteomics,-0.3971770856312512,0.002389765323039483,Kidney
660,PARD3B_proteomics,-0.37571524524158917,0.002425173687539812,Kidney
538,MKRN2_proteomics,-0.374914546552907,0.002511626760542028,Kidney
167,CCT8_proteomics,0.37462100054816455,0.00253657561025124,Kidney
593,NDUFA7_proteomics,-0.37418714646403767,0.0025796087835402754,Kidney
688,PFDN5_proteomics,0.3740763737505586,0.0025818591250836445,Kidney
559,MYL6B_proteomics,0.3733072929476111,0.002630154928495059,Kidney
799,RABGGTB_proteomics,0.3729689559086916,0.002630154928495059,Kidney
275,EFNA1_proteomics,0.37308274386325946,0.002630154928495059,Kidney
1048,UQCRQ_proteomics,-0.3735800109505546,0.002630154928495059,Kidney
27,ADA2_proteomics,-0.3732390479518142,0.002630154928495059,Kidney
544,MPP7_proteomics,-0.37296955048658226,0.002630154928495059,Kidney
793,RAB39A_proteomics,0.3868968422862116,0.002630154928495059,Kidney
51,ALDH16A1_proteomics,-0.37307603582034093,0.002630154928495059,Kidney
440,IFT81_proteomics,0.371808731951722,0.0027720621996463034,Kidney
296,ENO1_proteomics,0.371415626532341,0.0028135508639019094,Kidney
595,NDUFA9_proteomics,-0.3712303758755275,0.0028267696955941433,Kidney
322,FBP1_proteomics,-0.3710154638825103,0.002844209837296277,Kidney
503,LRRC40_proteomics,0.3703127767137431,0.0029307337112569154,Kidney
