,Comparison,Correlation,P_value,Cancer Type
2804,EGFR_proteomics,1.0,0.0,Luad
3614,GGCT_proteomics,0.6090062021637369,8.961433687711434e-09,Luad
4838,LANCL2_proteomics,0.5888080582787203,4.733914417889246e-08,Luad
6252,NUDCD3_proteomics,0.5683828297279072,2.502211760931454e-07,Luad
9170,TAX1BP1_proteomics,0.5615544926721305,3.7340129419971346e-07,Luad
214,ADGRF1_proteomics,0.6068124376801186,1.2229379439717046e-06,Luad
3826,GRAP_proteomics,-0.5441949411386242,1.2229379439717046e-06,Luad
1602,CDK13_proteomics,0.541352988659871,1.3618436701347583e-06,Luad
3824,GRAMD2B_proteomics,0.5621979613870919,2.0233180188726626e-06,Luad
5103,MACC1_proteomics,0.5222575198923531,5.202097979786671e-06,Luad
10070,URGCP_proteomics,0.5157807882035345,7.864740226840802e-06,Luad
6676,PGRMC1_proteomics,0.5123219374034529,9.418620158928297e-06,Luad
8708,SNX13_proteomics,0.5095785343045973,1.0724779424308668e-05,Luad
912,BAG6_proteomics,0.5043013171808813,1.4836118293938697e-05,Luad
3781,GPC4_proteomics,0.49953487456917617,1.9060143005484635e-05,Luad
2882,ELOB_proteomics,0.49913074875270175,1.9060143005484635e-05,Luad
1445,CCDC47_proteomics,0.4955948228302136,2.1216359497558504e-05,Luad
3601,GET4_proteomics,0.4946142413076791,2.1216359497558504e-05,Luad
2661,DPY19L1_proteomics,0.4957418062264653,2.1216359497558504e-05,Luad
9983,UBL4A_proteomics,0.49474903000080706,2.1216359497558504e-05,Luad
3027,ESRP1_proteomics,0.4871642358418356,3.448500517528589e-05,Luad
5351,MET_proteomics,0.48569150743892037,3.576910107633093e-05,Luad
7637,RBP5_proteomics,-0.48536030884856035,3.576910107633093e-05,Luad
4830,LAMP2_proteomics,0.47896568784492777,5.2799686841749295e-05,Luad
2250,CUTC_proteomics,-0.47858050251729345,5.2799686841749295e-05,Luad
8946,STARD5_proteomics,-0.4863166492180247,5.5995795047700704e-05,Luad
9460,TMEM106B_proteomics,0.4760758333323769,5.5995795047700704e-05,Luad
7549,RARA_proteomics,0.47629733473360986,5.5995795047700704e-05,Luad
7565,RASGRP2_proteomics,-0.4731973372682005,6.577789304409202e-05,Luad
3801,GPR89A_proteomics,0.4701602634479226,7.8049661994031e-05,Luad
8540,SLC34A2_proteomics_1,0.4663443368537523,8.679806085214435e-05,Luad
4769,KRI1_proteomics,0.4660285270092378,8.679806085214435e-05,Luad
6210,NSDHL_proteomics,0.46658741734905207,8.679806085214435e-05,Luad
7044,PPIA_proteomics_1,0.46649269443513247,8.679806085214435e-05,Luad
8539,SLC34A2_proteomics,0.46771761211607576,8.679806085214435e-05,Luad
10512,ZMIZ2_proteomics,0.46583410982803375,8.679806085214435e-05,Luad
3035,ETF1_proteomics,0.4651461644897561,8.838545549518504e-05,Luad
1215,C6orf89_proteomics,0.47287429568917727,9.624944687276823e-05,Luad
4525,IVL_proteomics,0.46305374010987077,9.624944687276823e-05,Luad
2901,EMD_proteomics,0.4618219843307426,0.00010172904732011191,Luad
9622,TOR1AIP2_proteomics,0.46073496075040965,0.00010401087329284532,Luad
764,ATE1_proteomics,-0.46079379290535705,0.00010401087329284532,Luad
8090,SAMD12_proteomics,0.4600405041519496,0.00010629076382552455,Luad
1924,CNKSR1_proteomics,0.4587419709732064,0.0001130086197853306,Luad
1010,BLVRA_proteomics,0.4548141222367076,0.00014124147710119025,Luad
8956,STAT5B_proteomics,-0.4545850377152757,0.00014124147710119025,Luad
7362,PURB_proteomics,0.45405266460907073,0.00014301697241767523,Luad
6902,PLS3_proteomics,0.4526909438576488,0.00015272072749343468,Luad
8849,SPTLC2_proteomics,0.45084393667758427,0.00016817292736664546,Luad
7106,PPP3CB_proteomics,-0.4487285436308015,0.00018459209288039226,Luad
10221,VSTM2L_proteomics,0.45648182376775864,0.00018459209288039226,Luad
5260,MBOAT2_proteomics,0.4484072178619765,0.00018472702054184853,Luad
2067,COTL1_proteomics,-0.4463412857867368,0.0001915101646356825,Luad
3109,FAF2_proteomics,0.44707511214636697,0.0001915101646356825,Luad
3250,FBXL18_proteomics,0.44614404723737794,0.0001915101646356825,Luad
7454,RAB38_proteomics,0.4466356662850438,0.0001915101646356825,Luad
7173,PRKCB_proteomics,-0.4470013385024822,0.0001915101646356825,Luad
3049,EVI5L_proteomics,0.446080877450079,0.0001915101646356825,Luad
4134,HMOX2_proteomics,0.4453657512368711,0.00019681904351824095,Luad
8973,STK17A_proteomics,0.45340417336209915,0.00021221418031191501,Luad
6421,PAFAH1B1_proteomics,-0.44246572102865644,0.0002240489699880616,Luad
10686,ZYG11B_proteomics,0.4427123003127549,0.0002240489699880616,Luad
9860,TTYH3_proteomics,0.4402506487395471,0.0002525507574062132,Luad
4674,KIDINS220_proteomics,0.43892003794662127,0.00026960284032680106,Luad
3519,GALNT10_proteomics,0.4385655282913318,0.0002712365477363557,Luad
3139,FAM13A_proteomics,0.43760304242213893,0.00027895745808059796,Luad
857,ATP9A_proteomics,0.43767965201010184,0.00027895745808059796,Luad
2415,DDX41_proteomics,0.43662612475140483,0.0002915787734500425,Luad
9905,TXNDC17_proteomics,0.4358109332325393,0.00030182844069782597,Luad
2315,DAAM1_proteomics,0.4321835177833664,0.0003644683076519765,Luad
7107,PPP3CC_proteomics,-0.43227148671382276,0.0003644683076519765,Luad
7647,RCC1_proteomics,0.4315642438461721,0.0003728871836197752,Luad
9743,TRIP11_proteomics,0.43083888253124497,0.0003737145360373472,Luad
8734,SOD2_proteomics,-0.4312042116041133,0.0003737145360373472,Luad
8321,SETD7_proteomics,0.4309722915415085,0.0003737145360373472,Luad
507,ANXA6_proteomics,-0.4305207150302893,0.00037581374797598086,Luad
8017,RSPRY1_proteomics,0.42940077574713,0.00038980517983731324,Luad
7307,PTK2_proteomics,0.429174225331246,0.00038980517983731324,Luad
3201,FAM84B_proteomics,0.4290334239499909,0.00038980517983731324,Luad
5131,MAL2_proteomics,0.43836435432162957,0.00038980517983731324,Luad
9563,TNFAIP8L3_proteomics,-0.4277237785237742,0.00041074165123771225,Luad
2711,DUSP6_proteomics,0.43528502234718247,0.00041074165123771225,Luad
2145,CRLF3_proteomics,-0.42611773342628984,0.00044578821515872707,Luad
6316,ODR4_proteomics,0.4249355619572455,0.00047189314317812406,Luad
94,ACAP1_proteomics,-0.4240403377666107,0.0004912287645908898,Luad
6078,NIPSNAP2_proteomics,0.42155672041097736,0.0005604159023069334,Luad
3130,FAM120C_proteomics,0.42109131666962585,0.0005612982500280995,Luad
2895,EMC3_proteomics,0.42093279648327303,0.0005612982500280995,Luad
3864,GSPT1_proteomics,0.421196189805154,0.0005612982500280995,Luad
8765,SPAG1_proteomics,0.42024131945241205,0.0005775187088575448,Luad
9702,TRAPPC8_proteomics,-0.41973919999709397,0.0005878293601360972,Luad
10379,YIPF1_proteomics,0.4275808970973711,0.0006251506113216405,Luad
1580,CDC42BPG_proteomics,0.4180002250548582,0.0006284143742472366,Luad
7178,PRKCQ_proteomics,-0.41817537058263576,0.0006284143742472366,Luad
8424,SI_proteomics,-0.5975355899050299,0.0006344534339898207,Luad
3689,GMFG_proteomics,-0.41759865020681786,0.0006344534339898207,Luad
8545,SLC35E1_proteomics,0.41712617645718797,0.0006344534339898207,Luad
7132,PRCP_proteomics,-0.41740023847814667,0.0006344534339898207,Luad
7569,RASSF1_proteomics,-0.4307299619666217,0.0006710437033931482,Luad
425,AMY1B_proteomics,0.4147514607537657,0.0007016029909140963,Luad
4026,HERPUD2_proteomics,0.48518683395581896,0.0007016029909140963,Luad
3843,GRK5_proteomics,-0.41450478682167113,0.0007016029909140963,Luad
