,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
1037,UQCRB_proteomics,-0.43661881033735117,1.855576545454054e-06,0.0002812633873272098,Kidney
285,EIF4A2_proteomics,-0.43636366280180283,1.8843661282486743e-06,0.0002812633873272098,Kidney
533,MICALL1_proteomics,-0.43550116886982937,1.9848500199227894e-06,0.0002875518019073418,Kidney
318,FAM13A_proteomics,0.4354934389879527,1.985773111501948e-06,0.0002875518019073418,Kidney
557,MTR_proteomics,0.4351272310750163,2.029974029159228e-06,0.0002896295298662181,Kidney
687,PFKL_proteomics,0.43479765166586304,2.070549053070406e-06,0.00029113720163607363,Kidney
497,LPCAT1_proteomics,0.4318754950216019,2.4654635735339732e-06,0.0003417132512918087,Kidney
686,PFKFB2_proteomics,-0.43720354616974555,2.786226199621911e-06,0.0003754439803990525,Kidney
685,PFKFB2_proteomics,-0.43720354616974555,2.786226199621911e-06,0.0003754439803990525,Kidney
603,NDUFS1_proteomics,-0.4286134523222177,2.9901991038899894e-06,0.0003974097493964476,Kidney
898,SNX1_proteomics,-0.4281641309950198,3.070258863391999e-06,0.0004025358309814753,Kidney
447,INPP4A_proteomics,-0.42712614128024795,3.2630270527601128e-06,0.0004221051795450482,Kidney
697,PHLDA3_proteomics,0.4325299757098131,3.651700740714689e-06,0.00046616842876860416,Kidney
194,CLASP2_proteomics,-0.43355402844784396,3.837621453894198e-06,0.000471333266308737,Kidney
195,CLASP2_proteomics,-0.43355402844784396,3.837621453894198e-06,0.000471333266308737,Kidney
361,GK_proteomics,-0.42429165721696815,3.8493963064863535e-06,0.000471333266308737,Kidney
606,NDUFS4_proteomics,-0.4240125623607438,3.912231477510481e-06,0.000471333266308737,Kidney
210,CPNE8_proteomics,0.42391219382415285,3.935064375490383e-06,0.000471333266308737,Kidney
357,GGA1_proteomics,-0.4229122060363112,4.169534292817011e-06,0.0004933270940111053,Kidney
1022,TULP3_proteomics,0.42179368359720393,4.447416785536921e-06,0.0005198655138949302,Kidney
5,ABCC3_proteomics,0.421531974365294,4.514914333876223e-06,0.0005214726055627038,Kidney
214,CSNK2A1_proteomics,0.4206784789963057,4.741825069118896e-06,0.0005412374920069591,Kidney
696,PHKA2_proteomics,0.42011023531521174,4.89882486723436e-06,0.0005523598716619375,Kidney
453,IRAK4_proteomics,0.4199176654778298,4.9531342851565205e-06,0.0005523598716619375,Kidney
805,RCC1_proteomics,0.41956857450752577,5.053038788242101e-06,0.0005570975264036916,Kidney
988,TOR1A_proteomics,-0.41819380680502827,5.4652786351416016e-06,0.0005957767788555485,Kidney
584,NDUFA10_proteomics,-0.4173700707317939,5.727283181612832e-06,0.0006113128480382881,Kidney
644,OSTF1_proteomics,-0.41734999385293853,5.733814591989715e-06,0.0006113128480382881,Kidney
640,OGA_proteomics,0.4167229530565999,5.94137732494695e-06,0.0006265569870286446,Kidney
356,GEMIN5_proteomics,0.4145761790054593,6.7069709543571944e-06,0.0006996885182706827,Kidney
667,PDAP1_proteomics,0.41358696801782463,7.090234837059179e-06,0.000731802748820725,Kidney
862,SH3BP5L_proteomics,0.4127119559528032,7.446377385326451e-06,0.0007486469534183383,Kidney
784,QARS_proteomics,-0.41269830203343716,7.452066093741122e-06,0.0007486469534183383,Kidney
1077,ZADH2_proteomics,-0.41261962356142257,7.48492625042041e-06,0.0007486469534183383,Kidney
691,PGK2_proteomics,0.4119232115588151,7.781798537447465e-06,0.000770398055207299,Kidney
872,SLC16A1_proteomics,0.41164533583629,7.903323175163241e-06,0.0007745256711659976,Kidney
896,SMYD5_proteomics,0.41136696200804146,8.026857590097844e-06,0.0007787657233912929,Kidney
608,NDUFS7_proteomics,-0.41077209691350114,8.296967693936435e-06,0.0007897200848927851,Kidney
963,TINAG_proteomics,-0.4107599722436086,8.302561189349009e-06,0.0007897200848927851,Kidney
6,ABHD14B_proteomics,-0.41040193565702593,8.46934564541979e-06,0.0007977630238044933,Kidney
810,RENBP_proteomics,-0.40968172662334096,8.814449326237901e-06,0.000807275452888401,Kidney
826,RSL1D1_proteomics,0.40950331982608695,8.901961328153246e-06,0.000807275452888401,Kidney
496,LNPK_proteomics,0.4093993605493632,8.953332145122379e-06,0.000807275452888401,Kidney
204,COTL1_proteomics,-0.40938046478908596,8.96269930729551e-06,0.000807275452888401,Kidney
245,DDX56_proteomics,0.4093328008966161,8.98636867779296e-06,0.000807275452888401,Kidney
609,NDUFS8_proteomics,-0.4079965457066895,9.674409835587834e-06,0.0008456636450349613,Kidney
574,NASP_proteomics,0.4454289975704572,9.675187033485951e-06,0.0008456636450349613,Kidney
573,NASP_proteomics,0.4454289975704572,9.675187033485951e-06,0.0008456636450349613,Kidney
