,Difference_In_Median_Brca,P_Value_Brca,Difference_In_Median_Endo,P_Value_Endo,Difference_In_Median,P_Value
C9orf72,-1.13745,0.047774458271784934,,,,
CAB39,,,,,-0.1739,0.03863681582526595
CACHD1,-0.989,0.03406261245489158,,,,
CALML3,0.6472500000000001,0.0018629527250351196,,,,
CAMK4,0.574,0.03312746902515293,,,,
CAMSAP1,0.43195,0.008396702943274428,,,,
CAND1,0.3177,0.012934351429745757,,,,
CAPN13,1.7351,0.019646292439163868,,,,
CAPN9,1.13225,0.04785207388735748,,,,
CARS2,-0.31765000000000004,0.013238614558230605,,,,
CAST,,,,,0.27040000000000003,0.029772374014504745
CBL,0.4219,0.008843305912187316,,,,
CBLB,,,-0.1627,0.04656612480162815,-0.3236,0.02024548209054404
CBX5,,,,,0.2718,0.034173504758093866
CCDC134,,,0.261,0.047723344691767984,,
CCDC25,,,0.27979999999999994,0.017219509786802402,,
CCDC58,,,0.1817,0.03817935123207576,,
CCNA2,-0.5906,0.014023834669517043,,,,
CCNDBP1,,,-0.589,0.02609416179765436,,
CCNL2,,,-0.20655,0.02985090722443526,,
CCS,-0.48575,0.006912707300494645,,,,
CD207,,,1.105,0.049926285570019976,,
CD320,-1.895,0.00016956642001481566,,,,
CD34,,,-0.4445,0.009461720023806141,,
CD47,,,,,-0.1928,0.022198701970499328
CD81,,,-0.5555,0.02139929008605305,,
CD99,0.6771,0.020409581308645525,,,,
CDC20,-1.2091,0.020916585597231932,,,,
CDC42BPA,,,-0.3434,0.003770265292767344,,
CDC42EP4,-0.6269,0.03810942679173188,,,,
CDC42SE2,,,,,-0.37985,0.00890331710524665
CDCA8,-1.03845,0.019236558835806574,,,,
CDH11,,,-0.24450000000000005,0.008206924405845313,,
CDH13,,,-0.3685,0.03725129511744143,,
CDK14,0.8278500000000001,0.031939026392181484,,,,
CDK17,,,-0.3331000000000001,0.026967841939092446,,
CDK18,,,0.2864,0.0230718664513194,,
CDK2AP1,-0.65215,0.01745814841417129,,,,
CDK8,,,,,-0.6784,0.0051439875169816025
CDKN2AIPNL,0.50085,0.030418634224069444,,,,
CDR2,,,-0.4877,0.0033128024244412075,,
CDS2,0.55235,0.043919801450552035,,,,
CECR5,-1.14195,0.0018602823806443875,,,,
CELF2,,,,,0.3685,0.008423831748366846
CENPV,-1.6095499999999998,0.022453851054664183,,,,
CEP164,1.28705,0.02142317433781761,,,,
CES1,,,-0.0565,0.04551211726573982,,
CFL2,-0.8348500000000001,0.0299282530551684,,,,
CGGBP1,-0.31025,0.03636853644559116,,,,
CHCHD1,-0.62605,0.003052333667938318,0.1119,0.048896290449812516,,
CHCHD2,-0.34315,0.04011408056719072,0.5285000000000001,0.0017098879968886055,,
CHCHD3,,,0.2754,0.041988116622319716,,
CHCHD4,-0.9615,0.005911808549513545,,,,
CHD7,,,0.27625000000000005,0.03480372011699217,,
CHDH,-1.9472,0.0003091088089430799,,,,
CHGB,-3.0079,0.02425761246713833,,,,
CHRD,,,-0.4983,0.0013165617189940136,,
CHTF8,-1.07865,0.01792144046518209,,,,
CINP,-0.3297,0.0493008777311617,,,,
CIRBP,,,,,0.455,0.002971174964536648
CISD1,-0.7258499999999999,0.003865992828492449,,,,
CIZ1,0.3699500000000001,0.029273072237915813,,,,
CLASP2,,,-0.11070999999999999,0.03064010854189377,,
CLCA2,0.9878,0.016395089858323927,,,,
CLCN5,0.4153,0.04793021615230536,,,,
CLDN3,-1.25725,0.036282934437138,,,,
CLDND1,-1.5084,0.023056484922020472,,,,
CLIC3,,,0.5495,0.0457792033947357,,
CLK1,0.6173500000000001,0.015321667716960937,,,,
CLPB,-0.31375000000000003,0.017564738518906917,,,,
CLPP,-0.8590000000000001,0.00033847360132457807,,,,
CLPX,-0.2928,0.011789931911239249,,,,
CMC2,-0.6768,0.005053917923592089,,,,
CMC4,,,0.27081500000000003,0.006328272555419043,,
CMPK2,,,,,-0.29500000000000004,0.0018524172222621079
CMTR1,,,,,-0.0679,0.010768533235279557
CNKSR3,-0.8543,0.033946639665984366,,,,
CNPY4,0.76515,0.010361870938478138,,,,
COA1,-0.8785000000000001,0.030151963271185564,,,,
COA4,,,0.432,0.01422636621214987,,
COA5,,,0.2878000000000001,0.027736194631198183,,
COA6,,,0.4119,0.03996940126345717,,
COA7,-0.79735,0.004722198652109869,,,,
COASY,,,0.10520000000000003,0.035948539289586884,,
COBL,-0.82855,0.03154358572308755,,,,
COG3,,,,,-0.17625,0.03141700397589731
COIL,,,,,0.1881,0.044885743065366114
COL16A1,1.2193500000000002,0.022984517103962696,,,,
COL17A1,2.8085500000000003,0.007465108332219286,,,,
COL1A1,,,-1.226,0.008300492892242784,,
COL1A2,,,-0.7295,0.028542939038681818,,
COL24A1,1.0278,0.033205612245683885,,,,
COL28A1,,,-0.63,0.00782794833384318,,
COL5A1,2.07625,0.0385128787554749,-0.31799999999999995,0.013737346583043777,,
COL5A2,1.60775,0.01903656944516235,,,,
COL5A3,1.0868,0.003809017400419404,,,,
COL6A3,,,-0.7729999999999999,0.01734392101668767,,
COL7A1,0.7383,0.013053909797308234,,,,
COLEC12,,,-0.5985,0.03572764987251582,,
COMT,,,0.4545,0.024574834450918917,,
COQ5,-0.5102,0.03232705674866156,,,,
COQ7,-0.945,0.04428141121281129,,,-0.2253,0.041001022471665566
COQ8A,-0.8793,0.027671820880387284,,,-0.4324,0.04428043560785743
CORO7-PAM16,,,0.375,0.0008765032670550649,,
COX15,,,0.7163999999999999,0.017206255821797304,,
COX19,-0.51345,0.022475804733121763,,,,
COX5A,-0.85995,0.028530685235072312,0.2495,0.040935151937073665,,
COX5B,-0.39675,0.009936551262883007,,,,
COX6A1,-0.37605,0.02781887107957876,0.30299999999999994,0.041836447135604825,,
COX6C,-1.0049,0.007204383558959739,,,-0.13249999999999998,0.023869182811855263
COX7A2L,,,,,-0.5082,0.04546882788114818
COX7B,-1.16145,0.0026561370413920554,,,,
COX8A,-0.48935,0.02466574033965652,,,,
CPB1,-1.9614000000000007,0.005804152052352664,,,,
CPEB2,-0.5419499999999999,0.01834693030591324,,,,
CPEB4,-0.5859,0.00439284817732991,,,,
CPLX2,-5.887599999999999,0.0010769932134208251,,,,
CPT2,-0.57965,0.03484530334552073,,,,
CPXM1,,,-0.406,0.012014112872249613,,
CRAMP1,-0.5931,0.019677021122965103,,,,
CREG1,-0.5022500000000001,0.04335879165365565,,,,
CRISPLD2,,,-0.5830000000000001,0.025396619807630208,,
CSMD3,-0.6049499999999999,0.011476264431511438,,,,
CSNK2A2,,,,,-0.11785,0.019949542559430003
CSPP1,-0.5483,0.016291108323383843,,,,
CST6,0.8675999999999999,0.007293331331106905,,,,
CTPS2,,,0.2935,0.004157393344197063,,
CTSC,-0.8484,0.01701056694348796,,,,
CTSF,-0.9801,0.024693377951597668,,,,
CTTN,-0.90655,0.01693361602606606,,,,
CTTN,-0.90655,0.01693361602606606,,,,
CYB5A,1.36025,0.0283778487815782,,,,
CYC1,-0.5395,0.017842036971636308,,,,
CYCS,-0.5781499999999999,0.039953892469645404,,,,
DAAM2,-0.22695,0.04468990703097732,,,,
DAP3,-0.58985,0.01567035560636879,,,,
DBT,-0.29345,0.029005217934059867,,,,
DCAF7,,,,,0.2311,0.02164204304970765
DCP1B,-0.4249,0.04069808963964956,,,,
DCUN1D1,0.52,0.014778219468262722,,,,
DDX19B,-0.69995,0.0016142254134262973,,,,
DDX28,-0.8859999999999999,0.001286320134390906,,,,
DDX47,,,,,-0.26365,0.029849708474382387
DDX5,-0.3614,0.014014626118717762,,,,
DDX52,-0.3184,0.04819141700140078,,,,
DECR1,-0.2804,0.042081535227248924,,,,
DENND3,,,,,-0.26564999999999994,0.04029623477964442
DENND4B,,,-0.07645,0.04604100254911414,,
DENND5A,,,-0.32299999999999995,0.015621324405178109,,
DENND6A,,,-0.11919999999999994,0.01236387226147633,,
DENR,,,0.27946,0.01767143963769987,,
DGCR14,-0.4226,0.008240002434817081,,,,
DHTKD1,-1.47195,0.003490526866969646,,,,
DHX16,-0.2183,0.03944765426555312,,,,
DHX33,-0.54135,0.02536011470768316,,,,
DHX35,,,,,-2.5175,0.012888411986988162
DIABLO,,,0.23885,0.0036710520717506898,,
DLAT,-0.6499999999999999,0.016956382970360857,,,,
DLD,-0.64045,0.004421614687726489,,,,
DLG1,0.5286500000000001,0.009287829814785141,,,,
DLGAP4,,,,,0.2108,0.0471325541285634
DLST,-0.43615,0.024695117979251845,,,,
DMXL2,-0.7757000000000001,0.017485289384494708,,,,
DNAJA1,-0.34465,0.041294936225905965,,,,
DNAJA3,-0.29900000000000004,0.027715389897484642,,,,
DNAJA4,-0.69055,0.0110683585730195,,,,
DNAJB4,,,-0.3835,0.038731049686118034,,
DNAJC13,0.6141,0.0001971590102922144,-0.1248,0.03764309148968989,,
DNAJC19,-0.6445500000000001,0.004532387336475327,0.36200000000000004,0.0039328499407759,,
DNAJC21,0.5849000000000001,0.021394281211506848,-0.1917,0.011453560639514396,,
DNAJC21,0.5849000000000001,0.021394281211506848,-0.1917,0.011453560639514396,,
DNAJC8,-0.3139,0.03711189303039589,,,,
DNM2,-1.2117,0.002136601325216248,,,,
DNTTIP2,-0.25365,0.041383148556064495,,,,
DOCK1,1.11835,0.002183089315465289,,,,
DPAGT1,1.1552,0.04649990748598423,,,,
DPH2,,,,,0.1812,0.046136322303093835
DPM1,0.4474,0.007904829484942973,,,,
DPP4,,,,,-0.326,0.04935723559851534
DST,1.2635500000000002,0.0394104767630671,,,,
DTX2,,,0.3621,0.004289916605606825,,
DUS1L,-0.5029,0.0025075401517014365,,,,
DUS2,,,0.16060000000000002,0.009971487504560131,,
DUT,,,0.35190000000000005,0.034776831375990656,,
ECHS1,-0.7507499999999999,0.036658368234028085,,,,
ECSIT,-0.9406,0.005834757612490318,,,,
EED,,,,,-0.1113,0.028187864954269923
EFNA1,1.2562,0.034694483434234216,,,,
EFS,,,-0.2175,0.04841426294879166,,
EI24,1.2159,0.02393122877427603,,,,
EIF3J,-0.5331,0.017555875352345096,,,,
EIF4B,,,,,0.233,0.04788250757704197
EIF4ENIF1,,,0.1155617,0.037452914748236636,,
EIF4G1,0.3273,0.021551063982539267,,,,
ELAVL1,-0.19015,0.037162555357158435,,,,
ELMO2,,,-0.259,0.04204587697845346,,
ELOVL1,,,,,0.1131,0.0499916898745287
ELP3,0.36685,0.014106378912966922,,,,
ELP4,0.26370000000000005,0.049556666927086566,,,0.2773,0.033899002837835486
ELP6,0.377,0.047357332181738376,,,,
EMC1,,,,,-0.1047,0.01520468839183374
EMC8,-0.5813,0.011228372127636551,,,,
EMG1,-0.5277,0.04742670450832283,,,,
EMILIN1,1.00625,0.03166960511846143,-0.528,0.027644274568623287,,
EML6,0.77825,0.003999976163191229,,,,
ENAH,0.51805,0.03743906835613437,,,,
ENGASE,-0.72295,0.007976150840699883,,,,
ENO2,-1.47275,0.009106451018334124,0.6609999999999999,0.048611946197502726,,
ENOPH1,-0.6225000000000002,0.028700824993025963,,,,
ENPEP,,,-0.6094999999999999,0.016636770750706777,,
EPB41L1,,,0.4523,0.028779627800439495,,
EPB41L3,,,-0.4819999999999999,0.017960891502128894,,
EPCAM,-1.9954000000000005,0.031407983600006815,,,,
EPHB2,,,0.29689999999999994,0.04496680978248625,,
ERBB3,,,,,-0.07880000000000001,0.03663088532599403
ERCC1,,,-0.08073999999999999,0.027403682754874162,,
ERICH1,-0.9162,0.0495867177510173,,,,
ERMP1,0.81315,0.014836930049495031,,,,
ESRP1,,,0.31299999999999994,0.048597861213538686,,
ESRP2,,,0.345,0.0030909689167845193,,
ETFA,-0.9483,0.002248278788666137,,,,
ETFB,-0.63415,0.027046980052454688,,,,
ETFRF1,-0.7133,0.02365748925151872,0.4585,0.019282429948358774,,
EVI5L,0.6847500000000001,0.0095317257623282,,,,
EXO1,-0.831,0.001960556462399429,,,,
EXT2,1.04815,0.023554661353180927,,,,
FABP5,-1.2097,0.005148366232638325,,,,
FAF1,,,,,0.0843,0.02372898913784133
FAHD1,-0.53345,0.030970237355018,0.4315,0.03104024994107198,,
FAIM,-0.52965,0.033050205897842584,,,,
FAM102A,0.73735,0.03453477815499651,,,,
FAM107B,-0.5093,0.03498190089341567,,,,
FAM120A,0.23505,0.029790764209236043,,,,
FAM136A,,,0.49,0.014699068183555828,,
FAM160A1,-1.2083,0.002811951135262785,0.3065,0.023052876265878455,,
FAM160B1,0.2635,0.048696772737158917,-0.24398360000000002,0.027184998788550917,,
FAM192A,-0.4421499999999999,0.049251925856715964,,,,
FAM208A,,,-0.2372,0.0030620610106393124,,
FAM210A,,,0.2175,0.00848890279387042,,
FAM221A,-1.1383,0.03170660943616267,,,,
FAM83F,-0.6949000000000001,0.03703011377360326,,,,
FANCI,-0.6417499999999999,0.017766494107928722,,,,
FAP,,,-0.5069999999999999,0.001931710111133838,,
FAS,,,0.622,0.0105292545927765,,
FASTKD1,-0.6339,0.03422327069641117,,,,
FASTKD2,-0.4794999999999999,0.004252487963933826,,,,
FBLN5,1.7506,0.0247584485698374,,,,
FBXO11,,,-0.1187,0.013038299243768285,,
FBXO4,0.6221,0.02512783226334431,,,,
FCHSD2,,,-0.2466,0.028259179451385976,,
FECH,-0.59735,0.024020712538738973,,,,
FER,,,-0.22910000000000005,0.011130507368410956,,
FES,,,-0.2265,0.0325735122945174,,
FGD4,-0.5156000000000001,0.008922565607527314,,,,
FGFRL1,1.5052,0.03610424546094075,,,,
FIBP,-0.3227,0.040618123597782836,,,,
FKBP2,-0.30810000000000004,0.028756437844463762,,,,
FKBP4,-0.3912000000000001,0.048750448078538684,,,,
FKBP5,,,,,0.3751,0.04940617639881579
FMC1,-1.01545,0.0133470187917474,0.31861799999999996,0.029264074502478324,,
FN1,0.5883499999999999,0.011843277380304159,,,,
FNBP1L,,,,,0.17160000000000006,0.033083327868757416
FOCAD,0.2572,0.04169760920280331,,,,
FOXO1,,,-0.2155,0.033714274240082664,,
FOXO3,0.6509999999999999,0.004959336291988039,,,,
FRG1,-0.36,0.011045480872609077,,,,
FRMD6,0.84195,0.01776331094351265,,,,
FSD1L,-1.45395,0.005694679247062035,,,,
FTH1,-0.4991,0.025613028703200952,-0.02899999999999998,0.04858642007527258,,
FTL,-1.27005,0.01253475709920572,,,,
FYTTD1,0.71645,0.028475164672496837,,,,
G3BP2,-0.348,0.0342451043593168,,,0.26370000000000005,0.04030226781207651
GABARAPL2,-0.84565,0.015265948295064138,,,-0.273,0.049592014447406095
GADD45GIP1,-0.3634500000000001,0.005281865498944176,,,,
GALNT10,1.3169499999999998,0.03279871266397387,,,,
GART,,,,,0.23960000000000006,0.03951803239077343
GAS6,,,-0.5429999999999999,0.0012084146621957918,,
GATB,,,0.23150000000000004,0.04428892138209288,,
GATM,,,0.9024,0.0033622094428711045,,
GBE1,,,-0.3503,0.04731591363360989,,
GCDH,-0.6859500000000001,0.01554220278917035,,,,
GCSH,-0.638,0.0012699374354424515,,,,
GDAP2,-0.5769500000000001,0.04538979786030253,,,-0.15489999999999998,0.028003726961718732
GDI2,-0.22015,0.03572593831767653,,,,
GEM,,,-0.4285,0.0254785733498068,,
GEMIN7,-0.6501,0.022050517382894885,,,,
GFM2,-0.79085,0.005138038153740597,,,,
GGA1,-0.2912,0.039800589123733514,,,,
GGA2,-0.4377,0.016700016637013915,,,,
GGCT,,,0.4315000000000001,0.006077524871969555,,
GINS1,,,-0.24685,0.024264225071827007,,
GIT2,,,-0.2832000000000001,0.011449314169391387,,
GLRX2,-0.5194,0.030141236460880114,,,,
GLS,-0.73975,0.044005121792744295,,,,
GLUD1,-0.43815,0.00994180596313762,,,,
GLUD2,-1.3381999999999998,0.002742044549965988,,,,
GLYR1,,,,,-0.25745,0.016900849927322967
GNAI3,0.63705,0.042068045902874815,,,,
GNB1L,-0.36715,0.02208926087735825,,,,
GOLGA1,0.6897000000000001,0.005267196659973925,,,,
GOLIM4,0.80145,0.04345910631464255,,,,
GOSR2,0.4778,0.03965391896727883,,,,
GOT2,,,,,-0.3935,0.009635741333488568
GPATCH8,-0.17240000000000005,0.034385614697830885,,,,
GPC1,,,-0.5565,0.010444910919918244,,
GRPEL1,-0.76135,0.015302509863891159,0.5538,0.025599507568583896,,
GRSF1,-0.4805999999999999,0.014037137766342906,,,,
GSK3B,0.5879,0.008524289857570375,,,,
GSTA1,-1.6390500000000006,0.01655095769505093,,,,
GSTM1,-3.74005,0.02550709135764064,-1.1815000000000002,0.045891847883536285,,
GSTM4,-1.5808,0.008296207833415017,,,,
GSTT1,,,,,-1.04,0.014880862788054009
GTDC1,,,-0.2088,0.04678147602335641,,
GTF2H3,,,-0.2949,0.03762558110874807,,
GTF3C1,0.3213,0.022724330194583798,,,,
GTPBP10,-0.82565,0.009589384554425344,,,,
GTPBP3,-0.7064999999999999,0.0008333286877813881,,,,
GULP1,,,-0.3480000000000001,0.04194634350114258,,
GYG1,-0.38085,0.034902325267322884,,,,
HACE1,0.55455,0.015721896791721562,-0.3925,0.037604009081856696,,
HADHA,,,,,-0.14900000000000002,0.03339609220219776
HAGH,-0.6466,0.003382721956028007,,,,
HARS2,,,0.10295,0.014940694982347062,,
HBG1,,,,,-0.8055,0.049870492600797234
HCCS,,,0.3415,0.0023515797217587837,,
HCFC2,,,-0.1943,0.01933839352712381,,
HDAC7,,,,,0.4445,0.002300528943907497
HDLBP,,,-0.12564999999999998,0.04581262740626424,,
HEATR5A,0.5461,0.03779177777523419,,,,
HECTD1,0.32530000000000003,0.0440027598406327,,,,
HERC5,,,-0.16799999999999998,0.02519547084786893,,
HEXDC,-0.9282,0.03126417747631211,,,,
HIBADH,-0.7623,0.006886479933158289,,,,
HIBCH,-0.57125,0.030621457659734275,,,,
HIF1AN,0.3746,0.035772976668414835,,,,
HIKESHI,,,-0.19649999999999995,0.023303228022290453,0.49,0.04024480940820911
HLA-B,-1.36705,0.007689769545681914,,,,
HLA-DPA1,-1.00375,0.019455043147423925,,,,
HLA-DRB3,,,1.013,0.022149293527059424,,
HLA-DRB5,,,1.597,0.049997379937520806,,
HMCN1,0.7725499999999998,0.04832854663519172,,,,
HMG20B,-0.34575,0.035889564057164966,,,,
HMGCL,,,0.4935,0.012785277903572324,,
HMGN2,,,,,0.5045000000000001,0.03062926024761612
HMGN4,,,-0.4375000000000001,0.03936355169277578,,
HNRNPA1,,,,,0.389,0.02350802646827839
HNRNPAB,,,0.359,0.04306597105129988,,
HNRNPH2,,,,,-0.1417,0.03964699104781786
HNRNPUL1,-0.41745,0.045365785522156865,,,,
HOMER2,-0.705,0.03630776059433439,,,,
HOXC10,2.0642,0.011373430850550809,,,,
HPGD,-0.9744499999999992,0.01105537814786561,,,,
HPS4,0.5435,0.0335375848441842,,,,
HPS5,,,-0.2092,0.007914430121648922,,
HSCB,-0.5496,0.0071797037407774315,0.28809,0.034603733299106744,,
HSD17B10,-0.5685,0.00571664617863878,0.1558,0.04955683653320599,,
HSH2D,-1.7558,0.03378517921865536,,,,
HSPA12B,,,,,-0.057,0.04614027689878444
HSPA13,,,-0.18855,0.018510422601155083,,
HSPA1A,-0.64345,0.00451208038830235,,,,
HSPA9,-0.8220000000000001,0.010835753769720327,0.3281,0.04010962433658796,,
HSPBP1,,,,,0.2497,0.03036132014427825
HSPD1,-1.0407,0.00018490273587622004,,,,
HSPE1,-1.8929,4.857910259137483e-05,,,,
HSPE1-MOB4,-1.3057,1.1771067500890933e-06,,,,
HTATIP2,-1.14105,0.005431088031304139,,,,
HUWE1,,,0.11398,0.048446145712506924,,
