,Difference_In_Median_Brca,P_Value_Brca,Difference_In_Median_Endo,P_Value_Endo,Difference_In_Median,P_Value
AAGAB,-0.1854,0.9832627939185232,0.097,0.7737039450156402,,0.00645955845281498
AASDHPPT,0.5462,0.003931520106440098,-0.06340000000000001,0.4055714956980728,,0.6871607779616598
ABAT,0.09199999999999997,0.37460708469069903,-0.031000000000000028,0.47739314228511265,,0.01288616464460732
ABCA13,0.5804,0.038297979694509036,,,,
ABCB7,-0.2837,0.2535493932012241,0.13279999999999997,0.34906984258084595,,0.016268993805823532
ABCB8,0.09240000000000001,0.34186328535996047,0.1271,0.9187500274831428,,0.02787863323702949
ABCD1,-0.6742000000000001,0.02759434090738028,-0.1586,0.6918576606797706,,0.4667328496855715
ABHD11,-0.606,0.03971742640953232,-0.17599999999999996,0.42371042857209895,,0.2285536000640009
ABHD13,0.42,0.04895245435949514,-0.05174999999999999,0.8917496413806603,,
ABHD16A,0.020299999999999985,0.8293486874992428,0.01100000000000001,0.8305097236161406,,0.000187804385811894
ABL1,0.3258,0.0016416131744491555,-0.07600000000000001,0.062498133336254355,,0.8678409019067433
ABLIM1,0.53,0.23293303307068441,-0.06599999999999999,0.7154894556263107,,0.02186336871950435
ACAP2,0.30369999999999997,0.004205184263641369,-0.03799999999999998,0.5916909831680988,,0.10003336752150788
ACE2,-2.39485,0.24545908061051647,,,,0.009051002184442346
ACO2,-0.5339,0.007147401389934253,0.309,0.03548338650972893,,0.992697094764736
ACOT13,-0.3066,0.01755624889184095,0.012999999999999984,0.04165726263028594,,0.023282652601160764
ACOT7,-0.8009000000000002,0.03710541551956766,0.10880000000000001,0.8779278062753835,,0.27502432553287764
ACOT8,0.5029,0.3657441140387939,0.152,0.10134150535271255,,0.035202044508593
ACOT9,-0.041799999999999976,0.8702142876839263,0.134,0.15611273176177323,,0.0018110689380901508
ACSF2,0.3468,0.5768259728623775,0.11399999999999999,0.22245093211316536,,0.019670357942261345
ACSF3,-0.4074,0.04980298394412301,-0.0011600000000000004,0.5930574448664189,,0.08151347644265261
ACSL5,0.5502,0.513423864634408,-0.101,0.8796446764497883,,0.003917147814327396
ACTR6,-0.0487,0.2465405442133601,0.09440000000000001,0.037525012400575854,,0.9280311367149352
ACTR8,-0.019599999999999992,0.08679664867374311,-0.07769999999999999,0.00538798784647911,,0.6564531648832004
ACYP2,-0.7513000000000001,0.028470315462921416,0.09630000000000002,0.6295997327512292,,0.6451431106023098
ADAMDEC1,-0.9047999999999998,0.16233339765001462,0.4095,0.37536454282030773,,0.029845737366362788
ADAMTS12,0.5127,0.028918667689567988,,,,
ADAMTS2,0.8605,0.01951023040529971,-0.2188,0.1783716056207011,,
ADCY3,0.1941,0.8000496719700105,-0.09400000000000006,0.04752714222318928,,
ADD2,-0.8269,0.01372540702537545,0.0919,0.7195805313425354,,0.1169565567513551
ADGRE2,-0.74105,0.0322832493824094,0.11219999999999998,0.8493463843037203,,
ADPRH,-0.3186,0.029363218016704322,0.0020000000000000018,0.862193066390397,,0.0581592456891547
ADSS,0.27070000000000005,0.04181255280115527,0.036000000000000004,0.9978068081403919,,0.5620522832799744
AFDN,-0.7509999999999999,0.002575712746009936,0.027999999999999997,0.35645388944523004,,0.4106526388949324
AGAP3,-0.545,0.000448103689300956,-0.014700000000000005,0.9542659807045382,,0.9569273803454763
AGK,-0.28,0.04083279880491735,0.0925,0.3604977624338752,,0.017118796374479245
AGR2,-0.2685,0.41115095050035455,-0.08400000000000007,0.8717896742961052,,0.024133769118362354
AGRN,0.3702999999999999,0.04565902713215059,-0.2529836,0.0914014034336527,,0.2190958914976165
AGTPBP1,-0.2577,0.5256769866615425,-0.15326,0.023353399299942585,,
AHCYL2,-0.43799999999999994,0.017245684933112324,-0.048999999999999995,0.7448893056369666,,0.8239508709585008
AHSP,-0.9759,0.017127814452878944,-0.13799999999999996,0.999836684935401,,0.44313090384358034
AIFM1,-0.54,0.045579880884637915,0.253,0.18933729064449556,,0.0018761095389754918
AIFM2,-0.5808,0.004536978747618994,0.04000000000000001,0.9961617798924578,,0.2404287705235591
AIM1,0.18679999999999986,0.1619529353879025,,,,0.027130414733845837
AJUBA,0.7787,0.03701162145885521,0.0403,0.6620585543106599,,
AK3,-0.5081,0.01537192269971298,-0.024999999999999994,0.4716327224804502,,0.011153518161420206
AKAP8L,-0.5295,0.004185328939493252,0.1982,0.00526092175815993,,0.33256661432502366
AKR1A1,0.1504,0.5775460088451423,0.0092,0.4366042830887481,,0.0241031655088487
AKTIP,-0.2632,0.053206429370284906,-0.1884,0.044790919228556964,,0.3447190329007922
ALCAM,-0.2109000000000001,0.5100811167380497,-0.09800000000000002,0.4618193804168197,,0.007795477530638274
ALDH1L1,-0.0044999999999999485,0.18588755612620442,-0.15799999999999997,0.9966028575909306,,0.04366289851871741
ALDH2,0.18320000000000003,0.5483111092576018,0.3791,0.03545014716739267,,0.19625623749106325
ALDH5A1,-1.3266999999999998,0.003444329212488592,0.17909999999999998,0.3092905346187489,,0.23187910682061805
ALDH7A1,-0.3882,0.7864872062514512,0.296,0.012857741025009075,,0.8894444979504594
ALDOC,-0.10500000000000001,0.7189864251623663,0.03899999999999998,0.4411251040776272,,0.019161146938324478
ALG13,0.2757,0.7255584489523907,0.09770000000000001,0.4104040626337373,,0.038895301895843636
ALOX5,0.005499999999999991,0.933631414233778,-0.13408,0.4863960428589784,,0.0004145135407796726
AMOTL2,0.57,0.03844866857295807,-0.17299999999999996,0.030917420794203898,,
ANK1,-0.9189,0.043489083648375615,-0.03499999999999999,0.5492606377228162,,0.16339370452869517
ANKFY1,0.3191,0.02337114649584197,-0.006499999999999999,0.6723778896855614,,0.7173489628834144
ANKRD13D,-0.3045,0.03048461176287832,0.007000000000000006,0.6110485420822837,,
ANO10,0.39490000000000003,0.046133781361967614,-0.04609999999999999,0.9727583374358153,,0.06339440208554917
ANXA8,0.8197999999999999,0.013255020099681542,0.4603999999999999,0.6479105960768445,,
ANXA8L1,0.5513000000000001,0.015449902999300628,0.8306,0.4541423809622138,,
ANXA9,2.2192,0.008519013804354186,0.10565,0.6237326354462711,,
AP2M1,0.49410000000000004,0.006840095316632753,-0.06139999999999999,0.15088454161676493,,0.6845125800100587
AP3S1,0.1135,0.4311333366479554,0.0391,0.32785047168020853,,0.04882230224668661
APBA2,-0.67135,0.047908386935247765,-0.004400000000000001,0.798661963322396,,
APBB1IP,-0.24330000000000002,0.44586678394265633,-0.13780000000000003,0.694285133933997,,0.010527107865084121
APOBEC3B,-0.5583,0.03491889522160068,0.12210000000000001,0.9983249697392201,,
APOC1,0.1461,0.6305237825087662,0.266,0.031142452229351344,,0.9040449206057116
APOL3,0.15859999999999996,0.5940171539707163,0.11349999999999999,0.680984723852655,,0.0484872899049575
APOOL,-0.1129,0.40253861699259785,0.1996,0.11234151268417039,,0.025599651669026082
ARAF,0.2836,0.0250481737173534,-0.020199999999999996,0.43472958564921516,,0.3997329817204194
ARAP2,-0.1111,0.20362019777016918,-0.2522,0.010735028600824956,,
ARFGAP3,0.1536,0.9311273833371432,0.135,0.5589873472461093,,0.009019880668697354
ARHGEF7,0.11569999999999997,0.2808906589076876,0.08079999999999998,0.351449032987149,,0.03638979780435035
ARID4A,-0.28400000000000003,0.042471103458886855,-0.019000000000000003,0.5487469340321502,,
ARL4C,0.5613,0.08724965110335621,0.18349999999999997,0.0404326850850169,,
ARL6,-0.6501,0.014091933351285791,-0.0635,0.5956864633092034,,0.9285146050224224
ARMC10,-0.485,0.47039738789385543,0.10600000000000001,0.7532558640115166,,0.007581715786438424
ARMC9,0.8916000000000001,0.03092560546684041,-0.06369999999999999,0.864503723658939,,0.4953191573298602
ARMCX2,-0.038699999999999984,0.43164028257754417,-0.15299999999999997,0.7053074976219786,,0.015769402580273855
ARNT,0.09469999999999999,0.053996064661986524,-0.0925,0.00410792900904391,,0.32188269682141074
ARPC4,0.04849999999999999,0.9746827791245714,-0.1743,0.03502511553624376,,0.175490334342495
ARRB2,-0.36560000000000004,0.04750957122094535,-0.031899999999999984,0.9742010863259477,,0.4677297201151719
ASCC3,0.3378,0.01428064778847029,-0.06259999999999999,0.9505957335419838,,0.15588034821566898
ATAD2,-0.8918000000000001,0.035471834782544245,0.004999999999999977,0.6821173255573614,,0.3924243113567366
ATAD3A,-0.5606,0.008765884752833731,0.19849999999999998,0.06016738911915015,,0.38326648040949995
ATG14,0.06329999999999997,0.028762718033517837,0.0412,0.3373290215602669,,
ATG2B,-0.05299999999999999,0.9774706541149987,-0.09509999999999998,0.014626954944779655,,
ATP1B3,-0.36519999999999997,0.3316720526495718,-0.13219999999999998,0.24307641141334943,,0.028286272848809135
ATP5H,-0.3086,0.04573679159746846,,,,0.792185261449842
ATP5S,-0.3614,0.3172852365466021,0.21066,0.04663806113694188,,0.024904746765101543
ATP6AP1,-0.4071,0.008115034772438742,0.01141,0.9788915440466126,,0.22655476548508316
ATP6V0D1,-0.2203,0.0418620304701764,0.043999999999999984,0.928077647897684,,0.23403937766268723
ATP6V1A,-0.17600000000000002,0.36209081154118705,0.1268,0.5587530464041135,,0.008302284057948476
ATP6V1B2,0.10499999999999998,0.874922332094361,0.020700000000000003,0.9894784056146089,,0.003260892931868066
ATP6V1D,-0.0751,0.5139630173019167,0.04500000000000001,0.672279795088329,,0.00011048577394285593
ATP6V1E1,-0.09239999999999998,0.3759802078215888,-0.0269,0.6877410275677069,,5.565077109905378e-05
ATP6V1F,-0.02999999999999997,0.8779278913480482,-0.01100000000000001,0.6445297822244058,,0.0037796118120527527
ATP6V1G1,-0.08510000000000001,0.633258975920794,0.086,0.41282131838109926,,0.004888191794687501
ATP6V1H,-0.07419999999999997,0.9812251277897672,0.05170000000000001,0.7226313384304953,,0.027397569727156075
ATPAF2,-0.5835,0.0036779998619317516,0.07250000000000001,0.20599857758174328,,0.6880484410596182
ATRIP,-0.42969999999999997,0.03789962542954888,0.07830000000000001,0.6440907720709844,,
