,Difference_In_Median_Brca,P_Value_Brca,Difference_In_Median_Endo,P_Value_Endo,Difference_In_Median,P_Value
A1BG,-0.6429,0.6055210211682622,-0.07100000000000006,0.7204608060734012,0.15300000000000002,0.873969412383146
A2M,0.26039999999999996,0.9177723155303554,-0.10299999999999998,0.6816877805769654,0.07100000000000006,0.9717349703270354
A2ML1,0.7490000000000001,0.07025259346926928,-0.4713500000000001,0.13621225210676954,,
AAAS,-0.1645,0.09337452735335075,-0.0741,0.29586841381945284,-0.043999999999999984,0.5573510967394839
AACS,0.07179999999999997,0.89991718572716,0.03899999999999998,0.7343263952645325,-0.037000000000000005,0.45285511732191286
AADAT,1.1229000000000002,0.17158192285993373,0.24264999999999998,0.6342380423229219,,
AAED1,-0.10749999999999998,0.970078561351484,-0.0777,0.6984917282622352,,
AAGAB,0.1854,0.9832627939185232,-0.097,0.7737039450156402,-0.133,0.00645955845281498
AAK1,-0.12150000000000001,0.5007939967698195,-0.03670000000000001,0.6358598626959966,-0.0438,0.37954580614909406
AAMDC,-0.2837,0.7176504983131187,0.022999999999999993,0.6248645586485131,-0.05400000000000005,0.4996581148762328
AAMP,0.3589,0.6234686565599582,-0.051899999999999995,0.4124253810514791,0.031400000000000004,0.9442937535374759
AAR2,-0.08360000000000001,0.4426721291432807,0.05739999999999999,0.35671023153878934,0.17769999999999997,0.3485232088854098
AARS,0.302,0.3116011330479962,-0.0965,0.5636100189137347,-0.1447,0.08614401270453374
AARS2,-0.025500000000000002,0.19400691887636717,-0.006499999999999999,0.3665460002561769,0.018799999999999997,0.6964147387625471
AARSD1,-0.059800000000000006,0.5716345104871814,-0.09943,0.18448658258329328,,
AASDHPPT,-0.5462,0.003931520106440098,0.06340000000000001,0.4055714956980728,0.0201,0.6871607779616598
AASS,-0.4835,0.33297913465048645,-0.024999999999999967,0.4982586982814591,0.09,0.41181637673819904
AATF,0.04770000000000002,0.09545100820166236,-0.047099999999999996,0.22690665480341018,-0.02400000000000002,0.6929122882416674
ABAT,-0.09199999999999997,0.37460708469069903,0.031000000000000028,0.47739314228511265,0.583,0.01288616464460732
ABCA1,0.1271,0.44167261232495014,,,,
ABCA12,0.97905,0.20206447805992125,,,,
ABCA13,-0.5804,0.038297979694509036,,,,
ABCA2,0.1728,0.4938186235357792,,,,
ABCA3,0.44615,0.5339659627450906,,,,
ABCA6,-0.3101499999999999,0.6835839565354137,,,,
ABCA8,-0.94595,0.16073464684360403,0.08800000000000002,0.19824386095671706,0.1080000000000001,0.3308500943474393
ABCB1,-0.42089999999999994,0.7850936932105015,0.21299999999999997,0.07469952657969235,0.025000000000000022,0.601898464146897
ABCB10,0.08609999999999998,0.261893104795263,0.016700000000000007,0.9275237485693948,0.139,0.2675082820632886
ABCB5,-0.10244999999999999,0.9402906567986706,,,,
ABCB6,0.4929,0.8656535839862798,0.0014999999999999996,0.3505763672934611,-0.0505,0.20049420340196722
ABCB7,0.2837,0.2535493932012241,-0.13279999999999997,0.34906984258084595,0.2234,0.016268993805823532
ABCB8,-0.09240000000000001,0.34186328535996047,-0.1271,0.9187500274831428,0.0752,0.02787863323702949
ABCC1,-0.02080000000000004,0.8119098569667349,0.19400000000000003,0.4878147573862768,-0.012200000000000016,0.7152103807396779
ABCC10,-0.8,0.4854726326318325,0.06965,0.38236742892200637,,
ABCC11,-0.10985,0.43411353722415735,,,,
ABCC2,0.007049999999999987,0.9262619943102918,,,,
ABCC3,-0.1923999999999999,0.6521635299005322,0.1603,0.7708647126756369,-0.01200000000000001,0.8822613269549606
ABCC4,0.19190000000000002,0.7012927710502317,-0.08499999999999999,0.5200171067702406,-0.0535,0.8690964309570552
ABCC5,-0.6274000000000001,0.319580825476166,,,,
ABCD1,0.6742000000000001,0.02759434090738028,0.1586,0.6918576606797706,0.22979999999999998,0.4667328496855715
ABCD3,-0.41500000000000004,0.8346730605437254,0.07500000000000001,0.9586424852325679,0.0824,0.7573045085037996
ABCE1,0.008800000000000002,0.3187571251137379,-0.08360000000000001,0.1587357446745377,0.011999999999999983,0.7344731494415407
ABCF1,0.07240000000000005,0.48390850793108875,-0.07780000000000001,0.32245448079547656,0.009399999999999992,0.05708047827695545
ABCF2,-0.05689999999999998,0.8651945727007275,-0.0058,0.6855029048935184,-0.04600000000000001,0.8283584176553767
ABCF3,-0.2264,0.15810888597920833,-0.032200000000000006,0.25543964719096035,-0.059099999999999986,0.06831516844474453
ABCG1,0.1626,0.8981383964993886,0.439,0.10961477067542665,,
ABHD10,0.5394,0.06133683074167776,-0.1358,0.21062843787324403,-0.04400000000000001,0.8411500582364514
ABHD11,0.606,0.03971742640953232,0.17599999999999996,0.42371042857209895,0.10350000000000001,0.2285536000640009
ABHD12,0.09240000000000004,0.9660696885570508,-0.03899999999999998,0.9343002731347724,-0.00019999999999999185,0.7073012532561038
ABHD13,-0.42,0.04895245435949514,0.05174999999999999,0.8917496413806603,,
ABHD14B,-0.5299,0.5240719570337928,-0.15519999999999998,0.4212668050713606,0.016999999999999987,0.7541912219871063
ABHD16A,-0.020299999999999985,0.8293486874992428,-0.01100000000000001,0.8305097236161406,0.23520000000000002,0.000187804385811894
ABHD17A,-0.012150000000000008,0.5331042975396011,0.014000000000000012,0.7911167931640212,0.12350000000000001,
ABHD17B,0.3192,0.1257788052734411,0.08409999999999998,0.6332718441531472,-0.11355,0.1455770078157211
ABHD17C,0.31875,0.34947936126854884,-0.04099999999999998,0.8137680414607805,-0.06755,0.50220004343363
ABHD3,0.014600000000000002,0.44110739858122094,-0.1033,0.8115409497535663,-0.04250000000000001,0.8007541418458408
ABHD4,0.13820000000000005,0.8557721465479937,0.0558,0.7155325442188902,,
ABHD5,-0.2074,0.6036658592399893,0.08375,0.8077717909525697,,
ABHD6,0.12084999999999999,0.9052664510884862,0.2379,0.3289295081646192,-0.09799999999999999,0.9398376026175725
ABI1,-0.0338,0.36792724551011746,0.03282,0.7387665380395891,-0.11429999999999998,0.2242144224175783
