,Difference_In_Median_Brca,P_Value_Brca,Difference_In_Median_Endo,P_Value_Endo,Difference_In_Median,P_Value
AAGAB_S311,0.3004,0.704996002644753,0.457,0.5691832869254636,-0.6655,0.014602231446096238
AAK1_T606,0.24839999999999998,0.5129137692882793,0.5700999999999999,0.0029490834995794845,-0.020499999999999997,0.8141218247444257
AAK1_T674,-0.4481,0.4800887740426144,0.573,0.002438207792128136,-0.24549999999999997,0.9509285837277195
AATF_S153,0.6917,0.025235181538258485,-0.0852,0.17723899541901017,0.254,0.23084478905517244
AATF_S316S320S321,0.30915000000000004,0.038468552920046195,,,,
ABCA1_S1145,-0.978,0.010754601923306297,0.14,0.741626361521416,0.595,
ABCD3_S40,1.5274,0.010220840922687394,-0.04385,0.9862998985611691,-0.11499999999999999,0.5331434342036838
ABHD15_S434,-0.7360500000000001,0.02475765170698847,,,,
ABI1_T174,0.22599999999999998,0.04463129508832013,,,,
ABI1_T196,0.7035999999999999,0.007973232879012427,,,,
ABL1_S639,-0.31305,0.5570907943398289,0.2943,0.013606445995538858,,
ABL1_S828,-0.6724,0.003490939779138352,0.12949999999999998,0.2143726654584736,,
ABL1_S938,-0.33755,0.026296945719718398,-0.1802,0.16688116158322128,,
ABL1_T632,-0.9822000000000001,0.02635232221188399,,,,
ABL1_Y412,-0.9025000000000001,0.0019370505869582841,,,,
ABL2_S620,1.30365,0.015480777462419467,0.013499999999999984,0.27396750184846275,0.12099999999999997,0.3699310318709663
ABLIM2_S294,0.4574,0.03724797820294104,-0.1316,0.4626973459178175,0.16399999999999998,0.4111463668709078
ABLIM2_S382,0.85055,0.03711841066254342,,,-0.2625,0.9628014286947422
ABR_S312,0.2879,0.05424561125527333,0.24435,0.015320331350198665,,
ABRACL_S27,0.6507499999999999,0.03902887649531246,,,,
ACAP3_S387S391,1.3620999999999999,0.008795731748226208,,,,
ACBD3_S345,0.7059,0.02981987296414349,,,0.006499999999999999,0.9670432330201375
ACBD3_S43,-0.68055,0.023435044256432346,0.47075,0.17651226858814958,0.061,0.4951696259888474
ACIN1_S386,-0.7096500000000001,0.03423516130383329,-0.11914999999999999,0.7574273958679546,0.29200000000000004,0.8857603760310073
ACIN1_S410,0.11009999999999998,0.972011988137611,-0.02335000000000001,0.44512513895330075,0.258,0.03180255770452793
ACIN1_S478,-0.6271,0.016459001555824616,-0.0015499999999999958,0.2373259660129066,-0.2609999999999999,0.6617397373266061
ACIN1_S478S484,-0.6799000000000001,0.01661291639963548,,,,
ACLY_S511,-1.04375,0.04183732756788811,-0.201,0.7894892773691867,,
ACTL6A_S86,0.5424,0.028345487727814728,,,,
ACTN1_T230,-0.17515,0.5735054963143571,0.5033,0.013719471768772187,0.6625,0.05335782903750141
ACTN4_S507,0.41225,0.04137940928063004,0.04100000000000001,0.6557429086698374,0.0975,0.7138756382778741
ADAM10_S740,0.12555,0.30618688201614375,-0.642,0.009548093506570425,0.0605,0.6444734150632039
ADAM17_T735,-0.6365,0.2850997863817751,0.23685,0.8632021754527185,0.212,0.02823777163100008
ADAM9_S758T761,0.6459999999999999,0.021652786985708817,,,,
ADD1_Q614S617,1.5629499999999998,0.0329650063067126,,,,
ADD1_S457N462,0.92425,0.00561067561139838,,,,
ADD2_S592,0.92205,0.04304081893284349,-0.21800000000000003,0.9526629353768364,,
ADD2_S693S697S701,1.6441,0.004401334351237804,,,,
ADD2_S697,0.6571999999999998,0.01641772233600922,0.05825,0.7767120419833136,,
ADD3_S402,-0.37939999999999996,0.3708393367415238,0.21095,0.8646894198832115,0.7709999999999999,0.02008614129699489
ADGRA2_S1274,-1.4674500000000001,0.0377761664443827,,,0.11299999999999999,0.8961879740919063
ADGRA2_S1279,-0.8099000000000001,0.498837620683249,,,0.3515,0.023958354174209016
ADRM1_S211,-0.81585,0.8506481126021097,-0.76485,0.27299345482246595,0.6215,0.018285806451477753
AFAP1_S343,-0.5422,0.04181358374958602,0.143455,0.48068291726734613,0.06,0.8233675274201199
AFAP1L1_S329,0.2182,0.6452662559324285,-0.014000000000000012,0.7453871379876225,0.706,0.036302982070541216
AFAP1L2_S467,-0.6567500000000001,0.037783765166165155,-0.10982,0.9607357725328276,,
AFAP1L2_S849,-1.2530999999999999,0.023885049105204455,0.1725,0.6322533913636679,,
AFDN_S1085N1097,0.6366499999999999,0.005057745976541327,,,,
AFDN_S1131,0.38675,0.015179050600395455,-0.097,0.636144059205832,,
AFDN_S1131S1132,0.39394999999999997,0.0033396674158286867,,,,
AFDN_S1131S1132S1141,1.0117,0.0007990544327225887,,,,
AFDN_S1197,1.0693,0.01664127791969977,,,,
AFDN_S1234,1.1514,0.005359391773858408,-0.180775,0.6545458353429872,,
AFDN_S1277,0.5947,0.03592962752828667,,,,
AFDN_S1460,1.014,0.03190690625102195,-0.38339999999999996,0.5870286724967702,,
AFDN_S1471,0.7815000000000001,0.008763007394543807,-0.13224999999999998,0.3224180324097956,,
AFDN_S205,0.55965,0.030463342886672698,-0.14700000000000002,0.29325820834845734,,
AFDN_S510,1.1944,0.0026870068007014826,0.05111500000000002,0.6767361637325864,,
AFDN_S516,0.6214,0.01209427084686792,-0.31925,0.184624420920038,,
AFDN_T1060,0.4924,0.03606441989753314,0.1325,,,
AFDN_T1191,1.0705,0.04966376713383901,0.45000000000000007,0.1302329499565905,,
AFDN_T1289T1293,0.7325999999999999,0.03044963556487235,,,,
AFDN_T1772,0.16124999999999998,0.9987093185949947,-0.7641,0.03158873879807051,,
AFF3_S1130,1.403,0.014632487181968783,,,,
AFF4_S703,-0.09559999999999996,0.2027260927729967,0.013499999999999956,0.9745990166457965,0.4875,0.007808567556057077
AFF4_T332,-0.76135,0.0034482489851073777,,,,
AFTPH_S112,0.47009999999999996,0.006833500436717143,,,,
AFTPH_S376S382,0.6317,0.03989669941764422,,,,
AGAP3_S479,0.39709999999999995,0.027729235346549072,-0.3381,0.019197187943928672,,
AGAP3_T360,0.7932,0.014818447263061,-0.11921000000000001,,,
AGFG1_S389,0.2763,0.06061934722359141,0.22190000000000001,0.04474049694817215,,
AGO1_S826S829,-1.0663500000000001,0.029052094648090124,,,,
AHCTF1_S1162,0.92425,0.0027744214110344747,,,,
AHCTF1_S518,0.3355,0.029460343566731367,-0.026499999999999968,0.9666256463538554,,
AHCTF1_T1354,0.5293,0.10777242075139867,0.394,0.025081716399774655,,
AHDC1_S1549,-0.22890000000000002,0.7836300916056465,-0.39054999999999995,0.018459236415733014,0.2835,0.07589627540345212
AHDC1_S849,-1.09595,0.0350643420032139,-0.32999999999999996,0.338989050031547,,
AHDC1_T870,-0.66795,0.020760229091276117,,,,
AHNAK_S1007,-1.2217,0.0004630129958419385,0.19699999999999995,0.6603924293735183,-0.34899999999999987,0.6981802871635985
AHNAK_S1571,-0.8533999999999999,0.03101236139010053,-0.2205,0.8276312058413389,-0.16299999999999992,0.6758031626397848
AHNAK_S177,0.2785,0.021701745904001184,0.07599999999999998,0.8587617668439711,0.013000000000000012,0.38025001479745846
AHNAK_S2708,0.24274999999999997,0.9627964482044092,0.7120000000000002,0.017342463121847087,0.666,0.04863562430393153
AHNAK_S2775,-0.3225,0.8052884713588624,0.3599999999999999,0.03895733874786011,0.3939999999999999,0.49025774867834104
AHNAK_S3672,0.46330000000000005,0.7286389874570914,0.7126500000000001,0.2909997412283228,1.697,0.044795373152586575
AHNAK_S4425T4430,-1.2033,0.03926731596608908,,,,
AHNAK_S4903,0.81815,0.9204281113115413,,,1.4094999999999998,0.01630802958725117
AHNAK_S4933,0.0407,0.4877173169063166,1.2535,0.012369883601147907,0.9840000000000001,
AHNAK_S511,0.245,0.4474119034168813,-0.054000000000000006,0.3923747183018268,0.383,0.04480974765952284
AHNAK_S5555,0.3286,0.7007216621353933,-0.0015000000000000013,0.28055994136323426,0.4565,0.029503114697759555
AHNAK_S572,0.7191000000000001,0.04728931714194204,-0.0050000000000000044,0.9761547094473443,0.068,0.5372373063235151
AHNAK_S5752S5763,0.76525,0.028675941929222723,,,,
AHNAK_S5807,-0.8924,0.004669978918672683,-0.2571,0.9040469291760697,0.156,
AHNAK_S5841,1.0146,0.04057445030589963,0.04899999999999999,0.8649046939402437,-0.031500000000000083,0.7247250742083516
AHNAK_S5867,-1.3231,0.37370789473252375,0.5175,0.04140688789530432,,
AHNAK_S698,-0.41575,0.04826378892528037,0.09850000000000003,0.8854937996364497,0.11099999999999999,0.48511159134929804
AHNAK_T4100,-0.53235,0.16039177033238639,-0.008500000000000008,0.8298939688645105,0.5735000000000001,0.02156349228222715
AHNAK_T4430,-0.11810000000000001,0.30336601578227923,0.06774999999999998,0.6276022066903104,0.276,0.044609850102223805
AHNAK2_S1418,-1.16665,0.008176755442584789,-0.3055,0.9276413763333697,1.365,
AHNAK2_S1583,-1.3586,0.02474588097662799,-1.2961,0.0742429809676689,-1.049,
AHNAK2_S1913,-0.9655,0.04059953409816855,-0.8174999999999999,0.762642355880294,,
AHNAK2_S260,-0.8279,0.041762455774533476,,,,
AHNAK2_S2666,-0.90375,0.03231920710460706,0.752,0.12671654007364838,-0.11849999999999994,0.7506800184570739
AHNAK2_S332,-1.54175,0.019578440076182754,-0.7344999999999999,0.2713511098133107,0.04949999999999988,0.6439788612430257
AHNAK2_S3408,-1.1087,0.049361998487785025,-0.9296249999999999,0.1688802764063763,0.07500000000000007,0.6940320476023953
AHNAK2_S4419,-0.6422,0.04057901865945909,-0.3155,0.15031219830905643,0.2540000000000001,0.3998906406513004
AHNAK2_S466,-0.47690000000000005,0.012330440953311402,0.08599999999999997,0.25200108932951865,,
AHNAK2_S4710,-0.8127,0.03216531829897515,-0.3624,0.15827066053918853,-1.0795,
AHNAK2_S765,-1.5804,0.04538747541652487,,,,
AHNAK2_S851,-0.43685,0.033013563579680584,0.51065,0.28512029073554435,,
AHNAK2_T228,-0.22555000000000003,0.4260358951406179,-1.2109999999999999,0.032054696304244935,,
AHNAK2_T296T298,-0.9971000000000001,0.029905320432155814,,,,
AHSG_S328,-0.64825,0.03697929937480177,,,,
AIFM1_S268,1.03755,0.002445523285022915,-1.0099799999999999,0.20860934596676733,,
AIFM1_S292,0.7836,0.0050792793951909155,,,,
AJUBA_S137,0.12335000000000002,0.09827284515265364,-0.43584999999999996,0.032762805141886626,,
AJUBA_S263,-0.53955,0.2461821596587528,-0.317875,0.04546945631047863,0.351,0.2223138167305398
AJUBA_S79,-1.02685,0.00020922417145150768,-0.56865,0.018673493942670077,,
AKAP10_S52,0.8584999999999999,0.009381907958046061,,,,
AKAP11_S1240T1244,-1.04735,0.03478679816495561,,,,
AKAP11_S288,-0.2046,0.7348645691971046,0.45099999999999996,0.04871735793027016,-0.1195,0.4391448745869071
AKAP11_T1244,-0.62545,0.013265491196866775,0.6589999999999999,0.03586904503705845,,
AKAP12_S887,-0.19704999999999995,0.2828749611707823,0.36150000000000004,0.022967157451226843,,
AKAP12_T1116,-0.08105000000000007,0.9689987441191636,0.8270000000000001,0.03411150712408884,0.10599999999999998,0.9454565512866795
AKAP13_S10,-0.9236,0.02140322979854052,,,,
AKAP13_T1149,-0.05149999999999999,0.5088330287265628,-0.29585,0.6026275743631242,0.8469999999999999,0.0008269566097653266
AKAP8_S328,0.0978,0.8170519266696077,-0.02099999999999999,0.9411432409979732,-0.25299999999999995,0.02240290835891647
AKAP8_S339,-0.009299999999999975,0.9765164850688528,-0.06945,0.7393059974962424,-0.32775,0.04844290697202557
AKAP8L_S326,0.18225000000000002,0.7690165202640848,-0.1395,0.045977939676108075,,
AKT1S1_S108S112,-0.67145,0.004997021060834757,,,,
AKT1S1_S231S232,-1.0855,0.015381475049639716,,,,
AKT1S1_T266,-0.2672,0.04488097520127908,-0.3524999999999999,0.898913933910896,,
AKT2_S34,-1.1448,0.0002834852912233221,0.4472999999999999,0.6035371531130922,-0.43299999999999994,0.016943929307296893
AKTIP_T34,0.41070000000000007,0.038144271321342085,-0.707,0.6292388030334053,,
ALB_T551,-0.95,0.015663774129997934,0.6597000000000001,0.08593552998105539,,
ALDH3A2_S293,1.09755,0.21266278453360588,-1.4975,0.0029216788703914716,0.3295,0.2590762457205648
ALKBH5_S374,0.401,0.2610346325501145,-0.29690000000000005,0.00361779304965598,-0.096,
ALMS1_S2653,0.20534999999999998,0.48484607609344077,0.28205,0.04036985069698698,,
ALMS1_S3782,-0.6425,0.04161345695620859,-0.0444,,,
ALPK3_S1390S1394,1.4971999999999999,0.007703248242224487,,,,
ALS2CR12_T392,-2.3012,0.017490420929002184,,,,
AMFR_S555,1.0150000000000001,0.01676290776060473,,,,
AMOTL1_S720,-0.6125,0.04937473657425989,,,,
AMOTL1_S805,0.0265,0.9027432516815033,0.1940225,0.04075625508823295,-0.252,0.7498606554931544
ANAPC1_S343,-0.47725,0.8979543425788865,-0.384,0.010533713089226996,1.217,
ANK1_S597,2.2708000000000004,0.042276572500944506,,,,
ANK1_T961,0.29064999999999996,0.3688609878923227,,,0.46199999999999997,0.03622002326055057
ANK3_S30,-1.70695,0.04626370940649138,,,,
ANK3_S841,-0.4327,0.020989424050424255,,,,
ANK3_Y1724S1737T1739,0.5516000000000001,0.03176760055425533,,,,
ANKRD11_S1847,0.42079999999999995,0.04436181705673543,-0.03427500000000003,0.9405881268139189,0.763,0.027165935470761713
ANKRD11_S1990,0.77275,0.03075696791155287,-0.25282,0.726017159437513,,
ANKRD11_Y1855,0.5483,0.556261665079183,-0.09989999999999999,0.8803776583898821,0.6544999999999999,0.047973425876925095
ANKRD12_S15,-0.5007,0.044823225354876525,0.054706000000000005,0.4090237867725768,,
ANKRD17_S1609,-0.694,0.01306295358384211,-0.39649999999999996,0.3586227316999646,0.008000000000000007,0.954303474690538
ANKRD17_S2047S2059,0.30169999999999997,0.0385259328967956,,,,
ANKRD27_T1023,0.35795,0.5972038034086868,0.07600000000000001,0.4479088226154142,0.3145,0.045696960078096274
ANKS1A_S647,0.31184999999999996,0.007242081509580968,0.00655,0.8760699592422895,0.2285,0.06634313871709584
ANKS1A_S649S652,0.526,0.0333410221487056,,,,
ANKS1A_S663,0.2912,0.11010053899770904,0.23470000000000002,0.015347863480681888,0.25925,0.09149920950749982
ANKS1A_S677,0.6555499999999999,0.010409052740274354,0.0382,0.08449715031451407,0.2904999999999999,0.09425003074911108
ANKS3_S303,-0.93225,0.012608264650942124,0.5468000000000001,0.7198600073279537,,
ANLN_S323,0.5237999999999998,0.029231597788043667,-0.8259000000000001,0.08792614369153044,-0.5250000000000001,
ANLN_S485,0.03374999999999995,0.5006789832381261,-0.6401,0.028715612588586285,0.33199999999999996,0.34992880977166485
ANLN_S658S664,1.9635500000000001,0.020617537012322395,,,,
ANP32A_S17,-0.02849999999999997,0.03974725706800985,,,0.30199999999999994,0.49539354888792086
ANXA2_Y24,-0.1829,0.419498100766034,,,0.46649999999999997,0.03523268720403053
