Proteomics,P_Value,Medians,Cancer,size
PTPRCAP,0.000268288412625716,1.5872,Luad,0.8223447989591621
RCSD1,0.0003278046985014021,0.899,Luad,0.8023092558317968
NUP210,0.0003443348849421258,1.37595,Luad,0.7973895871398622
SLK,0.00035478418167891803,0.526,Luad,0.7944000892291287
RARA,0.00036334332319897374,-0.79355,Luad,0.792016237674413
ACAP2,0.00036834905759863964,0.63245,Luad,0.7906479543278687
XPNPEP1,0.00040069144892069966,0.38075000000000003,Luad,0.7822318880902517
SP1,0.00040903294914778986,0.5599000000000001,Luad,0.7801714844902732
SFXN5,0.0004589056470768287,-0.7242999999999999,Luad,0.7686665930958598
MYO10,0.00045982433086329575,-0.6817500000000001,Luad,0.7684666030847089
CCDC88C,0.0004635237680875542,-0.97465,Luad,0.7676652894688318
ISG20,0.0008422509486897367,1.3329,Luad,0.707943254930278
COTL1,0.0010443742432031573,1.2315999999999998,Luad,0.6864337383255781
PLEKHG3,0.0011381840059195277,-1.27345,Luad,0.6778321263976632
CEP170B,0.0011958110174563022,-1.0008,Luad,0.6728930648099216
DLGAP4,0.0012777118281084255,-0.56555,Luad,0.6662684435065848
IRF2BPL,0.001322987390484301,-0.7230000000000001,Luad,0.6627862924896779
TSPAN14,0.0016991906737251715,0.7787499999999998,Luad,0.6377603215558617
ZFYVE27,0.001766879543765889,0.26325000000000004,Luad,0.633854025788003
CYBB,0.0023136522406173804,1.17085,Luad,0.6068927946458162
LIME1,0.003439198619527747,3.55165,Luad,0.5672516794175704
FAS,0.0035297883934698507,0.8015,Luad,0.5646517355026394
DNAJB2,0.0038594720543953342,-0.5206,Luad,0.5557224878332454
THTPA,0.004210136081725976,-0.6710499999999999,Luad,0.5470260308359888
GLTP,0.004705744825120414,-1.028,Luad,0.5358971213453432
CYBA,0.006092735880303926,0.7874,Luad,0.5100658056709835
DCAF5,0.0075283894907337825,-0.81515,Luad,0.488907413909834
NECAB1,0.007758801363213367,-1.30085,Luad,0.4858927420221157
ADA,0.00822261906209317,1.2137499999999999,Luad,0.4800866499970242
PLCL2,0.008918916318146803,0.67955,Luad,0.47195808287676
WDR45,0.008972440181329151,-0.52915,Luad,0.47135976018547715
CIB1,0.00974466106918778,-0.5761000000000001,Luad,0.46310357265979196
RFT1,0.009765305094868023,0.51245,Luad,0.4628919471427486
MAGT1,0.010674932859095678,0.68675,Luad,0.45398570094333
G6PD,0.010782906753008675,-1.2041,Luad,0.4529793106712222
LPXN,0.01092888471760269,0.39285,Luad,0.45163460206456685
FKBP11,0.010999126018441422,1.2231,Luad,0.4509939462209275
FNBP1L,0.012765649846436892,-0.38639999999999997,Luad,0.43609973211287906
SSRP1,0.01282143781298602,-0.5939000000000001,Luad,0.4356636679879326
TUBB2A,0.013691170827926202,-1.16465,Luad,0.4291004119019842
PKP4,0.013829113945332894,-0.56525,Luad,0.42809792029404675
PCTP,0.01404958753423696,-0.45105,Luad,0.4265162240627117
NPL,0.014867400599787714,0.8108500000000001,Luad,0.42085843421440483
DDOST,0.014986923211703706,0.33299999999999996,Luad,0.42005772439926625
ITGB2,0.015165934147042405,0.96505,Luad,0.4188703540856932
IFNGR1,0.01689680220519055,-0.5357500000000001,Luad,0.408063089358499
NUBPL,0.017207025578571764,-1.2313999999999998,Luad,0.40624375146909353
CCDC6,0.017304874581982998,0.22585,Luad,0.4056767049422797
HVCN1,0.019147794923159146,0.67655,Luad,0.39555677176011883
HSPA1L,0.0199239584564021,-0.5295,Luad,0.3915832328876562
CCDC186,0.020259069086753605,0.38845,Luad,0.3899152729551235
ALYREF,0.021439998261757118,-0.27444999999999997,Luad,0.38424970238543005
SYK,0.021460696233722702,0.489,Luad,0.384153209898234
RPS26,0.022133332147017324,0.46630000000000005,Luad,0.3810670564766475
APBA1,0.022174742784234345,-0.4635,Luad,0.38088013502118573
HAAO,0.02251528415799961,0.4555499999999999,Luad,0.3793560904477704
RPS6KA5,0.023020798472193404,-0.4813,Luad,0.37713571902693815
NCLN,0.02352230591853912,0.36125,Luad,0.37498061200031774
SENP2,0.023553126668203108,-0.8013000000000001,Luad,0.37484967001051905
SAMD9,0.0238737883324753,0.45205,Luad,0.37349741443754303
NMNAT1,0.02437173319794307,-0.4442,Luad,0.37143312937285533
MAP7,0.025499491628565383,-0.93565,Luad,0.3669096763151175
SYTL3,0.026905251688025142,-1.05015,Luad,0.36154337813911386
FAM69A,0.02778549938914743,1.0833,Luad,0.3583240999075531
GYG1,0.027982647323328884,0.3775,Luad,0.3576170699376727
MTURN,0.0280475419428998,-0.50995,Luad,0.3573854282122445
TTC9,0.02813917190437168,-0.5689500000000001,Luad,0.35705926554342393
SLC26A6,0.028221022581000538,0.7915000000000001,Luad,0.35676880971756886
TLR7,0.028239763395242506,0.43960000000000005,Luad,0.35670242447476297
RPN1,0.02831285647170192,0.37159999999999993,Luad,0.3564439285206157
STRBP,0.02975715240453081,-0.7396499999999999,Luad,0.35146857589270053
SH3PXD2A,0.029922442547621327,0.5812,Luad,0.3509146493257983
BAG3,0.03131594681443325,0.9008,Luad,0.346362782828913
ARHGAP12,0.03315576782843985,-0.5228499999999999,Luad,0.3406538585676945
RPS24,0.033381263456441546,0.3682,Luad,0.33997605107625045
AKAP8,0.03393818975117829,0.368,Luad,0.33832143573345663
GBP1,0.03688785850536942,1.2750000000000001,Luad,0.32998728198753347
PGM2L1,0.03698232826859693,-0.84325,Luad,0.32973150947942276
DDAH1,0.03862279086436159,-1.2545,Luad,0.3253912739850078
FAAH,0.03919039657574839,-0.8219000000000001,Luad,0.3239323547512065
TDRKH,0.03952452051650099,-0.4239,Luad,0.3230834027105004
KLC3,0.041549792320448975,-1.39095,Luad,0.3180862755997648
ARFGEF3,0.04166344920919055,-1.1846,Luad,0.3178131052308911
HPRT1,0.043830155557529525,-0.75915,Luad,0.31274332154468454
C7orf50,0.044678872175241,-0.44155,Luad,0.3108254547372759
OGFOD1,0.04485793941323254,0.3609,Luad,0.3104254684667028
VTI1A,0.04560518710124587,0.5765500000000001,Luad,0.3087733816710786
OTUD6B,0.04615205961174706,-0.22724999999999998,Luad,0.30758136903888644
DEPTOR,0.046228840034362347,-0.41755,Luad,0.3074151432485147
BRMS1L,0.046372817676628535,-0.5263500000000001,Luad,0.30710418173477166
SCIN,0.04838280692756446,-2.73965,Luad,0.30286107571375653
RFC4,0.05057162649025317,-0.44465,Luad,0.29843646012622604
SYTL5,0.05084595083356092,-0.6822,Luad,0.2978954789283329
UNC119B,0.052011000143941596,-0.19215,Luad,0.2956300041542755
S100A1,0.05244528760127263,-1.42705,Luad,0.29479847937191267
CYP2S1,0.054202472553308595,0.9277000000000002,Luad,0.29150287525123203
MCC,0.05566998112868067,0.40900000000000003,Luad,0.2888314215772216
IFIT2,0.05620114404665196,0.9756499999999999,Luad,0.28788181655876943
CTSS,0.057363226821583985,0.5691499999999999,Luad,0.28583518286666443
TRMT6,0.05807036294423056,-0.9382999999999999,Luad,0.2846099849501806
MARCO,0.058943234043672,0.5448499999999998,Luad,0.283118043307827
PARP12,0.06087031715688842,0.09715,Luad,0.27990096260925
TNS1,0.06181453625278674,0.23465000000000003,Luad,0.27836167277306856
TNFAIP8,0.06263104855148974,0.55345,Luad,0.27704941405844863
SRCIN1,0.06327957116980523,-0.8316,Luad,0.27601927322554787
SLC12A2,0.0633231803710329,-0.9761,Luad,0.275950381827183
LARP4B,0.06402395078670972,0.4449,Luad,0.2748498034587097
ABCC5,0.06459911800966446,0.92035,Luad,0.27395545213879546
REPS2,0.0647314834988113,-0.7106499999999999,Luad,0.2737507588429786
CD27,0.06592395013201192,1.01355,Luad,0.27192534720571265
MAP1B,0.06628306223887126,-0.8807499999999999,Luad,0.2713820885938963
ARL3,0.06659945815148183,0.4145,Luad,0.27090588373325264
HMGN1,0.06679221917802464,-0.22540000000000004,Luad,0.2706168684594675
ST6GAL1,0.06868922877526126,1.3167,Luad,0.2678162878432403
ASF1B,0.06902494361679222,-0.25179999999999997,Luad,0.26732873380182304
PTMS,0.07077661369475188,0.46875,Luad,0.2648226647894371
PPM1F,0.07121578253930695,0.21155000000000013,Luad,0.264204082025033
KDM4B,0.0721170391339836,-0.46325000000000005,Luad,0.2629464936204381
COL4A3BP,0.07334743334733393,0.21040000000000003,Luad,0.26125477668617636
CBR1,0.0735813941754632,-0.9651500000000001,Luad,0.2609363081734768
CD2BP2,0.07505910155902944,-0.36010000000000003,Luad,0.25894794549841305
ATRAID,0.07794524868195893,0.5776,Luad,0.25517486387426425
TRIM3,0.07919508742045271,-0.5458,Luad,0.25358410096050793
SDE2,0.08046689365964296,0.6142000000000001,Luad,0.2519909438034171
MAP7D2,0.08149994150117638,-0.58215,Luad,0.25071529765125544
PDZD8,0.08208052784412352,0.13790000000000002,Luad,0.25000544667308977
NRDE2,0.08211672104069442,-0.17765,Luad,0.24996136165046862
AGR2,0.08467597390047532,-0.46714999999999995,Luad,0.24689233787149756
NUP153,0.0876634566778606,0.37485,Luad,0.2434250151984753
DSC2,0.08988418038109275,-0.6827000000000001,Luad,0.24092333220535317
PAK1,0.09083501781745007,-0.25029999999999997,Luad,0.23987104089396336
ANLN,0.09227224174023359,-1.4301500000000003,Luad,0.2383011922246967
