Proteomics,P_Value,Medians,Cancer,size
ARMH3,5.396031779488979e-11,0.4051337799246164,Gbm,2.3642772195153228
CUTC,1.5934796333074782e-10,0.5532547699078205,Gbm,2.255993085625295
PIP4K2A,1.0094188678363074e-09,0.8388820985545764,Gbm,2.0713891050066797
CUL2,1.1220764131236789e-09,0.5863958946593785,Gbm,2.0608084927776598
GDI2,1.3022725196021271e-09,0.610188271828867,Gbm,2.0459155006611818
ANXA7,1.6979114929351464e-09,0.4904899066101099,Gbm,2.0193866874717807
DCTN1,1.016639986430336e-08,0.38298750640634,Gbm,1.8404177685200913
PACS2,1.1235256299792942e-08,0.3862791741217283,Gbm,1.8304209118948678
DOCK5,2.754159732980314e-08,0.86281890029819,Gbm,1.74075683449719
ACTR1A,3.6003698802977896e-08,0.49112591747444356,Gbm,1.7139644159240994
BORCS7,7.020623155149392e-08,0.4286028991800581,Gbm,1.647182876131454
NHLRC2,1.0002904824032515e-07,0.4323391099631409,Gbm,1.6117805210736915
PTEN,1.219523167774163e-07,0.511725505875249,Gbm,1.5919635714700147
ABRAXAS2,2.1397848539974902e-07,0.3192491226979453,Gbm,1.5357390362493786
PDZD8,2.3154142831668191e-07,0.4442598131900591,Gbm,1.5278507023419254
EIF5B,2.619280002681469e-07,-0.3920124693560139,Gbm,1.5155196179088832
TTI2,2.7317401511848197e-07,-0.3681868124475024,Gbm,1.511315682680961
HAGH,3.2320288383112547e-07,0.6016187603764556,Gbm,1.494498558759446
ATE1,3.7908639023020695e-07,0.3782040342065589,Gbm,1.478550171527903
STAM,4.799193283260324e-07,0.591531385772912,Gbm,1.4549647813156577
DCTN4,5.25634274659359e-07,0.3621403649312675,Gbm,1.445866016136301
DOCK1,5.308552363960757e-07,0.44450339145630036,Gbm,1.4448776477362784
MEPCE,5.345358715119454e-07,-0.39013900603514406,Gbm,1.4441866996456447
PPM1G,5.486113626614827e-07,-0.5742656729739299,Gbm,1.4415875546551162
CDK18,5.659283339275525e-07,0.8602582164171539,Gbm,1.4384798385262585
ANKRD17,5.850713472725194e-07,-0.29168315845033954,Gbm,1.4351532036001606
ADAM10,7.234269137082467e-07,0.5166038311790795,Gbm,1.413926631365788
PPIG,7.333519082186828e-07,-0.48664532104942404,Gbm,1.4125640157199784
USP54,7.428345054545272e-07,0.5871442067152436,Gbm,1.4112792555323128
RABGGTB,7.48449235907232e-07,0.271572669319554,Gbm,1.4105262456485905
FAM49B,7.767825349443321e-07,0.5683652465577332,Gbm,1.4068105403558389
PLEKHB1,8.490307640031509e-07,1.046206409207111,Gbm,1.3979170415716584
