Comparison,Correlation
TTC9,-0.3882876870887532
GMPR,-0.3882876761269267
CD38,-0.3879386887546149
ENPP4,-0.3878129721232836
EPB41L3,-0.3876269591703295
FGD2,-0.38748963863260777
PICK1,-0.3957481266266538
SAMHD1,-0.3869854638257351
KANK4,0.39560660303762
FRY,-0.39719937849432907
CD5,-0.3969504486623524
IRF4,-0.3864794009764706
LAMC2,0.3863042786980868
PLXNA1,0.3860884510627962
YKT6,0.3860656057438393
TBRG4,0.3858472669065007
UBE2J1,-0.3849932453559095
P3H4,0.3849349963342849
SP110,-0.3845958346012061
KRIT1,0.3836194564655627
DSC3,0.38284338684804986
SERINC3,0.3826807408510621
CARMIL2,-0.4165152803861112
APBB1IP,-0.3825552618620904
BZW2,0.3821228367552638
SEMA4A,-0.3934151822672213
ERO1A,0.3809571010622293
CELSR1,0.3808765099839783
REPIN1,-0.38940737600229136
MMP14,0.3806904916697732
RASSF2,-0.38046114340987824
CSK,-0.3802600095388597
STAT5B,-0.3801315711032272
GJB3,0.5123446634583998
ANK2,-0.37933259623208027
PLCG2,-0.3789496501144576
EPB41,-0.3788716157354369
ADGRE5,-0.3783654250653158
ACSL5,-0.3783079316327603
GPNMB,0.3779600755612443
RTKN,0.3779558742799378
IRF2,-0.37779324549130655
DYRK1A,-0.3776004323433543
NUDCD3,0.3774212466197147
EVL,-0.3773487993726072
AIFM2,-0.3772561677958983
WNT4,0.4546534862783034
FCHO1,-0.4600252488953242
REL,0.37652670127265897
VWA5A,-0.3764894838324736
WDFY4,-0.3763887693856817
MYO1F,-0.375708563229194
TNFAIP8L2,-0.3756269287295837
THYN1,-0.3755671383370889
COLGALT1,0.3752957073187173
ACADSB,-0.37518976030247897
LYN,-0.3747085957835987
FZD6,0.3744346757009685
CRYM,-0.3736321765755741
TMF1,-0.37344615218821003
LAMB3,0.3732247715723949
PTPRCAP,-0.4123476734791607
ELMO1,-0.3727429888492144
BMP1,0.3727008244966104
ANXA2,0.37251289406400623
RIN1,0.37241351582226506
KIAA1324,-0.3724026169637689
SRPK2,0.3721877478835116
SPI1,-0.40040034938292135
FYB1,-0.3708165975212031
LPXN,-0.37065608620013335
MYO10,0.3706030282877606
CCR1,-0.5849297247082341
RASSF4,-0.3875203747348511
SDC1,0.3702091646544996
SHANK3,-0.37002783848158616
SIGLEC1,-0.36999650094266656
PLS3,0.3699193874531396
GJA1,0.3698548008762631
MT1X,0.3696286836494065
TBXAS1,-0.3694256012711927
GSDME,0.3693651281843372
PLXNB2,0.3692881472803162
STAB1,-0.3690812190840141
EFNB1,0.36829328925921
PCSK9,0.3779069750762134
IGSF3,0.3677938167876182
PLEKHA6,-0.3676693796794293
CD79A,-0.3666928672246005
PMVK,0.3663520491686926
FGF1,0.3658403201903384
CD3G,-0.38103218224103175
C2CD2L,-0.3654675970486992
FLI1,-0.3654210967946806
LIN7A,-0.5238465535331185
FMNL1,-0.3651388094817941
DARS,0.3648868732450231
FAHD1,0.3645342851186793
PCTP,-0.36446615461589693
TFF3,-0.37610831720599225
DDAH1,-0.3638021486830243
MLPH,-0.3636902223842212
NADK,-0.3635408632343167
CA5B,-0.3634120194667916
STAP1,-0.536074027586165
STAT5A,-0.3625957253311337
GAN,0.3625401441755228
MAST3,-0.3689041824813554
TANC2,0.3620576467984281
SLC16A1,0.3619935072346706
PHF1,-0.3619709620177205
RPL10,0.3618252727126287
COL5A1,0.3617761041136906
IPCEF1,-0.5494433115167271
GIMAP6,-0.3611911680513787
FN1,0.3608132634028629
NOTCH3,0.3606964796561474
ACADM,-0.3603746160271388
LGALS9,-0.36035775458671215
RHOB,0.3601335237744018
SEC23B,-0.3601120776132889
TRMT5,0.36000733001533325
MLF1,0.3881860848972869
METTL7A,-0.3594868766801141
ZBTB20,-0.3594769504655811
IQGAP2,-0.3594168273151861
PPP3CC,-0.359171461486856
GMDS,-0.35892487393992983
ENO1,0.3584253170432138
RIN3,-0.3580825617100261
LOXL2,0.35790069037620875
NPTN,0.35708585997216624
HSP90AA1,0.3570810751761526
EPHB3,0.357080046048712
PLOD2,0.3567342451183371
MICAL1,-0.35643321709863585
JCHAIN,-0.3563446245835128
MYH11,-0.35632403680751895
NAT1,-0.3560904197669248
CLASP2,-0.355816980737797
SH3KBP1,-0.3556599970394298
EPHB4,0.35533356248207104
ADAM17,0.3552378859118801
AAAS,0.3545782270401064
