,Comparison,Correlation,P_value
6091,PHLDA1_proteomics,0.8168478152481624,6.553435386439516e-25
7927,SOCS2_proteomics,0.5627196030682289,1.3434640782638403e-09
6166,PLA2G15_proteomics,-0.5566242323733048,2.1975620249173136e-09
2051,DAB2_proteomics,-0.5564015379913563,2.2370098379586097e-09
3276,GLA_proteomics,-0.5504906315237544,3.5702294261417183e-09
1964,CTSC_proteomics,-0.5462852751917662,4.951742478740451e-09
1614,CKB_proteomics,0.5442462597158703,5.793441254542527e-09
2083,DCBLD2_proteomics,-0.5653725668293248,6.4080703524936024e-09
599,ARNT2_proteomics,0.5420787847456093,6.837755397258698e-09
7395,SCPEP1_proteomics,-0.531494133013942,1.51074842787198e-08
7095,ROBO2_proteomics,0.5271277906035979,2.078744078781758e-08
6093,PHLDA3_proteomics,0.5258827854613878,2.2749193535040245e-08
888,BLOC1S2_proteomics,-0.5229648266822912,2.806359641551675e-08
751,ATP7A_proteomics,-0.5224817306372646,2.9050654593125225e-08
4761,MEOX2_proteomics,0.5458632466939957,3.15918193420926e-08
1334,CD180_proteomics,-0.5182666129723484,3.9188354698101024e-08
2807,FAM129B_proteomics,-0.5149840251387472,4.933815184977254e-08
7438,SEC23IP_proteomics,-0.5144035788843105,5.137602364276023e-08
8766,TOR4A_proteomics,-0.5138471291537452,5.3404847290912614e-08
9476,XRN1_proteomics,-0.5116564308207833,6.215974541674248e-08
5877,PCDH17_proteomics,0.5060447136622968,9.126315836197022e-08
4464,LRP4_proteomics,0.5008960940270109,1.290345559556091e-07
536,ARHGAP4_proteomics,-0.4989264348229207,1.470944267430579e-07
3409,GPRIN3_proteomics,-0.49783635480482147,1.5809856909910795e-07
6407,PPP1R18_proteomics,-0.4972021285670396,1.648569205371532e-07
5379,NEO1_proteomics,0.4969841203020866,1.6724287017663087e-07
2647,EPHB3_proteomics,0.49601893686837845,1.7820656121740215e-07
4285,KYNU_proteomics,-0.49551657943951066,1.8418019170073093e-07
4488,LRRC75A_proteomics,0.49540215858447634,1.855671837806378e-07
1652,CLIP2_proteomics,0.49327992110355356,2.131667000797299e-07
8110,STAB1_proteomics,-0.4929776568817793,2.1740173356435911e-07
539,ARHGAP45_proteomics,-0.49256376995601736,2.2333067744614186e-07
3745,HSD17B11_proteomics,-0.49184266467177457,2.3402960541558968e-07
8242,SVIL_proteomics,-0.49130315234332644,2.423511222761499e-07
2330,DOCK10_proteomics,-0.48971507364617484,2.685098314979208e-07
4853,MITF_proteomics,-0.5096486438817509,2.892238411102922e-07
7582,SH3BP1_proteomics,-0.4884798437640261,2.9068965540064064e-07
3384,GPHN_proteomics,0.48659911599553907,3.278328525577992e-07
2364,DPP6_proteomics,0.4863244796622994,3.3362018609614224e-07
2611,ENG_proteomics,-0.48563903357264726,3.4849083075673814e-07
8099,ST14_proteomics,-0.48465923206111367,3.708446279663333e-07
529,ARHGAP27_proteomics,-0.48444882721818805,3.758194214505767e-07
5748,OSTF1_proteomics,-0.48429806091463534,3.794230400264636e-07
456,APBB1IP_proteomics,-0.4830555483585245,4.103970283607974e-07
3526,HAAO_proteomics,-0.48197358928803796,4.393105507041477e-07
1972,CTSZ_proteomics,-0.48170904715372437,4.466686983697819e-07
8477,THEMIS2_proteomics,-0.48106531136839314,4.65065881026532e-07
5396,NFIA_proteomics,0.48042978003337344,4.839326688475612e-07
5437,NIPSNAP2_proteomics,0.47888120867778167,5.329931202626609e-07
4304,LANCL2_proteomics,0.47872313065582084,5.382585258228344e-07
7051,RNF130_proteomics,-0.4754253341978527,6.600401161969357e-07
520,ARHGAP15_proteomics,-0.4748493488654879,6.838276050482958e-07
4085,KCND3_proteomics,0.47461967486681345,6.935377402357279e-07
2955,FCGRT_proteomics,-0.4743710606768027,7.041959501140814e-07
19,ABCA1_proteomics,-0.47409469035326185,7.162263363932542e-07
9794,ZYG11B_proteomics,0.4738725020249037,7.260392455215334e-07
598,ARMT1_proteomics,-0.4735976201606943,7.383558239359149e-07
2331,DOCK11_proteomics,-0.47347615851379904,7.438610119950587e-07
3239,GGA2_proteomics,-0.47146549139865473,8.40845681956795e-07
3190,GBA_proteomics,-0.47079605765005716,8.757130708204461e-07
6485,PROCR_proteomics,-0.470784064713155,8.763500414536871e-07
9054,UAP1_proteomics,-0.4701864303894616,9.08653735392082e-07
1959,CTNND2_proteomics,0.4700018930346916,9.188543432270415e-07
3310,GMIP_proteomics,-0.4698996531247181,9.245524424223942e-07
526,ARHGAP24_proteomics,-0.4678576140628673,1.0456226741850344e-06
1351,CD4_proteomics,-0.46747903299664095,1.0696585181766667e-06
5273,NCKAP1L_proteomics,-0.4671625433058982,1.0901529368139768e-06
531,ARHGAP30_proteomics,-0.4670639849246152,1.0966106988421598e-06
6105,PI4K2A_proteomics,-0.4666231050334723,1.1259442531821032e-06
7398,SCRN1_proteomics,0.46596514982339154,1.1711062077486946e-06
887,BLOC1S1_proteomics,-0.4658473823629272,1.1793686357676015e-06
4335,LDLRAP1_proteomics,-0.46540089073266905,1.2111980974805808e-06
5513,NPAS3_proteomics,0.46517664566307715,1.2274892687755458e-06
3115,FYB1_proteomics,-0.46503494439218146,1.2378904631954076e-06
150,ADAP2_proteomics,-0.4644349187011614,1.2828656641120944e-06
2841,FAM19A5_proteomics,0.4640521725822081,1.3123580555885118e-06
2338,DOCK8_proteomics,-0.4629196820492616,1.4034267493707837e-06
4600,MAN2A1_proteomics,-0.4621881013097853,1.4654022962371955e-06
4327,LCP2_proteomics,-0.46088097013207374,1.5826341101686391e-06
2498,EHBP1L1_proteomics,-0.4600736240604506,1.6594172612743351e-06
2301,DNAJC21_proteomics,-0.4600181607794885,1.6648194750632718e-06
55,ABI3_proteomics,-0.4585684170672143,1.8120722625614602e-06
6742,RAB3IL1_proteomics,-0.4583886434542359,1.8311677593124094e-06
4859,MLC1_proteomics,0.4580797432124604,1.8644242234891467e-06
8809,TRAF3IP3_proteomics,-0.45370692647269656,2.400942483470973e-06
3929,INPP5F_proteomics,-0.452337339773245,2.5970001028285062e-06
5057,MSR1_proteomics,-0.4518416229187484,2.6716184804940325e-06
8385,TBXAS1_proteomics,-0.45170041569799063,2.693241675045255e-06
5222,NAIP_proteomics,-0.450599041426451,2.867659676471342e-06
5758,OTULINL_proteomics,-0.450567114368572,2.8728714544490186e-06
2984,FGD3_proteomics,-0.45050399709487854,2.8832010612871964e-06
7001,RIN2_proteomics,-0.4499853188856706,2.969424942369167e-06
6960,RGS12_proteomics,0.44987987377193384,2.9872491608114876e-06
3177,GAS2_proteomics,-0.4697398983127423,2.999487745964869e-06
6095,PHLDB2_proteomics,-0.4490432852775595,3.1322877910328356e-06
8711,TNFAIP8_proteomics,-0.4487992023446223,3.1758413130881147e-06
5165,MYO10_proteomics,0.44747819395886473,3.421652102638465e-06
2954,FCGR3A_proteomics,-0.44714792640110335,3.485855457407905e-06
4602,MAN2B1_proteomics,-0.4470946229040094,3.496323507772922e-06
3618,HEXB_proteomics,-0.4468664074316057,3.541478131637973e-06
3884,IL18_proteomics,-0.44685949345758735,3.542854679296972e-06
4369,LIG4_proteomics,-0.4459812151698548,3.721882597767371e-06
793,B4GALT1_proteomics,-0.44594460701449457,3.729527011232262e-06
3121,GAA_proteomics,-0.44589844827073527,3.7391868692414644e-06
8105,ST6GAL1_proteomics,-0.4456766956565269,3.7859241266766863e-06
2601,EMILIN3_proteomics,0.4448454995715303,3.9660608068097495e-06
8360,TBC1D2B_proteomics,-0.44478800074311653,3.978816354476862e-06
7038,RNASET2_proteomics,-0.4446926822173949,4.000047119515243e-06
106,ACSL1_proteomics,-0.4430988657917541,4.371270683238373e-06
8705,TMX2_proteomics,0.44247121596391603,4.526188443300322e-06
209,AFAP1L1_proteomics,0.44247019495352147,4.526444617121426e-06
6594,PTBP3_proteomics,-0.4421726263221297,4.6016907007768496e-06
3414,GPSM3_proteomics,-0.4413199028416614,4.823904368713601e-06
1971,CTSS_proteomics,-0.44130470634471874,4.8279547151132385e-06
9043,TYROBP_proteomics,-0.439821091408167,5.239193515315559e-06
788,B3GLCT_proteomics,0.43973627038719365,5.263675157589547e-06
178,ADGRG1_proteomics,0.43904986726272655,5.465793645545529e-06
6151,PITPNC1_proteomics,0.4389280514887456,5.50241902712215e-06
8463,TFRC_proteomics,0.43876522364762793,5.551736418091483e-06
8786,TPMT_proteomics,-0.43867625407667193,5.578859230174182e-06
3309,GMFG_proteomics,-0.4382236838709577,5.7187711129845695e-06
8441,TES_proteomics,-0.43812580224901176,5.7494628704127955e-06
8190,STXBP2_proteomics,-0.4378059058846811,5.850855429916687e-06
2949,FCER1G_proteomics,-0.43757752821444584,5.924268696656897e-06
5879,PCDH19_proteomics,0.43734566119664203,5.999690747815902e-06
9271,VAMP8_proteomics,-0.43717980024779174,6.054196149627103e-06
2576,ELOVL2_proteomics,0.4369619362258975,6.126499758770502e-06
2006,CXXC5_proteomics,0.4368327665975318,6.16975116339642e-06
6903,RCSD1_proteomics,-0.43603279507538234,6.4440876197694125e-06
8871,TRIM9_proteomics,0.4355361097258303,6.62015460044013e-06
5757,OTULIN_proteomics,-0.4348584303290468,6.86769693229655e-06
7681,SLC1A4_proteomics,0.4343277691531323,7.067592777123073e-06
543,ARHGDIB_proteomics,-0.43428547405214163,7.083758456505367e-06
2343,DOK3_proteomics,-0.43312664513707677,7.5404584984994e-06
8779,TPD52L2_proteomics,-0.43283322233579696,7.660418024780941e-06
7864,SNAPIN_proteomics,-0.4324808050285488,7.806870073885636e-06
5454,NLGN3_proteomics,0.4324734096342814,7.809971375640629e-06
1542,CHDH_proteomics,0.4323313546635734,7.869768441636317e-06
347,AMPD3_proteomics,-0.43196184325911535,8.027335870245036e-06
602,ARPC1B_proteomics,-0.4314725422377172,8.240555164155397e-06
8737,TNS3_proteomics,-0.4313928875879236,8.275765998041958e-06
9373,WDFY4_proteomics,-0.4312759004135461,8.327736122944417e-06
524,ARHGAP22_proteomics,-0.431206827760685,8.358564802502284e-06
5171,MYO1F_proteomics,-0.43077658405344676,8.553022639297012e-06
1932,CSPG5_proteomics,0.43072866994431275,8.574939862684398e-06
9514,YWHAE_proteomics,0.4301541477005727,8.841890125764737e-06
2414,DUSP23_proteomics,-0.4299489119185799,8.939132882377902e-06
2332,DOCK2_proteomics,-0.42884069263366176,9.481833678444754e-06
2996,FHL2_proteomics,-0.4281008737367134,9.861210191731697e-06
1945,CTBS_proteomics,-0.4271931207859735,1.034620460811116e-05
5853,PAWR_proteomics,-0.4271896496512475,1.0348101473610156e-05
3880,IL16_proteomics,-0.4265713290680917,1.0691259256906133e-05
2200,DGKZ_proteomics,0.4263280321554888,1.0829194366621506e-05
9182,UPP1_proteomics,-0.4262618708725739,1.0866992166339388e-05
308,ALDH7A1_proteomics,0.4262293120626578,1.0885638431244824e-05
2953,FCGR2B_proteomics,-0.42602763013464,1.1001812293341297e-05
6172,PLAUR_proteomics,-0.4256393559046623,1.1228755975352762e-05
1631,CLDN10_proteomics,0.42562711333320014,1.1235982711167627e-05
7517,SERPINB8_proteomics,-0.4256142933763225,1.1243554959280655e-05
8574,TMED5_proteomics,-0.42530730301280817,1.1426320841761018e-05
1859,CPNE2_proteomics,0.4248405049107025,1.1709584962769149e-05
6622,PTPN18_proteomics,-0.4238355954905362,1.2341928674073345e-05
9429,WIPF1_proteomics,-0.4238181973608884,1.2353153831911773e-05
960,BTK_proteomics,-0.4233800315892208,1.2639037545166258e-05
604,ARPC3_proteomics,-0.42333025849723027,1.2671902418351113e-05
5218,NAGA_proteomics,-0.4229703523952185,1.2911945585057977e-05
3256,GIMAP1-GIMAP5_proteomics,-0.4226368649588044,1.3138174148339802e-05
2373,DPYD_proteomics,-0.4222140537304998,1.343035001919941e-05
8208,SULF1_proteomics,-0.4410860997763089,1.3531927358667577e-05
2462,EDNRB_proteomics,0.4217204154726886,1.3779186900256984e-05
8547,TLR7_proteomics,-0.4214657674336453,1.3962446363579876e-05
5225,NANS_proteomics,-0.42142979542179404,1.398851758597885e-05
