Proteomics,Gbm_P_Value,Gbm_Median,Hnscc_P_Value,Hnscc_Median,Luad_P_Value,Luad_Median,Lscc_P_Value,Lscc_Median,Brca_P_Value,Brca_Median,Ov_P_Value,Ov_Median,En_P_Value,En_Median,Colon_P_Value,Colon_Median
ARMH3,5.766739162739872e-07,-0.4051337799246164,0.02404656446931924,-0.13594070132674574,0.222235433148725,-0.37845,0.9068573747739916,-0.27969999999999995,,,,,0.034810581916191546,0.15030000000000002,,
CUTC,8.514758420578509e-07,-0.5532547699078205,0.014672112082843785,-0.3143072125900517,0.05652292775560695,-1.01995,0.5684892531569538,-0.44585,0.3494693239585128,-0.4808,0.9857040435694392,-0.15942355449999998,0.33082304307705396,-0.2533,0.9175301146925836,-0.0821
CUL2,2.7834772833975867e-06,-0.5863958946593785,0.6775850277578794,0.017886456846049725,0.8687724640497909,0.05695,0.9998477192481204,0.047450000000000006,0.6658780796197812,0.17195,0.991659351630872,0.033090928499999984,0.957970419529575,0.0232,0.9020729705615856,-0.07690000000000001
PIP4K2A,2.7834772833975867e-06,-0.8388820985545764,0.03818612195782757,-0.2247127830474014,0.8477295295029386,0.04535,0.9998477192481204,0.24750000000000005,0.6706225147046507,-0.07434999999999997,0.9857040435694392,0.052954994000000005,0.5029673322973391,0.16900000000000004,0.8834811571566688,0.10135
GDI2,2.7834772833975867e-06,-0.610188271828867,0.8271004813873564,0.0015585077241517806,,,0.9998477192481204,-0.03735,0.7897082817937061,0.14995,0.9857040435694392,-0.0673885015,0.28318955839769483,0.1286,0.9995020280165834,-0.0445
ANXA7,3.024263354166318e-06,-0.4904899066101099,0.8618600961935841,-0.10844986164824988,0.21192231901234035,-0.4118,0.4679325278168077,-0.5,0.6148768935176324,-0.4388,0.9927846092023682,0.09263120900000002,0.4926333510800346,0.16899999999999998,0.6240867368117857,-0.226
DCTN1,1.5008898009485894e-05,-0.38298750640634,0.03988978822418274,-0.12108952912249647,0.05314289540360412,-0.3194,0.9998477192481204,0.00545000000000001,,,0.9857040435694392,-0.11763347850000005,0.01615428102292434,0.2568,0.9016555174305876,-0.037000000000000005
PACS2,1.5008898009485894e-05,-0.3862791741217283,0.5098065792012137,0.0996912547419022,0.5568713141567676,0.9789,0.9998477192481204,-0.013199999999999991,0.6313565440955747,-0.04954999999999998,0.9857040435694392,0.1247052945,0.8047701085968779,0.05199999999999999,0.8142435617593341,0.26570000000000005
DOCK5,3.270411674040069e-05,-0.86281890029819,0.5857091053241853,-0.054684051674552585,0.7347970049083661,-0.30545,0.9998477192481204,0.052449999999999886,0.8023882382434134,0.047949999999999986,0.9857040435694392,-0.103404593,0.06600526117866999,0.403,0.8142435617593341,-0.0948
ACTR1A,3.847715291074248e-05,-0.4911259174744436,0.2561170676223286,-0.1232172929594526,0.007049395910747968,-0.55825,0.9998477192481204,-0.17285,0.7717535292130886,-0.10199999999999998,0.9857040435694392,-0.077193753,0.1602949717179549,0.1406,0.7968164472118762,-0.14950000000000002
BORCS7,6.82085451446196e-05,-0.4286028991800581,0.9680692218064652,-0.04554595857635135,0.4142977032476397,-0.46805,0.9998477192481204,-0.1442500000000001,0.9252608009333902,-0.2026,0.9857040435694392,-0.1593210765,0.7432468754230354,0.13377999999999998,0.942532459900024,-0.09755
NHLRC2,8.908420321202958e-05,-0.4323391099631409,0.4152329824692144,-0.06315900552505127,0.05735457266722691,-0.55705,0.4679325278168077,-0.31604999999999994,0.13652193732468249,-0.47445,0.9857040435694392,-0.1166967165,0.05960743244871044,0.2231,0.6240867368117857,-0.17700000000000002
ABRAXAS2,0.00017590677488208597,-0.3192491226979453,0.002941258339243065,-0.23654008976089716,,,0.6965799448522509,-0.34735,,,0.9857040435694392,-0.21195828149999998,0.5822735599058547,0.06760000000000001,,
PDZD8,0.00017674880317288422,-0.4442598131900591,0.06648195105353465,-0.15239146373859924,0.4298474950961326,-0.13790000000000002,0.6146933111258762,-0.4790500000000001,0.4876324456132412,-0.50875,0.9919309712381801,0.017844968500000002,0.08837378641235921,0.509,0.9958600336485977,0.0143
TTI2,0.00018246316872320105,0.3681868124475024,0.3606759615829831,0.16074019957179786,0.4334082534565985,0.6043000000000001,0.9998477192481204,0.17800000000000002,0.6097463777066687,0.40025,0.9857040435694392,0.06685096899999997,0.7207628930421001,-0.17711,0.9606774245201478,0.1598
EIF5B,0.00018246316872320105,0.3920124693560139,0.15246826112804246,0.15467376537519684,0.8936583435688041,-0.04690000000000005,0.8013878212801835,0.3304999999999999,0.41096874432984015,0.34135000000000004,0.9981784277616946,-0.07265091550000002,0.10680288518295812,-0.2059,0.8678170912809513,0.00899999999999998
HAGH,0.00020318054232371988,-0.6016187603764556,0.8697280451854127,-0.0020396578366010947,0.9332132686535484,0.6894,0.9998477192481204,-0.0022500000000000853,0.9823883350195204,-0.28380000000000005,0.9857040435694392,-0.2165304645,0.6635240267865115,-0.2223,0.9016555174305876,0.10550000000000004
ATE1,0.00022507201402167902,-0.3782040342065589,0.039944260072546985,-0.12841576792294518,0.0030100750799406327,-0.88365,0.6965799448522509,-0.48065,0.14773919110313427,-0.6609999999999999,0.9861441247676684,-0.0003903929999999889,0.4319002761143201,0.033,0.9020729705615856,-0.060000000000000026
DCTN4,0.0002501062995320566,-0.3621403649312675,0.8152735754640819,-0.1118523627921526,0.5128975214014546,-0.3775,0.9998477192481204,0.10040000000000003,0.701979260943004,0.3238,0.9857040435694392,-0.16332766250000005,0.004204133399387559,0.262,0.7640797376922509,-0.054500000000000035
MEPCE,0.0002501062995320566,0.3901390060351441,0.3842874811732092,0.2070234633786434,0.7145499863359475,0.11535,0.9998477192481204,0.03694999999999998,0.9094468338027928,0.1295,0.9857040435694392,-0.16660647550000002,0.18883267727899625,-0.2626,0.965143809039582,0.014500000000000013
DOCK1,0.0002501062995320566,-0.4445033914563004,0.5556347384636041,-0.11284692255090435,0.1982986733981372,-0.5690999999999999,0.9998477192481204,-0.28465,0.4876324456132412,-0.34005,0.9061905051848652,-0.296575587,0.5653662542025892,-0.117,0.8257581407237754,-0.0447
PPM1G,0.0002501062995320566,0.5742656729739299,0.29210002335986,0.15788277299404996,0.9832891167748452,0.1603,0.9998477192481204,0.1342000000000001,0.2714435718995471,0.4205,0.9857040435694392,-0.022372929500000027,0.05866881764749165,-0.2803,0.9872160788771359,-0.016000000000000014
CDK18,0.0002501062995320566,-0.8602582164171539,0.2430202033157186,-0.020299894621100382,0.9254322247771584,0.04564999999999997,0.9998477192481204,-0.63775,0.7535893499701928,-0.044099999999999966,0.9857040435694392,-0.3825493075,0.6936515977234085,0.07390000000000001,0.9722339634185668,0.0684999999999999
STAM,0.0002501062995320566,-0.591531385772912,0.5623246648152385,0.08806183568774982,0.9435172617115329,0.15855,0.9998477192481204,-0.17015,0.8406894537323621,-0.1191,0.991659351630872,0.04879553649999999,0.2106628892996231,0.132,0.9016555174305876,0.08550000000000002
ANKRD17,0.0002501062995320566,0.29168315845033954,0.5825612698314028,0.06580640360495238,0.8812078523934649,-0.030050000000000018,0.9998477192481204,0.06414999999999997,0.4325699449361358,0.23715000000000006,0.4446474323444049,0.0962665825,0.8885830513291021,0.0040000000000000036,0.9589443667431362,-0.019399999999999987
USP54,0.0002758164477289858,-0.5871442067152436,0.5449159716784973,-0.09749641264039964,0.999572754147677,-0.0495,0.9068573747739916,-0.4024,0.8042478635880236,0.132,0.9857040435694392,-0.234643,0.1417437826392932,0.28600000000000003,,-0.52235
ADAM10,0.0002758164477289858,-0.5166038311790795,0.23282447529466546,-0.08082357182729538,0.33110390217239555,-0.30195,0.9998477192481204,0.11675000000000002,0.7984392857379856,-0.3683000000000001,0.9857040435694392,-0.056270593000000015,0.5917226093814378,0.19338,0.894571212910659,-0.052999999999999985
PPIG,0.0002758164477289858,0.486645321049424,0.005469733680556383,0.2601645812465989,0.4298474950961326,0.2388,0.9998477192481204,0.1838,0.8788589083697899,0.01454999999999999,0.9979495342355502,-0.00012414350000000685,0.7535271461452553,0.011199999999999995,0.8798682308931723,-0.04250000000000001
RABGGTB,0.0002758164477289858,-0.271572669319554,0.4010057624388305,-0.15859350639334835,0.9074549238840512,-0.08595,0.9998477192481204,0.033599999999999984,0.5949554547609736,-0.42225,0.9927846092023682,-0.06748696299999997,0.9714409450944276,-0.028000000000000025,0.9016555174305876,0.034849999999999985
FAM49B,0.00027671583169833593,-0.5683652465577332,0.4909167243035218,-0.028666985229101268,0.5988121383528421,-0.4839,0.9998477192481204,-0.02290000000000003,0.7461281679972344,0.059650000000000016,0.9857040435694392,0.23681473050000001,0.021904904325893124,-0.3854,0.9016555174305876,-0.11509999999999998
