Proteomics,Hnscc_P_Value,Hnscc_Median
NLN,1.1555172748796229e-05,0.43166568770910274
AKR1C3,5.360117966717139e-05,0.9519048342720993
AKR1C1,0.0002397880843883746,1.9612623383942989
ADI1,0.00041560777132108504,0.5131977039737521
EPHX1,0.0006784580203166335,0.8716882694865546
PTGR1,0.0006784580203166335,0.8412203269826009
ADH7,0.0006784580203166335,2.155736065212455
AKR1C2,0.0008739520218537653,1.7179380924011483
DHX30,0.0009828766774167086,0.2413134178682519
CCDC186,0.0009828766774167086,-0.35173334669535095
NFKB2,0.0009828766774167086,-0.44337733126515033
PGD,0.0009828766774167086,0.6092594933251974
PRPSAP2,0.0009828766774167086,0.35340205342510345
SELENOI,0.0010034005273124392,0.5275184575211505
ABCC3,0.0012877301398865257,0.4728950395010507
ZNF280C,0.0013492887927602463,0.7314209428233056
POU2F2,0.0013492887927602463,-1.451604253648803
G6PD,0.0013492887927602463,0.7315107262479508
PIR,0.0013492887927602463,1.0512361722414028
ECHDC1,0.0015064202723264,-0.4131667243094057
ALDH3A1,0.00203245965033205,1.5055399128206979
HPRT1,0.0021431181726795463,0.49280083955814646
CES1,0.0021431181726795463,1.3151915928737488
TNIP2,0.0021431181726795463,-0.43452791302825133
IARS2,0.0025325935812291903,0.2846956312271942
CCDC88B,0.0025325935812291903,-0.5327791951194527
USP28,0.0025325935812291903,0.39414076406774967
MAP1B,0.002941258339243065,0.8514106961644003
ABRAXAS2,0.002941258339243065,-0.23654008976089713
HMGB3,0.002941258339243065,0.6194293685975474
PRKRA,0.0030902134025424886,0.29094286113915047
PLBD1,0.003209274820167576,-0.7953873190221472
IDH1,0.003209274820167576,0.35979186807750096
XPO1,0.003209274820167576,0.2905874329229512
SELL,0.003209274820167576,-0.5531478176740485
SRXN1,0.003209274820167576,1.111393688709601
UBE2T,0.003209274820167576,0.42317911671550235
AKR1B10,0.003209274820167576,1.8672563171417487
PYCR2,0.003209274820167576,0.6495738536219982
UGDH,0.003209274820167576,0.4889657173121513
TIA1,0.0038138300498275204,0.48185359927745
MPEG1,0.0038669707470485935,-0.5739665702835985
GINS4,0.0038669707470485935,0.4728146780419955
ME1,0.0038669707470485935,0.7016329998985
DHX9,0.003948108088903685,0.34195577133615274
PLS1,0.003995153999129934,0.50168837892355
TXNRD1,0.004160223450903546,0.4366474275397003
EPS8,0.004244861509863141,0.5265823081836523
CBR1,0.00430775473286593,0.5182923865010487
HIST1H1B,0.00430775473286593,-0.22806549662790587
WDR46,0.00430775473286593,0.22194969385005336
CDK17,0.00430775473286593,-0.18093828417475066
HLA-E,0.0044780265938606945,-0.2710600462213506
BLNK,0.004840820453322603,-0.5545933291618468
TRMT13,0.005197403239311649,-0.30530843220435244
TFB2M,0.005197403239311649,0.4573150894124538
CRMP1,0.005261239602971777,1.1335958537238042
SLK,0.005299614056296094,-0.44302046535290174
HIST1H1D,0.005299614056296094,-0.5402378889918964
MSI2,0.005299614056296094,0.5587974836308511
PPIG,0.005469733680556383,0.2601645812465989
GPNMB,0.005469733680556383,0.8582272051921507
GCLC,0.005546510565407159,0.5124456556129005
GSTM3,0.005546510565407159,1.0218542305338971
CUL1,0.005546510565407159,0.2048878284015494
HEATR5A,0.00576884806766636,0.2723678075973517
STK26,0.0061238303720650075,0.30300755148510206
ST13,0.006610552895784753,0.3158100426058503
EPRS,0.0067441400403608805,0.17101137612124973
XG,0.0067441400403608805,-1.0746054917366017
APLP2,0.0067441400403608805,0.25675784530509915
CD300A,0.00685356653943153,-0.5303367348391461
ANKS1B,0.00685356653943153,0.7863865359419009
PTPRE,0.00721290789258337,-0.2724163669984456
SP110,0.00789554296710132,-0.5134010058051004
FMNL1,0.008189571216885636,-0.6447479332407475
THOC3,0.008207536044226747,0.3317734737513476
AMPD3,0.008207536044226747,-0.4657908350953548
MPP6,0.008207536044226747,0.2850803896772476
VSIR,0.008516303265824848,-0.4770710814047021
STK10,0.008516303265824848,-0.40566011401479685
TOP2A,0.008516303265824848,0.6218802207139973
CSE1L,0.008516303265824848,0.2899943479218976
TRIM2,0.008788567340759348,0.561701852463699
DHX36,0.008788567340759348,0.24316935517039795
ICAM3,0.008894360080748977,-0.5635727028335005
ALDH3A2,0.008956068063444947,0.4110982638913008
LSP1,0.008956068063444947,-0.5838208315230489
RGS14,0.009323424273721053,-0.5711028102204523
JAK1,0.009528951413343355,-0.16620717745539793
ZMYM2,0.009806578736355417,0.2688060371320482
TMSB4X,0.010040197160641041,-0.40986635414014927
OLA1,0.01022437098169923,0.3072900298606491
NF1,0.010461683077299595,0.30513542559764417
HSP90AA1,0.010461683077299595,0.31329566640740225
UCHL1,0.011551832991782952,1.2256193209159
PTPRC,0.01176143959049718,-0.7590497278311013
UBXN7,0.01176143959049718,0.5094148166894499
HNRNPH1,0.01181012853075713,0.13152703673999966
HDHD5,0.01181012853075713,0.27079815430895593
DGKH,0.01181012853075713,0.24098728085964893
CAD,0.01181012853075713,0.367408595754398
PAICS,0.01181012853075713,0.3959232753750932
