Trans_Gene,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
GAB1,0.4258739014606532,1.1091145297688345e-05,-0.011799035861361336,0.9026298094424942,0.11600155693953633,0.3150621078865575,-0.1409716470637303,0.1329027883032119,0.02008871063729951,0.8349897769302888,-0.13085601544654013,0.17501452732011966,0.11083155048340132,0.3308562342454389,-0.06656267271440729,0.4936910432882486
PLAUR,-0.4256393559046623,1.1228755975352762e-05,-0.06643254915257191,0.5961294276314479,0.34586659343959314,0.0013616361868718796,0.4674275936294324,1.3898462520800624e-07,-0.02261317905564994,0.8146048260063399,0.27850352709489623,0.003363639555611122,0.09465526619430012,0.4160243511535496,0.17391096952708526,0.07185295847352084
PTPRC,-0.42495788600673146,1.1637740899611716e-05,-0.15172001933444831,0.11359260536671405,-0.08658926697784125,0.4363535013195341,0.203655616514928,0.029033055592747662,-0.25600680133956416,0.006944551317752628,-0.4023965480766871,1.4408816402928146e-05,0.19123172442034408,0.06060667073047395,-0.14728428667801047,0.1282294552189822
HGF,-0.4438754601660816,1.1755081102207464e-05,-0.2279873822761388,0.016598874076885078,,,-0.0398289217332282,0.6837757778218899,-0.4076931163179989,9.837412678116783e-06,,,,,-0.2342127431496304,0.014698489166453594
PTPN18,-0.4238355954905362,1.2341928674073344e-05,-0.15616610745966822,0.1032736820102958,0.11152459000967213,0.3310042651068639,-0.0013938689428074221,0.988204270651899,-0.17454361963266218,0.06819090675077707,-0.4258698642603373,3.8979703981976824e-06,0.2370603508873773,0.10862493621114352,-0.2446146219384204,0.010728657031228906
WIPF1,-0.4238181973608884,1.2353153831911771e-05,-0.402723067084872,1.2904384582344215e-05,-0.10878592060838073,0.32759696730102844,0.23230424680781514,0.012480914394035321,-0.2875829935780019,0.0023162478910584558,-0.4332703408113532,2.5282731615041573e-06,0.2706489138157962,0.007334458874186735,-0.1459597965916019,0.13173560459276562
BTK,-0.4233800315892208,1.2639037545166258e-05,,,-0.20139463696111976,0.06789211917651343,0.14798199088460712,0.11449745905144695,-0.2780027066666871,0.003275697253970835,-0.4548727098159328,6.729499167298104e-07,0.06983776930184295,0.5865208379838264,-0.20814658452179646,0.030642276066100805
ARPC3,-0.4233302584972303,1.2671902418351113e-05,-0.26378682117919183,0.005360808700645542,0.007288814992006106,0.9478570729625219,0.311783911240739,0.0006939810439084073,-0.3016987234555035,0.001359676994704735,-0.08271527753353933,0.3925049752593605,-0.2198399653065909,0.030491419015877718,0.05419609207702136,0.5774739801975842
TLR7,-0.4214657674336453,1.3962446363579873e-05,0.01905740446197059,0.8693314768312081,-0.16845949157857645,0.1279173932562839,0.2082990146120584,0.03131635944482517,-0.14293262171440135,0.16475760945133133,-0.15858964308325876,0.25670428239379983,,,0.1418155855144106,0.16363768606948773
TCIRG1,-0.4214257021892915,1.3991487108177747e-05,0.03054559932590685,0.7514111509778725,-0.06317096082819669,0.5704737562029017,0.16136461304243532,0.0849159269254887,0.004246322664729664,0.9648826848174976,-0.05965423750988427,0.5377774607604844,0.28443105288497794,0.004749156225328847,0.1142096667003861,0.23921695543486685
CNPY3,-0.4211264967824083,1.4210161803128892e-05,-0.11356654609752907,0.2374773194520108,-0.0530827865805525,0.6336404044507027,-0.045641635456161504,0.6281320838458346,-0.07376447874267741,0.4437627098980311,-0.11038608499735886,0.25317400259129746,-0.06162705626573777,0.5487340884944585,-0.04552349554744035,0.63990494642506
