Comparison,Correlation_Gbm,Correlation_Brca,GBM_pos_sig
PHLDA1,0.8168478152481624,0.3647974044559096,1
PLA2G15,-0.5566242323733048,0.2741849473526441,-1
DAB2,-0.5564015379913563,0.3260553475239116,-1
CTSC,-0.5462852751917662,0.26693956593905577,-1
SCPEP1,-0.531494133013942,0.3991869646977245,-1
FAM129B,-0.5149840251387472,0.34409341711677,-1
SEC23IP,-0.5144035788843105,-0.2573069982684186,-1
NPC2,-0.498790591960705,0.2795993233274339,-1
PPP1R18,-0.4972021285670396,0.3591418178715906,-1
CTSB,-0.4968953119173142,0.34104789265687063,-1
EPHB3,0.4960189368683785,0.36945002605750177,1
KYNU,-0.4955165794395106,0.3735752990183355,-1
CLIP2,0.4932799211035536,0.3475684993808784,1
HSD17B11,-0.4918426646717746,0.4816670749023298,-1
SVIL,-0.4913031523433264,0.2852147821475852,-1
SOX9,0.4906701048845136,0.2529196282079981,1
PPP2R3A,-0.5037773152130771,0.4461367763598457,-1
HAAO,-0.48197358928803796,0.4629989162539492,-1
CTSZ,-0.4817090471537244,0.2674715286461375,-1
THEMIS2,-0.4810653113683931,0.2867549232942161,-1
LANCL2,0.4787231306558208,0.30098089285215235,1
CD14,-0.4746481984106531,0.252201482659813,-1
ARMT1,-0.4735976201606943,-0.4737404840606695,-1
DOCK11,-0.47347615851379904,0.2883338206186284,-1
PLCG2,-0.4724528986019063,0.2686127470048235,-1
GGA2,-0.4714654913986547,-0.4555283468975414,-1
PROCR,-0.470784064713155,0.33602239239897996,-1
UAP1,-0.4701864303894616,0.2758597031829649,-1
CTNND2,0.4700018930346916,-0.4681084440171536,1
GMIP,-0.4698996531247181,0.2355271303811929,-1
CTNNB1,0.4608358789852845,0.2675313477073756,1
EHBP1L1,-0.4600736240604506,0.4209661340997355,-1
RAB3IL1,-0.4583886434542359,0.2669269663442274,-1
FCGR2A,-0.4561475438424893,0.3810238891579138,-1
CTSL,-0.4530784324156623,0.2913654666388807,-1
FGD3,-0.4505039970948786,-0.24162866604548866,-1
RGS12,0.4498798737719337,-0.30584991285732305,1
MYO10,0.4474781939588647,0.5158009122647153,1
FCGR3A,-0.44714792640110335,0.2551058431474817,-1
LIG4,-0.4459812151698548,0.2788570460164722,-1
ST6GAL1,-0.4456766956565269,0.3587291497615946,-1
ACSL1,-0.4430988657917541,0.3776363589949073,-1
CTSS,-0.4413047063447187,0.25104127479929383,-1
B3GLCT,0.4397362703871937,0.3188327073755515,1
CD300A,-0.4396928026611209,0.2809979603695153,-1
TFRC,0.4387652236476279,0.2582450308346096,1
TES,-0.43812580224901176,0.4835245762745326,-1
STXBP2,-0.4378059058846811,-0.2428322061739793,-1
CXXC5,0.4368327665975318,-0.4802514552658748,1
OTULIN,-0.4348584303290468,0.3379504609706766,-1
DOK3,-0.4331266451370768,0.2467304724235917,-1
TPD52L2,-0.43283322233579696,0.3409409787037139,-1
CHDH,0.4323313546635734,-0.2564700485671748,1
PIK3AP1,-0.4317342235852393,0.3330788378195872,-1
ARPC1B,-0.4314725422377172,0.2903702776494769,-1
TNS3,-0.4313928875879236,0.3760334098343505,-1
PGM1,0.4282548716357236,0.3484970962062566,1
CDKN2C,0.42719733165047696,0.2448378727121765,1
UPP1,-0.4262618708725739,0.4798149058538358,-1
FCGR2B,-0.42602763013464,0.3894107843283814,-1
HCK,-0.4260010610637584,0.4023290968371758,-1
PLAUR,-0.4256393559046623,0.4674275936294324,-1
CPNE2,0.4248405049107025,0.4723247240200951,1
WIPF1,-0.4238181973608884,0.23230424680781514,-1
ARPC3,-0.4233302584972303,0.311783911240739,-1
AHR,-0.4227607316675828,0.26547263740458565,-1
DPYD,-0.4222140537304998,0.2744573240178381,-1
NANS,-0.4214297954217941,-0.2776885015782386,-1
LUZP1,-0.4213159483758319,0.4386449689050739,-1
MYO1G,-0.4211167115526103,0.2400910122689216,-1
RASSF1,-0.4617734428726475,0.3046560548676512,-1
RALGAPA1,0.4202735232277472,-0.3427320717190649,1
NOVA1,0.4189851266128369,-0.2699023095915124,1
ACSS1,0.4186308268749209,-0.2735622881127064,1
EVI2B,-0.4174054665566349,0.2468079750381217,-1
FLNB,-0.4172346263709471,-0.2535595274056683,-1
MRC1,-0.4171237639253955,0.3720280912601993,-1
SERPINB2,-0.4827558458776459,0.2976356296579765,-1
FHOD1,-0.4162674963657118,0.3490485035116987,-1
EHD4,-0.4156646681960542,0.25639067820009803,-1
TRMT1L,-0.4149458098301448,-0.3363758555388784,-1
RHBDF2,-0.4141361962652817,0.2313431118716944,-1
LRRC25,-0.41365897012503294,0.3760874295556002,-1
ARHGAP10,-0.4130586731656679,0.5605272344738426,-1
ACSL4,-0.4126802038742674,0.5176031734206615,-1
ITGB1,-0.4123638693676748,0.410529872552286,-1
WIPF3,0.4120990789075213,0.370668589655942,1
FBP1,-0.41041375252678935,-0.34962284124295473,-1
FOXP1,-0.4522307372496968,-0.27459577046377115,-1
LPXN,-0.4096993086044339,0.2461485776372682,-1
ARPC2,-0.4063273917893301,0.2579989385852495,-1
CACUL1,-0.4059102128717704,-0.27707033965801875,-1
PYCARD,-0.4058488671481377,-0.27638538006133057,-1
ADGRL2,0.4050506627240138,0.30313004947011457,1
FGB,-0.4049360602227565,0.3030466701645084,-1
IL4I1,-0.4047159052383673,0.3342951749122689,-1
CD2AP,-0.4032292148942779,-0.4119476125022682,-1
PFN1,-0.4026947909828807,0.3030841974434074,-1
LAIR1,-0.4005065889292933,0.31087112910530823,-1
UBASH3B,-0.4001597279916402,0.3704359658639228,-1
MAGED2,-0.40013391079197663,-0.4996999685114255,-1
NRBF2,-0.3994514017128499,0.4864421880200371,-1
TBC1D8B,-0.4176239854901905,0.2927283754725564,-1
EHBP1,-0.39872179470644703,0.578128173337492,-1
PSAT1,0.3979466242971892,0.6093187041227728,1
MLX,-0.4157786812190126,0.3124599590954585,-1
TLR2,-0.3972848596462735,0.3673434292560128,-1
FGG,-0.3962754476192997,0.2843536972909521,-1
CD163,-0.39547616793666257,0.3693655075079677,-1
RBM47,-0.3951002569666133,-0.5221929596125053,-1
SALL2,0.3950670279171111,-0.2695354589829479,1
SRPRA,-0.39456796349910506,0.3427443123929762,-1
EVL,-0.3944477315294467,-0.4474442683228739,-1
KIF16B,-0.3929047302516979,-0.2517584504144665,-1
LCP1,-0.39249900664722415,0.25010586839274945,-1
SERPINB1,-0.3920407666033816,-0.3283548000476273,-1
MAP2,0.39198267063941095,0.2418005784034063,1
RIN3,-0.3917793277941802,0.3724718906453891,-1
SMARCD2,-0.3901865118653788,-0.3942355727124522,-1
MGAT1,-0.3888640953032624,0.4655466026459387,-1
POU2F1,-0.3877721888290956,-0.4144439671744974,-1
CAPZA1,-0.3877653201176855,0.3116774846287605,-1
SYNGR2,-0.3863789959255641,-0.2395738590882659,-1
PAPSS2,-0.3861106308437481,0.32643980352761914,-1
YES1,0.3837622605810781,0.4091589127943173,1
PPP2R1A,0.3833203756976344,-0.24386034892584474,1
G6PD,-0.3832340889534391,0.3168261232539737,-1
DSC2,-0.3822725673198023,0.5372170409572861,-1
MTHFD2,-0.3822647349915057,0.25396158993709284,-1
TRAF1,-0.3817067358470979,0.2335971013548261,-1
SKAP2,-0.38104144834529896,0.23583817161321,-1
BCL10,-0.38103971787615976,0.35890269716295337,-1
FGA,-0.3808888887386007,0.2640728242315118,-1
BCHE,0.3792644877810271,0.2947129979084856,1
NDRG2,0.3788614489898392,0.27137780097811864,1
