Comparison,Correlation_Gbm
ERBIN_proteomics,0.3685377971587761
POMT1_proteomics,0.36778193705959705
PSD2_proteomics,0.3674264297288909
TLN2_proteomics,0.3673087217598948
DGKG_proteomics,0.3667313108222141
AHCYL1_proteomics,0.3661380038168845
PRMT5_proteomics,0.3651861651006407
SEPT9_proteomics,0.3647881303163169
CST3_proteomics,0.36463110585142383
SMARCD3_proteomics,0.3645388544723389
BCAN_proteomics,0.3641277213047557
MT3_proteomics,0.3638336397855256
DENND2A_proteomics,0.3633536615614188
SMYD3_proteomics,0.3628521722280213
VPS50_proteomics,0.3624075211444344
ARHGEF26_proteomics,0.3619504593045776
KIF21A_proteomics,0.3615126318116951
CDK6_proteomics,0.3601296394614616
ADGRB3_proteomics,0.3596915530926279
PHGDH_proteomics,0.3596728937391537
RNF180_proteomics,0.359600463915767
FAT3_proteomics,0.3590886809478818
SLC20A2_proteomics,0.3589373884967577
ATP1B2_proteomics,0.35757337274357753
FOXG1_proteomics,0.3715587388510082
RNF157_proteomics,0.3567544460434098
GNA12_proteomics,0.3565882281609525
ALDH4A1_proteomics,0.3564895579265557
LETM1_proteomics,0.35597656944032274
RAB6A_proteomics,0.35513978765548315
ASTN1_proteomics,0.3549655991544428
SLC6A11_proteomics,0.3548616203314197
DPF3_proteomics,0.3546683648599458
NOTCH1_proteomics,0.35463115033557435
ZNF316_proteomics,0.35427564897305497
DCLK1_proteomics,0.3542402833219763
CTBP1_proteomics,0.35398732853856024
SLC22A5_proteomics,0.35248987991816777
SHROOM2_proteomics,0.35212227010870506
TTC19_proteomics,0.3502408334173455
DLG1_proteomics,0.3492275366057465
ARAP2_proteomics,0.3490808170810168
ATP13A4_proteomics,0.3647371426583823
PPP2R5C_proteomics,0.34628815695909193
CLUH_proteomics,0.3461056084679245
GTF2F2_proteomics,0.3459971133777193
NOVA2_proteomics,0.345474217188959
LRRN1_proteomics,0.3447801522561137
VPS13D_proteomics,0.3445096348015291
RALGAPB_proteomics,0.3443626024667906
SLC1A2_proteomics,0.3438708686810799
STRN4_proteomics,0.3436677088891459
NLGN1_proteomics,0.3433110269659129
ATAD3A_proteomics,0.3430576212592168
FSBP_proteomics,0.3966554519921671
PLSCR4_proteomics,0.3427484459472194
CSPG4_proteomics,0.34266242342119035
ACTN2_proteomics,0.3423936933271933
JAKMIP2_proteomics,0.341651874519587
POMT2_proteomics,0.34067223944177794
SIRT3_proteomics,0.3396940523077058
TUBG2_proteomics,0.3393306858666825
USP30_proteomics,0.339253100623442
CAND1_proteomics,0.3391821483809062
OTUD6B_proteomics,0.3379548639706765
BTBD17_proteomics,0.33782291702659706
PRODH_proteomics,0.3373305626074159
AP2B1_proteomics,0.3370292785840885
MBD3_proteomics,0.3367856429464513
NAP1L4_proteomics,0.33645741302705034
ARNTL_proteomics,0.3364165182371821
ALDH1L1_proteomics,0.3363462101849774
EEPD1_proteomics,0.3361272633500784
ENGASE_proteomics,0.33571463643356625
NCALD_proteomics,0.3352842708366608
SRPK2_proteomics,0.3350172662191391
TNPO2_proteomics,0.33500066364998715
THYN1_proteomics,0.33497430805748196
PCDHA6_proteomics,0.6113829394597844
FYN_proteomics,0.3343068128483088
VPS37B_proteomics,0.3339303348748981
ZFYVE9_proteomics,0.3336774714698
PTPRG_proteomics,0.3336611102310705
AASS_proteomics,0.3332281916553519
RBBP9_proteomics,0.33301437682158763
ARHGAP21_proteomics,0.3329692002062819
ELP4_proteomics,0.3325270880774912
PPP2R5A_proteomics,0.332075711265976
PREX1_proteomics,0.3320334366799732
TRAF6_proteomics,0.33175330051931
MUM1_proteomics,0.3317162275129277
LRRTM2_proteomics,0.33165966866044994
RAB4A_proteomics,0.3316537879012251
PIKFYVE_proteomics,0.3315785977963168
CMTM4_proteomics,0.3315704161660661
SUGP2_proteomics,0.3314875236004673
SELENOW_proteomics,0.3302608227628852
C1orf21_proteomics,0.3299902420884915
GTF2I_proteomics,0.3293680346724696
POU3F4_proteomics,0.3617877098783956
PCDH9_proteomics,0.32818742207791873
YTHDF1_proteomics,0.32803098828453825
IGSF11_proteomics,0.3279708724774373
AQP4_proteomics,0.3279655985407456
NTRK3_proteomics,0.3279167738941621
ACAD8_proteomics,0.3277373543401183
ARHGAP23_proteomics,0.32691605716357625
TOP1MT_proteomics,0.5991086014927087
PANK4_proteomics,0.3259036381922349
CDCA7L_proteomics,0.3256729650227269
DDAH1_proteomics,0.32560612710246073
CDH2_proteomics,0.3255961627671761
CPNE4_proteomics,0.3253949838079473
SPIRE1_proteomics,0.3253213268162267
XRCC1_proteomics,0.3249678492735523
VPS51_proteomics,0.3247419957877617
SQLE_proteomics,0.3245007029720576
TANC2_proteomics,0.3245006093072668
KCTD13_proteomics,0.3396728124547565
FGFR3_proteomics,0.3238600615781466
POU3F2_proteomics,0.32342555339993984
TSC22D3_proteomics,0.3233935461551723
KCNIP1_proteomics,0.32333550132446154
BMP7_proteomics,0.32326312501059185
SLC4A4_proteomics,0.32312876990805
ZFR_proteomics,0.3227587766782914
SOGA1_proteomics,0.32212647274005435
GSX1_proteomics,0.3971094677850767
EXD2_proteomics,0.3218781610839606
NMRAL1_proteomics,0.32182958645970616
SEC11C_proteomics,0.3218202616690452
